July 24, 2025   19:31:29
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.720V
ip = 1.026e-5A
Ap = 1.015e-6VA

Potential/V, Current/A

0.004, 5.450e-6
0.008, 5.380e-6
0.012, 5.521e-6
0.016, 4.862e-6
0.020, 4.709e-6
0.024, 4.827e-6
0.028, 4.438e-6
0.032, 4.497e-6
0.036, 4.626e-6
0.040, 3.920e-6
0.044, 4.191e-6
0.048, 4.097e-6
0.052, 3.743e-6
0.056, 3.991e-6
0.060, 4.026e-6
0.064, 3.626e-6
0.068, 3.732e-6
0.072, 3.802e-6
0.076, 3.567e-6
0.080, 3.661e-6
0.084, 3.732e-6
0.088, 3.426e-6
0.092, 3.708e-6
0.096, 3.543e-6
0.100, 3.590e-6
0.104, 3.673e-6
0.108, 3.461e-6
0.112, 3.461e-6
0.116, 3.814e-6
0.120, 3.226e-6
0.124, 3.390e-6
0.128, 3.590e-6
0.132, 3.167e-6
0.136, 3.178e-6
0.140, 3.579e-6
0.144, 3.261e-6
0.148, 2.802e-6
0.152, 3.084e-6
0.156, 3.108e-6
0.160, 3.037e-6
0.164, 3.014e-6
0.168, 3.226e-6
0.172, 3.167e-6
0.176, 2.649e-6
0.180, 2.731e-6
0.184, 3.167e-6
0.188, 3.072e-6
0.192, 2.837e-6
0.196, 2.790e-6
0.200, 2.755e-6
0.204, 2.802e-6
0.208, 2.696e-6
0.212, 2.637e-6
0.216, 2.248e-6
0.220, 2.637e-6
0.224, 2.284e-6
0.228, 2.519e-6
0.232, 2.437e-6
0.236, 2.131e-6
0.240, 2.390e-6
0.244, 2.637e-6
0.248, 2.272e-6
0.252, 2.319e-6
0.256, 2.354e-6
0.260, 1.848e-6
0.264, 2.178e-6
0.268, 2.201e-6
0.272, 2.084e-6
0.276, 2.142e-6
0.280, 1.695e-6
0.284, 2.025e-6
0.288, 2.154e-6
0.292, 1.660e-6
0.296, 2.190e-6
0.300, 1.648e-6
0.304, 2.154e-6
0.308, 1.577e-6
0.312, 2.131e-6
0.316, 1.625e-6
0.320, 1.766e-6
0.324, 1.742e-6
0.328, 1.719e-6
0.332, 2.260e-6
0.336, 1.801e-6
0.340, 1.942e-6
0.344, 1.519e-6
0.348, 1.919e-6
0.352, 1.601e-6
0.356, 1.507e-6
0.360, 1.742e-6
0.364, 1.636e-6
0.368, 1.813e-6
0.372, 1.613e-6
