July 25, 2025   08:17:32
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.620V
ip = 7.243e-6A
Ap = 1.076e-6VA

Potential/V, Current/A

0.004, 6.804e-6
0.008, 6.204e-6
0.012, 5.639e-6
0.016, 5.085e-6
0.020, 4.568e-6
0.024, 4.214e-6
0.028, 4.026e-6
0.032, 3.626e-6
0.036, 3.590e-6
0.040, 3.402e-6
0.044, 3.202e-6
0.048, 3.084e-6
0.052, 2.755e-6
0.056, 2.684e-6
0.060, 2.708e-6
0.064, 2.555e-6
0.068, 2.331e-6
0.072, 2.319e-6
0.076, 2.107e-6
0.080, 2.213e-6
0.084, 2.013e-6
0.088, 1.978e-6
0.092, 2.095e-6
0.096, 1.966e-6
0.100, 1.766e-6
0.104, 1.813e-6
0.108, 1.801e-6
0.112, 1.707e-6
0.116, 1.707e-6
0.120, 1.436e-6
0.124, 1.613e-6
0.128, 1.542e-6
0.132, 1.495e-6
0.136, 1.460e-6
0.140, 1.460e-6
0.144, 1.424e-6
0.148, 1.530e-6
0.152, 1.342e-6
0.156, 1.307e-6
0.160, 1.377e-6
0.164, 1.436e-6
0.168, 1.460e-6
0.172, 1.236e-6
0.176, 1.271e-6
0.180, 1.271e-6
0.184, 1.107e-6
0.188, 1.295e-6
0.192, 1.307e-6
0.196, 1.189e-6
0.200, 1.165e-6
0.204, 1.189e-6
0.208, 1.165e-6
0.212, 1.083e-6
0.216, 1.107e-6
0.220, 1.154e-6
0.224, 9.653e-7
0.228, 1.130e-6
0.232, 9.888e-7
0.236, 1.095e-6
0.240, 9.418e-7
0.244, 1.048e-6
0.248, 9.300e-7
0.252, 1.071e-6
0.256, 9.653e-7
0.260, 1.059e-6
0.264, 9.653e-7
0.268, 9.300e-7
0.272, 9.771e-7
0.276, 8.240e-7
0.280, 1.001e-6
0.284, 1.036e-6
0.288, 9.300e-7
0.292, 9.653e-7
0.296, 8.829e-7
0.300, 9.064e-7
0.304, 8.711e-7
0.308, 8.829e-7
0.312, 8.358e-7
0.316, 9.771e-7
0.320, 9.771e-7
0.324, 9.064e-7
0.328, 8.240e-7
0.332, 9.771e-7
0.336, 8.594e-7
0.340, 8.594e-7
0.344, 7.652e-7
0.348, 9.771e-7
0.352, 9.064e-7
0.356, 9.771e-7
0.360, 8.358e-7
0.364, 9.182e-7
0.368, 1.024e-6
0.372, 9.535e-7
0.376, 8.829e-7
0.380, 9.418e-7
0.384, 9.771e-7
0.388, 8.829e-7
0.392, 8.594e-7
0.396, 9.535e-7
0.400, 9.418e-7
0.404, 9.535e-7
0.408, 8.829e-7
0.412, 1.024e-6
0.416, 8.240e-7
0.420, 9.064e-7
0.424, 8.829e-7
0.428, 9.064e-7
0.432, 8.005e-7
0.436, 8.711e-7
0.440, 7.416e-7
