July 24, 2025   11:13:53
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.532V
ip = 3.363e-5A
Ap = 5.822e-6VA

Potential/V, Current/A

0.004, 1.070e-5
0.008, 9.912e-6
0.012, 9.347e-6
0.016, 8.888e-6
0.020, 8.664e-6
0.024, 8.311e-6
0.028, 8.076e-6
0.032, 7.840e-6
0.036, 7.534e-6
0.040, 7.381e-6
0.044, 7.240e-6
0.048, 7.028e-6
0.052, 6.675e-6
0.056, 6.404e-6
0.060, 6.380e-6
0.064, 6.227e-6
0.068, 5.815e-6
0.072, 5.815e-6
0.076, 5.698e-6
0.080, 5.615e-6
0.084, 5.462e-6
0.088, 5.239e-6
0.092, 5.121e-6
0.096, 5.144e-6
0.100, 4.862e-6
0.104, 4.838e-6
0.108, 4.732e-6
0.112, 4.626e-6
0.116, 4.556e-6
0.120, 4.473e-6
0.124, 4.332e-6
0.128, 4.391e-6
0.132, 4.191e-6
0.136, 4.226e-6
0.140, 4.085e-6
0.144, 4.061e-6
0.148, 3.908e-6
0.152, 3.814e-6
0.156, 3.885e-6
0.160, 3.861e-6
0.164, 3.779e-6
0.168, 3.708e-6
0.172, 3.802e-6
0.176, 3.755e-6
0.180, 3.708e-6
0.184, 3.520e-6
0.188, 3.555e-6
0.192, 3.449e-6
0.196, 3.461e-6
0.200, 3.426e-6
0.204, 3.449e-6
0.208, 3.202e-6
0.212, 3.214e-6
0.216, 3.131e-6
0.220, 3.167e-6
0.224, 3.002e-6
0.228, 3.261e-6
0.232, 3.037e-6
0.236, 3.131e-6
0.240, 3.108e-6
0.244, 3.096e-6
0.248, 2.884e-6
0.252, 3.096e-6
0.256, 2.931e-6
0.260, 2.861e-6
0.264, 2.849e-6
0.268, 2.849e-6
0.272, 2.825e-6
0.276, 2.908e-6
0.280, 2.660e-6
0.284, 2.825e-6
0.288, 2.637e-6
0.292, 2.684e-6
0.296, 2.602e-6
0.300, 2.684e-6
0.304, 2.660e-6
0.308, 2.578e-6
0.312, 2.555e-6
0.316, 2.543e-6
0.320, 2.519e-6
0.324, 2.401e-6
0.328, 2.519e-6
0.332, 2.531e-6
0.336, 2.472e-6
0.340, 2.449e-6
0.344, 2.437e-6
0.348, 2.484e-6
0.352, 2.496e-6
0.356, 2.201e-6
0.360, 2.284e-6
0.364, 2.684e-6
0.368, 2.390e-6
0.372, 2.331e-6
0.376, 2.307e-6
0.380, 2.484e-6
0.384, 2.472e-6
0.388, 2.354e-6
0.392, 2.507e-6
0.396, 2.590e-6
0.400, 2.519e-6
0.404, 2.590e-6
0.408, 2.590e-6
0.412, 2.919e-6
0.416, 2.919e-6
0.420, 3.084e-6
0.424, 3.331e-6
0.428, 3.567e-6
0.432, 3.873e-6
0.436, 4.203e-6
0.440, 4.626e-6
0.444, 5.403e-6
0.448, 6.133e-6
0.452, 6.816e-6
0.456, 7.887e-6
0.460, 9.135e-6
0.464, 1.083e-5
0.468, 1.277e-5
0.472, 1.493e-5
0.476, 1.739e-5
0.480, 2.013e-5
0.484, 2.294e-5
0.488, 2.560e-5
0.492, 2.821e-5
0.496, 3.076e-5
0.500, 3.286e-5
0.504, 3.464e-5
0.508, 3.633e-5
0.512, 3.733e-5
0.516, 3.806e-5
0.520, 3.889e-5
0.524, 3.942e-5
0.528, 3.998e-5
0.532, 4.026e-5
0.536, 4.010e-5
0.540, 3.978e-5
0.544, 3.946e-5
0.548, 3.922e-5
0.552, 3.878e-5
0.556, 3.860e-5
0.560, 3.838e-5
0.564, 3.819e-5
0.568, 3.805e-5
0.572, 3.814e-5
0.576, 3.792e-5
0.580, 3.776e-5
0.584, 3.759e-5
0.588, 3.722e-5
0.592, 3.695e-5
0.596, 3.643e-5
0.600, 3.574e-5
0.604, 3.529e-5
0.608, 3.459e-5
0.612, 3.371e-5
0.616, 3.289e-5
0.620, 3.214e-5
0.624, 3.144e-5
0.628, 3.055e-5
0.632, 2.963e-5
0.636, 2.897e-5
0.640, 2.823e-5
0.644, 2.752e-5
0.648, 2.686e-5
0.652, 2.636e-5
0.656, 2.572e-5
0.660, 2.513e-5
0.664, 2.454e-5
0.668, 2.401e-5
0.672, 2.376e-5
0.676, 2.305e-5
0.680, 2.237e-5
0.684, 2.214e-5
0.688, 2.155e-5
0.692, 2.120e-5
0.696, 2.050e-5
0.700, 2.019e-5
0.704, 1.975e-5
0.708, 1.912e-5
0.712, 1.874e-5
0.716, 1.835e-5
0.720, 1.779e-5
0.724, 1.746e-5
0.728, 1.695e-5
0.732, 1.655e-5
0.736, 1.628e-5
0.740, 1.587e-5
0.744, 1.543e-5
0.748, 1.504e-5
0.752, 1.481e-5
0.756, 1.446e-5
0.760, 1.408e-5
0.764, 1.380e-5
0.768, 1.336e-5
0.772, 1.313e-5
0.776, 1.294e-5
0.780, 1.262e-5
0.784, 1.237e-5
0.788, 1.220e-5
0.792, 1.202e-5
0.796, 1.177e-5
0.800, 1.164e-5
0.804, 1.136e-5
0.808, 1.116e-5
0.812, 1.107e-5
0.816, 1.082e-5
0.820, 1.061e-5
0.824, 1.043e-5
0.828, 1.022e-5
0.832, 1.029e-5
0.836, 1.002e-5
0.840, 9.959e-6
0.844, 9.888e-6
0.848, 9.712e-6
0.852, 9.594e-6
0.856, 9.476e-6
0.860, 9.476e-6
0.864, 9.406e-6
0.868, 9.323e-6
0.872, 9.265e-6
0.876, 9.194e-6
0.880, 9.312e-6
0.884, 9.170e-6
0.888, 9.088e-6
0.892, 9.194e-6
0.896, 9.112e-6
0.900, 9.029e-6
0.904, 8.970e-6
0.908, 8.994e-6
0.912, 9.006e-6
0.916, 9.029e-6
0.920, 8.935e-6
0.924, 9.076e-6
0.928, 9.147e-6
0.932, 8.982e-6
0.936, 9.088e-6
0.940, 9.170e-6
0.944, 9.135e-6
0.948, 9.041e-6
0.952, 8.911e-6
0.956, 8.853e-6
0.960, 9.017e-6
0.964, 9.100e-6
0.968, 8.923e-6
0.972, 9.006e-6
0.976, 8.900e-6
0.980, 8.935e-6
0.984, 8.794e-6
0.988, 8.817e-6
0.992, 8.853e-6
0.996, 8.841e-6
1.000, 8.664e-6
