July 24, 2025   16:32:53
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.608V
ip = 6.876e-6A
Ap = 1.053e-6VA

Potential/V, Current/A

0.004, 8.594e-6
0.008, 7.887e-6
0.012, 7.275e-6
0.016, 6.781e-6
0.020, 6.263e-6
0.024, 6.027e-6
0.028, 5.721e-6
0.032, 5.686e-6
0.036, 5.403e-6
0.040, 5.109e-6
0.044, 4.732e-6
0.048, 4.568e-6
0.052, 4.556e-6
0.056, 4.414e-6
0.060, 4.426e-6
0.064, 4.120e-6
0.068, 3.908e-6
0.072, 3.885e-6
0.076, 3.791e-6
0.080, 3.579e-6
0.084, 3.449e-6
0.088, 3.791e-6
0.092, 3.449e-6
0.096, 3.237e-6
0.100, 3.308e-6
0.104, 3.320e-6
0.108, 3.014e-6
0.112, 2.919e-6
0.116, 2.919e-6
0.120, 3.049e-6
0.124, 3.072e-6
0.128, 2.849e-6
0.132, 2.684e-6
0.136, 2.590e-6
0.140, 2.484e-6
0.144, 2.555e-6
0.148, 2.672e-6
0.152, 2.460e-6
0.156, 2.484e-6
0.160, 2.307e-6
0.164, 2.248e-6
0.168, 2.378e-6
0.172, 2.460e-6
0.176, 2.625e-6
0.180, 2.390e-6
0.184, 2.284e-6
0.188, 2.154e-6
0.192, 2.131e-6
0.196, 2.284e-6
0.200, 2.366e-6
0.204, 2.272e-6
0.208, 2.119e-6
0.212, 1.895e-6
0.216, 2.001e-6
0.220, 2.178e-6
0.224, 2.225e-6
0.228, 2.260e-6
0.232, 2.107e-6
0.236, 2.060e-6
0.240, 1.778e-6
0.244, 1.860e-6
0.248, 1.825e-6
0.252, 2.013e-6
0.256, 2.060e-6
0.260, 1.848e-6
0.264, 2.013e-6
0.268, 1.766e-6
0.272, 1.872e-6
0.276, 1.931e-6
0.280, 1.989e-6
0.284, 1.919e-6
0.288, 2.001e-6
0.292, 2.001e-6
0.296, 1.907e-6
0.300, 1.848e-6
0.304, 1.836e-6
0.308, 1.695e-6
0.312, 1.778e-6
0.316, 1.836e-6
0.320, 1.683e-6
0.324, 1.754e-6
0.328, 1.942e-6
0.332, 1.895e-6
0.336, 1.848e-6
0.340, 1.660e-6
0.344, 1.483e-6
0.348, 1.742e-6
0.352, 1.766e-6
0.356, 1.789e-6
0.360, 1.789e-6
0.364, 1.695e-6
0.368, 1.636e-6
0.372, 1.554e-6
0.376, 1.448e-6
0.380, 1.801e-6
0.384, 2.119e-6
0.388, 1.954e-6
0.392, 1.601e-6
0.396, 1.636e-6
0.400, 1.754e-6
0.404, 1.660e-6
0.408, 1.789e-6
0.412, 1.966e-6
0.416, 1.836e-6
0.420, 1.672e-6
0.424, 1.660e-6
0.428, 1.789e-6
0.432, 1.542e-6
0.436, 1.507e-6
0.440, 1.448e-6
0.444, 1.507e-6
0.448, 1.683e-6
0.452, 1.448e-6
0.456, 1.648e-6
0.460, 1.989e-6
0.464, 1.919e-6
0.468, 2.119e-6
0.472, 2.060e-6
0.476, 2.119e-6
0.480, 2.013e-6
0.484, 1.931e-6
0.488, 2.213e-6
0.492, 2.543e-6
0.496, 2.543e-6
0.500, 2.637e-6
0.504, 2.672e-6
0.508, 2.708e-6
0.512, 2.825e-6
0.516, 2.967e-6
0.520, 3.532e-6
0.524, 3.897e-6
0.528, 4.203e-6
0.532, 4.379e-6
0.536, 4.591e-6
0.540, 4.909e-6
0.544, 5.062e-6
0.548, 5.392e-6
0.552, 6.015e-6
0.556, 6.604e-6
0.560, 6.875e-6
0.564, 7.193e-6
0.568, 7.216e-6
0.572, 7.828e-6
0.576, 8.134e-6
0.580, 8.558e-6
0.584, 9.029e-6
0.588, 9.335e-6
0.592, 9.406e-6
0.596, 9.453e-6
0.600, 9.288e-6
0.604, 9.559e-6
0.608, 9.724e-6
0.612, 9.182e-6
0.616, 9.194e-6
0.620, 8.888e-6
0.624, 8.699e-6
0.628, 8.805e-6
0.632, 8.488e-6
0.636, 8.617e-6
0.640, 8.452e-6
0.644, 8.040e-6
0.648, 7.852e-6
0.652, 7.758e-6
0.656, 7.711e-6
0.660, 7.628e-6
0.664, 7.463e-6
0.668, 7.405e-6
0.672, 7.240e-6
0.676, 7.075e-6
0.680, 6.734e-6
0.684, 6.722e-6
0.688, 6.663e-6
0.692, 6.840e-6
0.696, 6.533e-6
0.700, 6.557e-6
0.704, 6.651e-6
0.708, 6.392e-6
0.712, 6.239e-6
0.716, 6.239e-6
0.720, 6.063e-6
0.724, 6.239e-6
0.728, 6.216e-6
0.732, 6.063e-6
0.736, 5.992e-6
0.740, 5.968e-6
0.744, 5.686e-6
0.748, 5.674e-6
0.752, 5.851e-6
0.756, 5.651e-6
0.760, 5.592e-6
0.764, 5.674e-6
0.768, 5.615e-6
0.772, 5.427e-6
0.776, 5.380e-6
0.780, 5.415e-6
0.784, 5.733e-6
0.788, 5.380e-6
0.792, 5.191e-6
0.796, 5.203e-6
0.800, 5.097e-6
0.804, 5.144e-6
0.808, 5.344e-6
0.812, 5.439e-6
0.816, 5.450e-6
0.820, 4.921e-6
0.824, 4.897e-6
0.828, 4.980e-6
0.832, 4.980e-6
0.836, 4.803e-6
0.840, 4.744e-6
0.844, 4.721e-6
0.848, 4.744e-6
0.852, 4.897e-6
0.856, 4.932e-6
0.860, 4.980e-6
0.864, 4.921e-6
0.868, 4.885e-6
0.872, 4.921e-6
0.876, 4.909e-6
0.880, 4.626e-6
0.884, 4.662e-6
0.888, 4.791e-6
0.892, 4.850e-6
0.896, 4.956e-6
0.900, 4.650e-6
0.904, 5.144e-6
0.908, 4.956e-6
0.912, 4.932e-6
0.916, 4.744e-6
0.920, 4.709e-6
0.924, 4.909e-6
0.928, 5.062e-6
0.932, 4.944e-6
0.936, 4.944e-6
0.940, 5.074e-6
0.944, 4.862e-6
0.948, 5.203e-6
0.952, 5.050e-6
0.956, 5.109e-6
0.960, 5.250e-6
0.964, 5.133e-6
0.968, 4.874e-6
0.972, 4.662e-6
0.976, 4.685e-6
0.980, 4.697e-6
0.984, 4.791e-6
0.988, 4.921e-6
0.992, 5.215e-6
0.996, 5.309e-6
1.000, 4.968e-6
