July 25, 2025   10:33:45
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.632V
ip = 1.065e-5A
Ap = 1.106e-6VA

Potential/V, Current/A

0.004, 6.533e-6
0.008, 6.333e-6
0.012, 6.475e-6
0.016, 6.227e-6
0.020, 6.475e-6
0.024, 6.204e-6
0.028, 6.051e-6
0.032, 5.780e-6
0.036, 5.674e-6
0.040, 5.509e-6
0.044, 5.627e-6
0.048, 5.545e-6
0.052, 5.603e-6
0.056, 5.509e-6
0.060, 5.427e-6
0.064, 5.239e-6
0.068, 5.074e-6
0.072, 4.921e-6
0.076, 5.027e-6
0.080, 5.085e-6
0.084, 5.121e-6
0.088, 4.885e-6
0.092, 5.003e-6
0.096, 4.968e-6
0.100, 4.685e-6
0.104, 4.709e-6
0.108, 4.721e-6
0.112, 4.709e-6
0.116, 4.673e-6
0.120, 4.473e-6
0.124, 4.414e-6
0.128, 4.414e-6
0.132, 4.250e-6
0.136, 4.473e-6
0.140, 4.414e-6
0.144, 4.426e-6
0.148, 4.414e-6
0.152, 4.108e-6
0.156, 4.179e-6
0.160, 4.156e-6
0.164, 4.061e-6
0.168, 3.814e-6
0.172, 3.720e-6
0.176, 3.696e-6
0.180, 3.814e-6
0.184, 3.720e-6
0.188, 3.908e-6
0.192, 3.885e-6
0.196, 3.473e-6
0.200, 3.367e-6
0.204, 3.508e-6
0.208, 3.308e-6
0.212, 3.367e-6
0.216, 3.320e-6
0.220, 3.308e-6
0.224, 3.355e-6
0.228, 3.049e-6
0.232, 3.261e-6
0.236, 3.296e-6
0.240, 3.131e-6
0.244, 3.084e-6
0.248, 2.602e-6
0.252, 2.896e-6
0.256, 2.955e-6
0.260, 2.837e-6
0.264, 2.978e-6
0.268, 2.908e-6
0.272, 2.566e-6
0.276, 2.837e-6
0.280, 2.802e-6
0.284, 2.731e-6
0.288, 2.967e-6
0.292, 2.813e-6
0.296, 2.814e-6
0.300, 2.625e-6
0.304, 2.696e-6
0.308, 2.684e-6
0.312, 2.401e-6
0.316, 2.602e-6
0.320, 2.578e-6
0.324, 2.578e-6
0.328, 2.578e-6
0.332, 2.684e-6
0.336, 2.566e-6
0.340, 2.366e-6
0.344, 2.343e-6
0.348, 2.625e-6
0.352, 2.496e-6
0.356, 2.225e-6
0.360, 2.602e-6
0.364, 2.484e-6
0.368, 2.413e-6
0.372, 2.213e-6
0.376, 2.354e-6
0.380, 2.672e-6
0.384, 2.496e-6
0.388, 2.331e-6
0.392, 2.437e-6
0.396, 2.519e-6
0.400, 2.284e-6
0.404, 2.201e-6
0.408, 2.319e-6
0.412, 2.354e-6
0.416, 2.307e-6
0.420, 2.131e-6
0.424, 2.413e-6
0.428, 2.331e-6
0.432, 2.013e-6
0.436, 2.201e-6
0.440, 1.989e-6
0.444, 2.331e-6
0.448, 2.319e-6
0.452, 2.095e-6
0.456, 2.449e-6
0.460, 2.401e-6
0.464, 2.060e-6
0.468, 2.319e-6
0.472, 2.354e-6
0.476, 2.260e-6
0.480, 2.449e-6
0.484, 2.343e-6
0.488, 2.378e-6
0.492, 2.519e-6
0.496, 2.684e-6
0.500, 2.731e-6
0.504, 2.649e-6
0.508, 2.555e-6
0.512, 3.143e-6
0.516, 2.849e-6
0.520, 3.202e-6
0.524, 3.426e-6
0.528, 3.626e-6
0.532, 3.685e-6
0.536, 4.332e-6
0.540, 4.367e-6
0.544, 4.744e-6
0.548, 5.180e-6
0.552, 5.392e-6
0.556, 6.133e-6
0.560, 6.816e-6
0.564, 7.216e-6
0.568, 7.852e-6
0.572, 8.864e-6
0.576, 9.524e-6
0.580, 1.052e-5
0.584, 1.141e-5
0.588, 1.237e-5
0.592, 1.336e-5
0.596, 1.426e-5
0.600, 1.502e-5
0.604, 1.583e-5
0.608, 1.670e-5
0.612, 1.718e-5
0.616, 1.732e-5
0.620, 1.756e-5
0.624, 1.779e-5
0.628, 1.781e-5
0.632, 1.783e-5
0.636, 1.769e-5
0.640, 1.747e-5
0.644, 1.683e-5
0.648, 1.661e-5
0.652, 1.630e-5
0.656, 1.574e-5
0.660, 1.523e-5
0.664, 1.507e-5
0.668, 1.483e-5
0.672, 1.420e-5
0.676, 1.389e-5
0.680, 1.381e-5
0.684, 1.366e-5
0.688, 1.337e-5
0.692, 1.327e-5
0.696, 1.293e-5
0.700, 1.278e-5
0.704, 1.274e-5
0.708, 1.249e-5
0.712, 1.223e-5
0.716, 1.204e-5
0.720, 1.201e-5
0.724, 1.181e-5
0.728, 1.170e-5
0.732, 1.175e-5
0.736, 1.158e-5
0.740, 1.120e-5
0.744, 1.104e-5
0.748, 1.111e-5
0.752, 1.105e-5
0.756, 1.097e-5
0.760, 1.103e-5
0.764, 1.089e-5
0.768, 1.095e-5
0.772, 1.110e-5
0.776, 1.083e-5
0.780, 1.085e-5
0.784, 1.064e-5
0.788, 1.081e-5
0.792, 1.058e-5
0.796, 1.069e-5
0.800, 1.059e-5
0.804, 1.069e-5
0.808, 1.068e-5
0.812, 1.043e-5
0.816, 1.018e-5
0.820, 1.029e-5
0.824, 1.011e-5
0.828, 1.025e-5
0.832, 1.022e-5
0.836, 9.830e-6
0.840, 9.700e-6
0.844, 9.500e-6
0.848, 9.500e-6
0.852, 9.524e-6
0.856, 9.394e-6
0.860, 9.418e-6
0.864, 9.488e-6
0.868, 9.217e-6
0.872, 9.159e-6
0.876, 9.006e-6
0.880, 8.853e-6
0.884, 8.770e-6
0.888, 9.017e-6
0.892, 8.594e-6
0.896, 8.299e-6
0.900, 8.134e-6
0.904, 8.335e-6
0.908, 8.652e-6
0.912, 8.346e-6
0.916, 8.146e-6
0.920, 8.005e-6
0.924, 7.899e-6
0.928, 8.182e-6
0.932, 7.993e-6
0.936, 7.923e-6
0.940, 7.781e-6
0.944, 7.687e-6
0.948, 7.687e-6
0.952, 7.699e-6
0.956, 7.946e-6
0.960, 7.852e-6
0.964, 7.970e-6
0.968, 7.934e-6
0.972, 7.923e-6
0.976, 7.852e-6
0.980, 7.887e-6
0.984, 7.746e-6
0.988, 7.770e-6
0.992, 7.934e-6
0.996, 7.958e-6
1.000, 8.040e-6
