July 25, 2025   12:44:44
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.704V
ip = 1.758e-5A
Ap = 1.625e-6VA

Potential/V, Current/A

0.004, 8.758e-6
0.008, 8.217e-6
0.012, 7.899e-6
0.016, 7.134e-6
0.020, 6.651e-6
0.024, 6.628e-6
0.028, 6.510e-6
0.032, 6.216e-6
0.036, 6.133e-6
0.040, 5.980e-6
0.044, 6.121e-6
0.048, 6.074e-6
0.052, 6.063e-6
0.056, 5.792e-6
0.060, 5.721e-6
0.064, 5.933e-6
0.068, 5.698e-6
0.072, 5.603e-6
0.076, 5.615e-6
0.080, 5.627e-6
0.084, 5.545e-6
0.088, 5.344e-6
0.092, 5.427e-6
0.096, 5.403e-6
0.100, 5.191e-6
0.104, 5.215e-6
0.108, 5.356e-6
0.112, 5.250e-6
0.116, 5.050e-6
0.120, 5.015e-6
0.124, 5.109e-6
0.128, 5.085e-6
0.132, 4.944e-6
0.136, 5.062e-6
0.140, 5.015e-6
0.144, 4.932e-6
0.148, 4.956e-6
0.152, 4.980e-6
0.156, 4.921e-6
0.160, 4.980e-6
0.164, 4.921e-6
0.168, 4.803e-6
0.172, 4.932e-6
0.176, 4.921e-6
0.180, 4.932e-6
0.184, 4.662e-6
0.188, 4.638e-6
0.192, 4.532e-6
0.196, 4.626e-6
0.200, 4.662e-6
0.204, 4.662e-6
0.208, 4.509e-6
0.212, 4.379e-6
0.216, 4.332e-6
0.220, 4.379e-6
0.224, 4.073e-6
0.228, 4.191e-6
0.232, 4.226e-6
0.236, 4.120e-6
0.240, 4.061e-6
0.244, 4.191e-6
0.248, 3.755e-6
0.252, 3.967e-6
0.256, 3.932e-6
0.260, 3.885e-6
0.264, 3.661e-6
0.268, 3.826e-6
0.272, 3.791e-6
0.276, 3.743e-6
0.280, 3.390e-6
0.284, 3.661e-6
0.288, 3.555e-6
0.292, 3.437e-6
0.296, 3.296e-6
0.300, 3.320e-6
0.304, 3.261e-6
0.308, 3.143e-6
0.312, 3.178e-6
0.316, 3.167e-6
0.320, 3.096e-6
0.324, 3.296e-6
0.328, 3.143e-6
0.332, 2.908e-6
0.336, 3.167e-6
0.340, 2.978e-6
0.344, 2.861e-6
0.348, 2.978e-6
0.352, 3.072e-6
0.356, 2.825e-6
0.360, 2.660e-6
0.364, 2.943e-6
0.368, 2.931e-6
0.372, 2.708e-6
0.376, 2.766e-6
0.380, 2.943e-6
0.384, 2.861e-6
0.388, 2.613e-6
0.392, 2.731e-6
0.396, 2.590e-6
0.400, 2.919e-6
0.404, 2.790e-6
0.408, 2.590e-6
0.412, 2.696e-6
0.416, 2.602e-6
0.420, 2.578e-6
0.424, 2.390e-6
0.428, 2.543e-6
0.432, 2.637e-6
0.436, 2.649e-6
0.440, 2.413e-6
