July 23, 2025   15:23:17
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.568V
ip = 1.171e-5A
Ap = 1.566e-6VA

Potential/V, Current/A

0.004, 8.829e-6
0.008, 8.123e-6
0.012, 7.499e-6
0.016, 7.016e-6
0.020, 6.522e-6
0.024, 6.216e-6
0.028, 5.921e-6
0.032, 5.627e-6
0.036, 5.556e-6
0.040, 5.274e-6
0.044, 5.121e-6
0.048, 4.897e-6
0.052, 4.673e-6
0.056, 4.414e-6
0.060, 4.414e-6
0.064, 4.320e-6
0.068, 4.120e-6
0.072, 3.967e-6
0.076, 3.897e-6
0.080, 3.802e-6
0.084, 3.673e-6
0.088, 3.461e-6
0.092, 3.496e-6
0.096, 3.437e-6
0.100, 3.343e-6
0.104, 3.249e-6
0.108, 3.155e-6
0.112, 3.143e-6
0.116, 3.061e-6
0.120, 2.884e-6
0.124, 2.908e-6
0.128, 2.967e-6
0.132, 2.814e-6
0.136, 2.778e-6
0.140, 2.813e-6
0.144, 2.802e-6
0.148, 2.719e-6
0.152, 2.755e-6
0.156, 2.625e-6
0.160, 2.625e-6
0.164, 2.590e-6
0.168, 2.613e-6
0.172, 2.531e-6
0.176, 2.566e-6
0.180, 2.437e-6
0.184, 2.519e-6
0.188, 2.519e-6
0.192, 2.449e-6
0.196, 2.425e-6
0.200, 2.390e-6
0.204, 2.460e-6
0.208, 2.343e-6
0.212, 2.390e-6
0.216, 2.213e-6
0.220, 2.437e-6
0.224, 2.307e-6
0.228, 2.225e-6
0.232, 2.284e-6
0.236, 2.366e-6
0.240, 2.390e-6
0.244, 2.354e-6
0.248, 2.296e-6
0.252, 2.296e-6
0.256, 2.225e-6
0.260, 2.237e-6
0.264, 2.331e-6
0.268, 2.272e-6
0.272, 2.237e-6
0.276, 2.248e-6
0.280, 2.178e-6
0.284, 2.248e-6
0.288, 2.166e-6
0.292, 2.284e-6
0.296, 2.178e-6
0.300, 2.331e-6
0.304, 2.225e-6
0.308, 2.190e-6
0.312, 2.131e-6
0.316, 2.237e-6
0.320, 2.190e-6
0.324, 2.119e-6
0.328, 2.272e-6
0.332, 2.037e-6
0.336, 2.190e-6
0.340, 2.237e-6
0.344, 2.190e-6
0.348, 2.201e-6
0.352, 2.213e-6
0.356, 2.166e-6
0.360, 2.107e-6
0.364, 2.272e-6
0.368, 2.190e-6
0.372, 2.154e-6
0.376, 2.166e-6
0.380, 2.296e-6
0.384, 2.248e-6
0.388, 2.107e-6
0.392, 2.366e-6
0.396, 2.296e-6
0.400, 2.413e-6
0.404, 2.260e-6
0.408, 2.366e-6
0.412, 2.260e-6
0.416, 2.331e-6
0.420, 2.190e-6
0.424, 2.296e-6
0.428, 2.401e-6
0.432, 2.272e-6
0.436, 2.543e-6
0.440, 2.531e-6
0.444, 2.672e-6
0.448, 2.813e-6
0.452, 2.649e-6
0.456, 2.967e-6
0.460, 3.084e-6
0.464, 3.331e-6
0.468, 3.626e-6
0.472, 3.838e-6
0.476, 4.203e-6
0.480, 4.768e-6
0.484, 5.392e-6
0.488, 6.286e-6
0.492, 7.040e-6
0.496, 7.769e-6
0.500, 8.370e-6
0.504, 9.135e-6
0.508, 9.582e-6
0.512, 1.009e-5
0.516, 1.069e-5
0.520, 1.120e-5
0.524, 1.157e-5
0.528, 1.162e-5
0.532, 1.180e-5
0.536, 1.200e-5
0.540, 1.224e-5
0.544, 1.268e-5
0.548, 1.282e-5
0.552, 1.376e-5
0.556, 1.473e-5
0.560, 1.554e-5
0.564, 1.603e-5
0.568, 1.612e-5
0.572, 1.605e-5
0.576, 1.541e-5
0.580, 1.451e-5
0.584, 1.411e-5
0.588, 1.356e-5
0.592, 1.310e-5
0.596, 1.280e-5
0.600, 1.244e-5
0.604, 1.218e-5
0.608, 1.191e-5
0.612, 1.176e-5
0.616, 1.157e-5
0.620, 1.131e-5
0.624, 1.115e-5
0.628, 1.104e-5
0.632, 1.071e-5
0.636, 1.079e-5
0.640, 1.059e-5
0.644, 1.050e-5
0.648, 1.043e-5
0.652, 1.028e-5
0.656, 1.021e-5
0.660, 1.019e-5
0.664, 9.888e-6
0.668, 9.900e-6
0.672, 9.747e-6
0.676, 9.712e-6
0.680, 9.582e-6
0.684, 9.465e-6
0.688, 9.535e-6
0.692, 9.465e-6
0.696, 9.147e-6
0.700, 9.312e-6
0.704, 9.147e-6
0.708, 9.029e-6
0.712, 9.041e-6
0.716, 8.841e-6
0.720, 8.747e-6
0.724, 8.758e-6
0.728, 8.594e-6
0.732, 8.664e-6
0.736, 8.723e-6
0.740, 8.441e-6
0.744, 8.276e-6
0.748, 8.523e-6
0.752, 8.252e-6
0.756, 8.252e-6
0.760, 8.099e-6
0.764, 8.099e-6
0.768, 8.123e-6
0.772, 7.781e-6
0.776, 7.993e-6
0.780, 7.946e-6
0.784, 7.805e-6
0.788, 7.711e-6
0.792, 7.534e-6
0.796, 7.805e-6
0.800, 7.722e-6
0.804, 7.475e-6
0.808, 7.440e-6
0.812, 7.428e-6
0.816, 7.440e-6
0.820, 7.393e-6
0.824, 7.051e-6
0.828, 7.157e-6
0.832, 7.287e-6
0.836, 7.134e-6
0.840, 7.040e-6
0.844, 7.087e-6
0.848, 7.110e-6
0.852, 6.981e-6
0.856, 7.040e-6
0.860, 6.969e-6
0.864, 7.063e-6
0.868, 7.110e-6
0.872, 7.228e-6
0.876, 7.004e-6
0.880, 7.157e-6
0.884, 6.945e-6
0.888, 7.146e-6
0.892, 7.122e-6
0.896, 7.157e-6
0.900, 7.204e-6
0.904, 7.240e-6
0.908, 7.263e-6
0.912, 7.452e-6
0.916, 7.287e-6
0.920, 7.310e-6
0.924, 7.310e-6
0.928, 7.287e-6
0.932, 7.075e-6
0.936, 7.299e-6
0.940, 7.381e-6
0.944, 7.499e-6
0.948, 7.581e-6
0.952, 7.428e-6
0.956, 7.511e-6
0.960, 7.499e-6
0.964, 7.487e-6
0.968, 7.522e-6
0.972, 7.569e-6
0.976, 7.628e-6
0.980, 7.781e-6
0.984, 7.616e-6
0.988, 7.864e-6
0.992, 8.017e-6
0.996, 7.864e-6
1.000, 7.911e-6
