July 23, 2025   16:24:58
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.508V
ip = 2.230e-5A
Ap = 3.358e-6VA

Potential/V, Current/A

0.004, 1.230e-5
0.008, 1.140e-5
0.012, 1.045e-5
0.016, 9.700e-6
0.020, 9.382e-6
0.024, 8.794e-6
0.028, 8.464e-6
0.032, 8.240e-6
0.036, 8.040e-6
0.040, 7.828e-6
0.044, 7.534e-6
0.048, 7.310e-6
0.052, 7.004e-6
0.056, 6.875e-6
0.060, 6.745e-6
0.064, 6.451e-6
0.068, 6.286e-6
0.072, 6.145e-6
0.076, 5.921e-6
0.080, 5.851e-6
0.084, 5.545e-6
0.088, 5.509e-6
0.092, 5.250e-6
0.096, 5.180e-6
0.100, 5.133e-6
0.104, 4.874e-6
0.108, 4.862e-6
0.112, 4.744e-6
0.116, 4.732e-6
0.120, 4.509e-6
0.124, 4.450e-6
0.128, 4.450e-6
0.132, 4.403e-6
0.136, 4.214e-6
0.140, 4.238e-6
0.144, 4.156e-6
0.148, 4.179e-6
0.152, 3.920e-6
0.156, 3.967e-6
0.160, 4.144e-6
0.164, 3.743e-6
0.168, 3.849e-6
0.172, 3.767e-6
0.176, 3.708e-6
0.180, 3.720e-6
0.184, 3.614e-6
0.188, 3.638e-6
0.192, 3.614e-6
0.196, 3.496e-6
0.200, 3.496e-6
0.204, 3.461e-6
0.208, 3.461e-6
0.212, 3.426e-6
0.216, 3.284e-6
0.220, 3.402e-6
0.224, 3.296e-6
0.228, 3.249e-6
0.232, 3.120e-6
0.236, 3.320e-6
0.240, 3.143e-6
0.244, 3.002e-6
0.248, 3.049e-6
0.252, 3.120e-6
0.256, 3.084e-6
0.260, 2.978e-6
0.264, 2.908e-6
0.268, 2.919e-6
0.272, 2.896e-6
0.276, 2.861e-6
0.280, 2.825e-6
0.284, 2.825e-6
0.288, 2.849e-6
0.292, 2.872e-6
0.296, 2.708e-6
0.300, 2.743e-6
0.304, 2.708e-6
0.308, 2.766e-6
0.312, 2.449e-6
0.316, 2.719e-6
0.320, 2.625e-6
0.324, 2.531e-6
0.328, 2.566e-6
0.332, 2.507e-6
0.336, 2.578e-6
0.340, 2.449e-6
0.344, 2.472e-6
0.348, 2.566e-6
0.352, 2.507e-6
0.356, 2.343e-6
0.360, 2.449e-6
0.364, 2.496e-6
0.368, 2.519e-6
0.372, 2.472e-6
0.376, 2.555e-6
0.380, 2.766e-6
0.384, 2.896e-6
0.388, 2.919e-6
0.392, 2.861e-6
0.396, 3.143e-6
0.400, 3.273e-6
0.404, 3.402e-6
0.408, 3.743e-6
0.412, 4.108e-6
0.416, 4.414e-6
0.420, 4.991e-6
0.424, 5.427e-6
