July 23, 2025   17:56:51
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.672V
ip = 2.660e-5A
Ap = 1.856e-6VA

Potential/V, Current/A

0.004, 5.085e-6
0.008, 4.932e-6
0.012, 4.779e-6
0.016, 4.744e-6
0.020, 4.779e-6
0.024, 4.367e-6
0.028, 4.297e-6
0.032, 4.203e-6
0.036, 4.120e-6
0.040, 4.085e-6
0.044, 3.967e-6
0.048, 3.791e-6
0.052, 3.932e-6
0.056, 3.614e-6
0.060, 3.614e-6
0.064, 3.567e-6
0.068, 3.685e-6
0.072, 3.602e-6
0.076, 3.520e-6
0.080, 3.567e-6
0.084, 3.437e-6
0.088, 3.237e-6
0.092, 3.461e-6
0.096, 3.355e-6
0.100, 3.496e-6
0.104, 3.061e-6
0.108, 3.308e-6
0.112, 3.014e-6
0.116, 3.214e-6
0.120, 3.061e-6
0.124, 3.061e-6
0.128, 3.178e-6
0.132, 2.919e-6
0.136, 3.014e-6
0.140, 3.002e-6
0.144, 3.002e-6
0.148, 2.990e-6
0.152, 3.025e-6
0.156, 2.849e-6
0.160, 2.978e-6
0.164, 2.943e-6
0.168, 2.919e-6
0.172, 2.872e-6
0.176, 2.755e-6
0.180, 2.660e-6
0.184, 2.590e-6
0.188, 2.790e-6
0.192, 2.825e-6
0.196, 2.590e-6
0.200, 2.672e-6
0.204, 2.590e-6
0.208, 2.637e-6
0.212, 2.496e-6
0.216, 2.519e-6
0.220, 2.566e-6
0.224, 2.484e-6
0.228, 2.460e-6
0.232, 2.401e-6
0.236, 2.484e-6
0.240, 2.390e-6
0.244, 2.331e-6
0.248, 2.260e-6
0.252, 2.425e-6
0.256, 2.237e-6
0.260, 2.213e-6
0.264, 2.284e-6
0.268, 2.201e-6
0.272, 2.272e-6
0.276, 2.296e-6
0.280, 2.178e-6
0.284, 2.225e-6
0.288, 2.166e-6
0.292, 2.237e-6
0.296, 2.131e-6
0.300, 2.166e-6
0.304, 2.060e-6
0.308, 2.201e-6
0.312, 2.095e-6
0.316, 2.084e-6
0.320, 2.072e-6
0.324, 2.095e-6
0.328, 1.989e-6
0.332, 2.095e-6
0.336, 2.084e-6
0.340, 2.025e-6
0.344, 1.989e-6
0.348, 2.025e-6
0.352, 2.013e-6
0.356, 2.025e-6
0.360, 1.954e-6
0.364, 2.025e-6
0.368, 2.060e-6
0.372, 2.001e-6
0.376, 2.084e-6
0.380, 2.048e-6
0.384, 2.225e-6
0.388, 1.989e-6
