July 23, 2025   19:32:29
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.544V
ip = 9.474e-6A
Ap = 1.323e-6VA

Potential/V, Current/A

0.004, 1.295e-5
0.008, 1.157e-5
0.012, 1.056e-5
0.016, 9.865e-6
0.020, 9.241e-6
0.024, 8.629e-6
0.028, 8.205e-6
0.032, 7.970e-6
0.036, 7.558e-6
0.040, 7.357e-6
0.044, 7.098e-6
0.048, 6.993e-6
0.052, 6.828e-6
0.056, 6.439e-6
0.060, 6.380e-6
0.064, 6.345e-6
0.068, 6.145e-6
0.072, 5.957e-6
0.076, 5.980e-6
0.080, 5.721e-6
0.084, 5.568e-6
0.088, 5.568e-6
0.092, 5.368e-6
0.096, 5.333e-6
0.100, 5.156e-6
0.104, 5.074e-6
0.108, 5.050e-6
0.112, 4.874e-6
0.116, 4.791e-6
0.120, 4.650e-6
0.124, 4.768e-6
0.128, 4.568e-6
0.132, 4.450e-6
0.136, 4.426e-6
0.140, 4.509e-6
0.144, 4.450e-6
0.148, 4.438e-6
0.152, 4.261e-6
0.156, 4.238e-6
0.160, 4.391e-6
0.164, 4.191e-6
0.168, 4.309e-6
0.172, 4.108e-6
0.176, 4.050e-6
0.180, 4.144e-6
0.184, 4.014e-6
0.188, 4.132e-6
0.192, 4.085e-6
0.196, 4.073e-6
0.200, 3.932e-6
0.204, 3.908e-6
0.208, 4.073e-6
0.212, 3.908e-6
0.216, 3.908e-6
0.220, 3.861e-6
0.224, 3.908e-6
0.228, 3.826e-6
0.232, 3.897e-6
0.236, 3.897e-6
0.240, 3.626e-6
0.244, 3.708e-6
0.248, 3.602e-6
0.252, 3.767e-6
0.256, 3.696e-6
0.260, 3.661e-6
0.264, 3.649e-6
0.268, 3.661e-6
0.272, 3.732e-6
0.276, 3.649e-6
0.280, 3.567e-6
0.284, 3.649e-6
0.288, 3.602e-6
0.292, 3.614e-6
0.296, 3.437e-6
0.300, 3.626e-6
0.304, 3.708e-6
0.308, 3.449e-6
0.312, 3.496e-6
0.316, 3.520e-6
0.320, 3.590e-6
0.324, 3.555e-6
0.328, 3.473e-6
0.332, 3.390e-6
0.336, 3.614e-6
0.340, 3.567e-6
0.344, 3.320e-6
0.348, 3.402e-6
0.352, 3.379e-6
0.356, 3.390e-6
0.360, 3.426e-6
0.364, 3.390e-6
0.368, 3.485e-6
0.372, 3.414e-6
0.376, 3.449e-6
0.380, 3.567e-6
0.384, 3.449e-6
0.388, 3.461e-6
0.392, 3.543e-6
0.396, 3.426e-6
0.400, 3.614e-6
0.404, 3.626e-6
0.408, 3.743e-6
0.412, 3.767e-6
0.416, 3.814e-6
0.420, 3.849e-6
0.424, 3.944e-6
0.428, 3.885e-6
0.432, 4.132e-6
0.436, 4.167e-6
0.440, 4.214e-6
0.444, 4.603e-6
0.448, 4.732e-6
0.452, 4.956e-6
0.456, 5.109e-6
0.460, 5.592e-6
0.464, 5.839e-6
0.468, 6.133e-6
0.472, 6.463e-6
0.476, 6.816e-6
0.480, 7.393e-6
0.484, 7.840e-6
0.488, 8.499e-6
0.492, 8.970e-6
0.496, 9.747e-6
0.500, 1.016e-5
0.504, 1.082e-5
0.508, 1.156e-5
0.512, 1.222e-5
0.516, 1.262e-5
0.520, 1.327e-5
0.524, 1.354e-5
0.528, 1.406e-5
0.532, 1.416e-5
0.536, 1.417e-5
0.540, 1.426e-5
0.544, 1.428e-5
0.548, 1.404e-5
0.552, 1.393e-5
0.556, 1.376e-5
0.560, 1.342e-5
0.564, 1.316e-5
0.568, 1.275e-5
0.572, 1.264e-5
0.576, 1.228e-5
0.580, 1.193e-5
0.584, 1.162e-5
0.588, 1.132e-5
0.592, 1.116e-5
0.596, 1.098e-5
0.600, 1.064e-5
0.604, 1.058e-5
0.608, 1.034e-5
0.612, 1.017e-5
0.616, 9.924e-6
0.620, 9.853e-6
0.624, 9.512e-6
0.628, 9.370e-6
0.632, 9.265e-6
0.636, 9.194e-6
0.640, 9.194e-6
0.644, 8.864e-6
0.648, 8.817e-6
0.652, 8.711e-6
0.656, 8.699e-6
0.660, 8.488e-6
0.664, 8.440e-6
0.668, 8.358e-6
0.672, 8.182e-6
0.676, 8.217e-6
0.680, 8.040e-6
0.684, 7.958e-6
0.688, 7.923e-6
0.692, 7.828e-6
0.696, 7.675e-6
0.700, 7.593e-6
0.704, 7.534e-6
0.708, 7.369e-6
0.712, 7.393e-6
0.716, 7.334e-6
0.720, 7.204e-6
0.724, 7.228e-6
0.728, 7.193e-6
0.732, 7.098e-6
0.736, 7.193e-6
0.740, 6.981e-6
0.744, 6.851e-6
0.748, 6.922e-6
0.752, 6.781e-6
0.756, 6.663e-6
0.760, 6.616e-6
0.764, 6.734e-6
0.768, 6.651e-6
0.772, 6.416e-6
0.776, 6.545e-6
0.780, 6.569e-6
0.784, 6.486e-6
0.788, 6.392e-6
0.792, 6.463e-6
0.796, 6.416e-6
0.800, 6.251e-6
0.804, 6.298e-6
0.808, 6.157e-6
0.812, 6.227e-6
0.816, 6.157e-6
0.820, 6.239e-6
0.824, 5.992e-6
0.828, 6.027e-6
0.832, 6.180e-6
0.836, 6.027e-6
0.840, 5.992e-6
0.844, 5.968e-6
0.848, 6.098e-6
0.852, 6.098e-6
0.856, 6.027e-6
0.860, 5.898e-6
0.864, 6.004e-6
0.868, 6.180e-6
0.872, 6.051e-6
0.876, 6.098e-6
0.880, 6.251e-6
0.884, 6.133e-6
0.888, 6.121e-6
0.892, 6.227e-6
0.896, 6.180e-6
0.900, 6.180e-6
0.904, 6.345e-6
0.908, 6.333e-6
0.912, 6.286e-6
0.916, 6.357e-6
0.920, 6.416e-6
0.924, 6.333e-6
0.928, 6.557e-6
0.932, 6.369e-6
0.936, 6.663e-6
0.940, 6.451e-6
0.944, 6.686e-6
0.948, 6.522e-6
0.952, 6.510e-6
0.956, 6.675e-6
0.960, 6.686e-6
0.964, 6.698e-6
0.968, 6.604e-6
0.972, 6.863e-6
0.976, 6.887e-6
0.980, 6.993e-6
0.984, 6.981e-6
0.988, 7.110e-6
0.992, 7.181e-6
0.996, 7.040e-6
1.000, 7.240e-6
