July 23, 2025   17:51:29
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.104V
ip = 6.727e-7A
Ap = 5.802e-8VA

Ep = 0.584V
ip = 3.009e-5A
Ap = 3.472e-6VA

Potential/V, Current/A

0.004, 8.511e-6
0.008, 8.287e-6
0.012, 7.828e-6
0.016, 7.369e-6
0.020, 7.134e-6
0.024, 6.757e-6
0.028, 6.510e-6
0.032, 6.439e-6
0.036, 6.310e-6
0.040, 6.121e-6
0.044, 6.263e-6
0.048, 6.051e-6
0.052, 6.063e-6
0.056, 6.015e-6
0.060, 6.133e-6
0.064, 6.051e-6
0.068, 6.239e-6
0.072, 6.110e-6
0.076, 6.227e-6
0.080, 6.286e-6
0.084, 6.121e-6
0.088, 6.074e-6
0.092, 6.251e-6
0.096, 6.286e-6
0.100, 6.145e-6
0.104, 6.416e-6
0.108, 6.239e-6
0.112, 6.322e-6
0.116, 6.227e-6
0.120, 6.180e-6
0.124, 6.157e-6
0.128, 6.169e-6
0.132, 6.063e-6
0.136, 6.027e-6
0.140, 5.886e-6
0.144, 5.992e-6
0.148, 5.862e-6
0.152, 5.815e-6
0.156, 5.698e-6
0.160, 5.874e-6
0.164, 5.603e-6
0.168, 5.556e-6
0.172, 5.521e-6
0.176, 5.450e-6
0.180, 5.439e-6
0.184, 5.239e-6
0.188, 5.309e-6
0.192, 5.333e-6
0.196, 4.991e-6
0.200, 5.050e-6
0.204, 5.003e-6
0.208, 5.027e-6
0.212, 4.909e-6
0.216, 4.874e-6
0.220, 4.650e-6
0.224, 4.803e-6
0.228, 4.626e-6
0.232, 4.650e-6
0.236, 4.650e-6
0.240, 4.544e-6
0.244, 4.297e-6
0.248, 4.356e-6
0.252, 4.309e-6
0.256, 4.379e-6
0.260, 4.297e-6
0.264, 4.238e-6
0.268, 4.261e-6
0.272, 4.367e-6
0.276, 4.144e-6
0.280, 4.226e-6
0.284, 4.108e-6
0.288, 3.991e-6
0.292, 4.002e-6
0.296, 4.050e-6
0.300, 3.932e-6
0.304, 3.932e-6
0.308, 3.979e-6
0.312, 3.720e-6
0.316, 3.897e-6
0.320, 3.802e-6
0.324, 3.838e-6
0.328, 3.814e-6
0.332, 3.849e-6
0.336, 3.802e-6
0.340, 3.920e-6
0.344, 3.743e-6
0.348, 3.649e-6
0.352, 3.567e-6
0.356, 3.743e-6
0.360, 3.755e-6
0.364, 3.743e-6
0.368, 3.755e-6
0.372, 3.661e-6
0.376, 3.520e-6
0.380, 3.602e-6
0.384, 3.685e-6
0.388, 3.638e-6
0.392, 3.508e-6
0.396, 3.696e-6
0.400, 3.496e-6
0.404, 3.508e-6
0.408, 3.308e-6
0.412, 3.473e-6
0.416, 3.331e-6
0.420, 3.237e-6
0.424, 3.331e-6
0.428, 3.261e-6
0.432, 3.426e-6
0.436, 3.284e-6
0.440, 3.131e-6
0.444, 3.261e-6
0.448, 3.320e-6
0.452, 3.131e-6
0.456, 3.131e-6
0.460, 3.379e-6
0.464, 3.178e-6
0.468, 3.190e-6
0.472, 3.296e-6
0.476, 3.414e-6
0.480, 3.308e-6
0.484, 3.437e-6
0.488, 3.532e-6
0.492, 3.767e-6
0.496, 3.908e-6
0.500, 3.944e-6
0.504, 4.297e-6
0.508, 4.556e-6
0.512, 5.133e-6
0.516, 5.297e-6
0.520, 6.133e-6
0.524, 7.004e-6
0.528, 7.911e-6
0.532, 9.159e-6
0.536, 1.090e-5
0.540, 1.316e-5
0.544, 1.577e-5
0.548, 1.924e-5
0.552, 2.330e-5
0.556, 2.761e-5
0.560, 3.233e-5
0.564, 3.652e-5
0.568, 3.955e-5
0.572, 4.153e-5
0.576, 4.251e-5
0.580, 4.258e-5
0.584, 4.260e-5
0.588, 4.246e-5
0.592, 4.219e-5
0.596, 4.190e-5
0.600, 4.147e-5
0.604, 4.130e-5
0.608, 4.130e-5
0.612, 4.123e-5
0.616, 4.130e-5
0.620, 4.145e-5
0.624, 4.140e-5
0.628, 4.127e-5
