July 23, 2025   19:05:47
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.532V
ip = 1.058e-5A
Ap = 1.443e-6VA

Potential/V, Current/A

0.004, 1.151e-5
0.008, 1.041e-5
0.012, 9.582e-6
0.016, 8.935e-6
0.020, 8.346e-6
0.024, 7.911e-6
0.028, 7.628e-6
0.032, 7.357e-6
0.036, 6.922e-6
0.040, 6.722e-6
0.044, 6.439e-6
0.048, 6.192e-6
0.052, 6.098e-6
0.056, 5.827e-6
0.060, 5.592e-6
0.064, 5.474e-6
0.068, 5.309e-6
0.072, 5.168e-6
0.076, 5.015e-6
0.080, 4.909e-6
0.084, 4.838e-6
0.088, 4.685e-6
0.092, 4.579e-6
0.096, 4.520e-6
0.100, 4.273e-6
0.104, 4.191e-6
0.108, 4.167e-6
0.112, 4.203e-6
0.116, 4.097e-6
0.120, 3.955e-6
0.124, 3.779e-6
0.128, 3.743e-6
0.132, 3.590e-6
0.136, 3.720e-6
0.140, 3.755e-6
0.144, 3.696e-6
0.148, 3.532e-6
0.152, 3.567e-6
0.156, 3.437e-6
0.160, 3.426e-6
0.164, 3.414e-6
0.168, 3.414e-6
0.172, 3.367e-6
0.176, 3.379e-6
0.180, 3.402e-6
0.184, 3.131e-6
0.188, 3.343e-6
0.192, 3.190e-6
0.196, 3.167e-6
0.200, 3.120e-6
0.204, 3.190e-6
0.208, 3.084e-6
0.212, 2.943e-6
0.216, 2.978e-6
0.220, 3.049e-6
0.224, 2.978e-6
0.228, 2.955e-6
0.232, 3.002e-6
0.236, 2.919e-6
0.240, 2.896e-6
0.244, 2.978e-6
0.248, 2.872e-6
0.252, 2.872e-6
0.256, 2.908e-6
0.260, 2.731e-6
0.264, 2.755e-6
0.268, 2.790e-6
0.272, 2.849e-6
0.276, 2.825e-6
0.280, 2.625e-6
0.284, 2.719e-6
0.288, 2.625e-6
0.292, 2.708e-6
0.296, 2.696e-6
0.300, 2.613e-6
0.304, 2.743e-6
0.308, 2.672e-6
0.312, 2.566e-6
0.316, 2.802e-6
0.320, 2.755e-6
0.324, 2.590e-6
0.328, 2.708e-6
0.332, 2.684e-6
0.336, 2.625e-6
0.340, 2.507e-6
0.344, 2.484e-6
0.348, 2.602e-6
0.352, 2.660e-6
0.356, 2.484e-6
0.360, 2.590e-6
0.364, 2.566e-6
0.368, 2.743e-6
0.372, 2.637e-6
0.376, 2.649e-6
0.380, 2.649e-6
0.384, 2.684e-6
0.388, 2.778e-6
0.392, 2.884e-6
0.396, 2.814e-6
0.400, 2.919e-6
0.404, 2.919e-6
0.408, 2.967e-6
0.412, 3.061e-6
0.416, 3.178e-6
0.420, 3.049e-6
0.424, 3.343e-6
0.428, 3.379e-6
0.432, 3.661e-6
0.436, 3.638e-6
0.440, 3.791e-6
0.444, 3.979e-6
0.448, 4.332e-6
0.452, 4.426e-6
0.456, 4.827e-6
0.460, 5.121e-6
0.464, 5.533e-6
0.468, 5.721e-6
0.472, 6.216e-6
0.476, 6.722e-6
0.480, 7.204e-6
0.484, 7.746e-6
0.488, 8.488e-6
0.492, 9.088e-6
0.496, 9.841e-6
0.500, 1.065e-5
0.504, 1.124e-5
0.508, 1.203e-5
0.512, 1.269e-5
0.516, 1.329e-5
0.520, 1.383e-5
0.524, 1.416e-5
0.528, 1.449e-5
0.532, 1.479e-5
0.536, 1.470e-5
0.540, 1.475e-5
0.544, 1.464e-5
0.548, 1.437e-5
0.552, 1.411e-5
0.556, 1.393e-5
0.560, 1.356e-5
0.564, 1.329e-5
0.568, 1.297e-5
0.572, 1.271e-5
0.576, 1.229e-5
0.580, 1.188e-5
0.584, 1.167e-5
0.588, 1.138e-5
0.592, 1.121e-5
0.596, 1.094e-5
0.600, 1.065e-5
0.604, 1.061e-5
0.608, 1.025e-5
0.612, 9.983e-6
0.616, 9.794e-6
0.620, 9.665e-6
0.624, 9.488e-6
0.628, 9.265e-6
0.632, 9.147e-6
0.636, 8.970e-6
0.640, 8.911e-6
0.644, 8.594e-6
0.648, 8.546e-6
0.652, 8.523e-6
0.656, 8.382e-6
0.660, 8.276e-6
0.664, 8.264e-6
0.668, 8.134e-6
0.672, 7.887e-6
0.676, 7.793e-6
0.680, 7.923e-6
0.684, 7.652e-6
0.688, 7.770e-6
0.692, 7.675e-6
0.696, 7.393e-6
0.700, 7.475e-6
0.704, 7.369e-6
0.708, 7.098e-6
0.712, 7.146e-6
0.716, 7.228e-6
0.720, 6.981e-6
0.724, 6.981e-6
0.728, 6.792e-6
0.732, 6.792e-6
0.736, 6.710e-6
0.740, 6.769e-6
0.744, 6.734e-6
0.748, 6.581e-6
0.752, 6.592e-6
0.756, 6.427e-6
0.760, 6.239e-6
0.764, 6.392e-6
0.768, 6.380e-6
0.772, 6.274e-6
0.776, 6.310e-6
0.780, 6.227e-6
0.784, 6.239e-6
0.788, 6.227e-6
0.792, 6.133e-6
0.796, 6.180e-6
0.800, 6.063e-6
0.804, 6.015e-6
0.808, 6.086e-6
0.812, 5.957e-6
0.816, 5.839e-6
0.820, 5.886e-6
0.824, 5.733e-6
0.828, 5.733e-6
0.832, 5.815e-6
0.836, 5.733e-6
0.840, 5.745e-6
0.844, 5.851e-6
0.848, 5.733e-6
0.852, 5.686e-6
0.856, 5.709e-6
0.860, 5.756e-6
0.864, 5.733e-6
0.868, 5.639e-6
0.872, 5.792e-6
0.876, 5.709e-6
0.880, 5.780e-6
0.884, 5.733e-6
0.888, 5.615e-6
0.892, 5.792e-6
0.896, 5.721e-6
0.900, 5.745e-6
0.904, 5.792e-6
0.908, 5.957e-6
0.912, 5.851e-6
0.916, 5.768e-6
0.920, 5.627e-6
0.924, 5.992e-6
0.928, 5.862e-6
0.932, 5.745e-6
0.936, 5.957e-6
0.940, 5.945e-6
0.944, 5.874e-6
0.948, 5.898e-6
0.952, 5.910e-6
0.956, 5.768e-6
0.960, 5.804e-6
0.964, 6.027e-6
0.968, 5.980e-6
0.972, 5.921e-6
0.976, 5.968e-6
0.980, 6.086e-6
0.984, 6.004e-6
0.988, 6.086e-6
0.992, 6.192e-6
0.996, 6.169e-6
1.000, 6.180e-6
