July 23, 2025   17:23:31
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.492V
ip = 1.557e-5A
Ap = 1.352e-6VA

Potential/V, Current/A

0.004, 1.108e-5
0.008, 1.022e-5
0.012, 9.582e-6
0.016, 9.194e-6
0.020, 8.699e-6
0.024, 8.382e-6
0.028, 8.240e-6
0.032, 8.005e-6
0.036, 7.781e-6
0.040, 7.605e-6
0.044, 7.616e-6
0.048, 7.310e-6
0.052, 7.098e-6
0.056, 6.863e-6
0.060, 6.910e-6
0.064, 6.427e-6
0.068, 6.510e-6
0.072, 6.180e-6
0.076, 6.345e-6
0.080, 6.027e-6
0.084, 5.898e-6
0.088, 5.768e-6
0.092, 5.768e-6
0.096, 5.568e-6
0.100, 5.533e-6
0.104, 5.486e-6
0.108, 5.321e-6
0.112, 5.144e-6
0.116, 5.156e-6
0.120, 5.085e-6
0.124, 4.980e-6
0.128, 4.744e-6
0.132, 4.673e-6
0.136, 4.520e-6
0.140, 4.615e-6
0.144, 4.603e-6
0.148, 4.532e-6
0.152, 4.403e-6
0.156, 4.462e-6
0.160, 4.403e-6
0.164, 4.309e-6
0.168, 4.250e-6
0.172, 4.250e-6
0.176, 4.238e-6
0.180, 4.073e-6
0.184, 4.144e-6
0.188, 4.120e-6
0.192, 3.967e-6
0.196, 3.932e-6
0.200, 3.944e-6
0.204, 3.885e-6
0.208, 3.873e-6
0.212, 3.838e-6
0.216, 3.720e-6
0.220, 3.814e-6
0.224, 3.779e-6
0.228, 3.614e-6
0.232, 3.696e-6
0.236, 3.767e-6
0.240, 3.673e-6
0.244, 3.579e-6
0.248, 3.555e-6
0.252, 3.473e-6
0.256, 3.543e-6
0.260, 3.437e-6
0.264, 3.437e-6
0.268, 3.402e-6
0.272, 3.320e-6
0.276, 3.343e-6
0.280, 3.284e-6
0.284, 3.379e-6
0.288, 3.190e-6
0.292, 3.108e-6
0.296, 3.237e-6
0.300, 3.249e-6
0.304, 3.072e-6
0.308, 3.014e-6
0.312, 3.014e-6
0.316, 2.955e-6
0.320, 2.978e-6
0.324, 2.990e-6
0.328, 3.037e-6
0.332, 2.955e-6
0.336, 2.896e-6
0.340, 2.896e-6
0.344, 2.908e-6
0.348, 2.919e-6
0.352, 2.967e-6
0.356, 3.061e-6
0.360, 3.002e-6
0.364, 3.249e-6
0.368, 3.249e-6
0.372, 3.437e-6
0.376, 3.473e-6
0.380, 3.920e-6
0.384, 4.214e-6
0.388, 4.356e-6
0.392, 4.909e-6
0.396, 5.498e-6
0.400, 6.157e-6
0.404, 7.098e-6
0.408, 8.111e-6
0.412, 9.465e-6
0.416, 1.117e-5
0.420, 1.309e-5
0.424, 1.547e-5
0.428, 1.819e-5
0.432, 2.111e-5
0.436, 2.403e-5
0.440, 2.702e-5
0.444, 3.020e-5
0.448, 3.328e-5
0.452, 3.610e-5
0.456, 3.874e-5
0.460, 4.072e-5
0.464, 4.190e-5
0.468, 4.263e-5
0.472, 4.281e-5
0.476, 4.324e-5
0.480, 4.349e-5
0.484, 4.380e-5
0.488, 4.407e-5
0.492, 4.419e-5
0.496, 4.419e-5
0.500, 4.403e-5
0.504, 4.374e-5
0.508, 4.341e-5
0.512, 4.293e-5
0.516, 4.251e-5
0.520, 4.218e-5
0.524, 4.165e-5
0.528, 4.131e-5
0.532, 4.085e-5
0.536, 4.063e-5
0.540, 4.031e-5
0.544, 4.004e-5
0.548, 3.985e-5
0.552, 3.974e-5
0.556, 3.945e-5
0.560, 3.931e-5
0.564, 3.906e-5
0.568, 3.887e-5
0.572, 3.855e-5
0.576, 3.829e-5
0.580, 3.754e-5
0.584, 3.711e-5
0.588, 3.648e-5
0.592, 3.573e-5
0.596, 3.496e-5
0.600, 3.403e-5
0.604, 3.316e-5
0.608, 3.250e-5
0.612, 3.148e-5
0.616, 3.063e-5
0.620, 2.998e-5
0.624, 2.886e-5
0.628, 2.828e-5
0.632, 2.758e-5
0.636, 2.679e-5
0.640, 2.613e-5
0.644, 2.550e-5
0.648, 2.473e-5
0.652, 2.436e-5
0.656, 2.376e-5
0.660, 2.339e-5
0.664, 2.277e-5
0.668, 2.237e-5
0.672, 2.183e-5
0.676, 2.141e-5
0.680, 2.097e-5
0.684, 2.062e-5
0.688, 2.005e-5
0.692, 1.980e-5
0.696, 1.955e-5
0.700, 1.902e-5
0.704, 1.869e-5
0.708, 1.823e-5
0.712, 1.800e-5
0.716, 1.762e-5
0.720, 1.725e-5
0.724, 1.695e-5
0.728, 1.652e-5
0.732, 1.626e-5
0.736, 1.596e-5
0.740, 1.550e-5
0.744, 1.515e-5
0.748, 1.499e-5
0.752, 1.469e-5
0.756, 1.435e-5
0.760, 1.391e-5
0.764, 1.369e-5
0.768, 1.338e-5
0.772, 1.314e-5
0.776, 1.297e-5
0.780, 1.265e-5
0.784, 1.242e-5
0.788, 1.231e-5
0.792, 1.191e-5
0.796, 1.178e-5
0.800, 1.162e-5
0.804, 1.132e-5
0.808, 1.117e-5
0.812, 1.103e-5
0.816, 1.087e-5
0.820, 1.069e-5
0.824, 1.032e-5
0.828, 1.036e-5
0.832, 1.032e-5
0.836, 9.912e-6
0.840, 9.900e-6
0.844, 9.759e-6
0.848, 9.594e-6
0.852, 9.724e-6
0.856, 9.606e-6
0.860, 9.453e-6
0.864, 9.382e-6
0.868, 9.288e-6
0.872, 9.229e-6
0.876, 9.217e-6
0.880, 9.147e-6
0.884, 9.100e-6
0.888, 8.970e-6
0.892, 9.112e-6
0.896, 9.041e-6
0.900, 8.805e-6
0.904, 8.958e-6
0.908, 8.888e-6
0.912, 8.876e-6
0.916, 8.794e-6
0.920, 8.923e-6
0.924, 8.947e-6
0.928, 8.900e-6
0.932, 9.053e-6
0.936, 9.112e-6
0.940, 8.864e-6
0.944, 8.958e-6
0.948, 8.911e-6
0.952, 8.935e-6
0.956, 9.064e-6
0.960, 9.017e-6
0.964, 9.123e-6
0.968, 9.147e-6
0.972, 9.017e-6
0.976, 9.159e-6
0.980, 9.017e-6
0.984, 9.300e-6
0.988, 9.076e-6
0.992, 9.194e-6
0.996, 9.312e-6
1.000, 9.347e-6
