July 23, 2025   18:55:35
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.544V
ip = 9.941e-6A
Ap = 1.435e-6VA

Potential/V, Current/A

0.004, 1.098e-5
0.008, 9.959e-6
0.012, 9.217e-6
0.016, 8.476e-6
0.020, 7.993e-6
0.024, 7.769e-6
0.028, 7.357e-6
0.032, 6.910e-6
0.036, 6.557e-6
0.040, 6.098e-6
0.044, 6.063e-6
0.048, 5.733e-6
0.052, 5.521e-6
0.056, 5.227e-6
0.060, 5.097e-6
0.064, 4.909e-6
0.068, 4.732e-6
0.072, 4.650e-6
0.076, 4.520e-6
0.080, 4.332e-6
0.084, 4.108e-6
0.088, 3.908e-6
0.092, 3.979e-6
0.096, 3.885e-6
0.100, 3.661e-6
0.104, 3.685e-6
0.108, 3.579e-6
0.112, 3.543e-6
0.116, 3.426e-6
0.120, 3.308e-6
0.124, 3.261e-6
0.128, 3.379e-6
0.132, 2.990e-6
0.136, 3.226e-6
0.140, 3.143e-6
0.144, 3.120e-6
0.148, 2.919e-6
0.152, 2.955e-6
0.156, 2.943e-6
0.160, 2.861e-6
0.164, 2.731e-6
0.168, 2.755e-6
0.172, 2.908e-6
0.176, 2.719e-6
0.180, 2.813e-6
0.184, 2.590e-6
0.188, 2.531e-6
0.192, 2.660e-6
0.196, 2.578e-6
0.200, 2.660e-6
0.204, 2.566e-6
0.208, 2.613e-6
0.212, 2.578e-6
0.216, 2.507e-6
0.220, 2.425e-6
0.224, 2.472e-6
0.228, 2.390e-6
0.232, 2.484e-6
0.236, 2.354e-6
0.240, 2.366e-6
0.244, 2.390e-6
0.248, 2.307e-6
0.252, 2.519e-6
0.256, 2.331e-6
0.260, 2.237e-6
0.264, 2.225e-6
0.268, 2.248e-6
0.272, 2.107e-6
0.276, 2.178e-6
0.280, 2.142e-6
0.284, 2.142e-6
0.288, 2.131e-6
0.292, 2.107e-6
0.296, 2.025e-6
0.300, 2.131e-6
0.304, 2.213e-6
0.308, 2.060e-6
0.312, 2.048e-6
0.316, 2.013e-6
0.320, 2.013e-6
0.324, 2.048e-6
0.328, 2.084e-6
0.332, 1.884e-6
0.336, 1.895e-6
0.340, 2.048e-6
0.344, 1.848e-6
0.348, 2.025e-6
0.352, 1.825e-6
0.356, 2.095e-6
0.360, 1.919e-6
0.364, 2.107e-6
0.368, 2.048e-6
0.372, 2.072e-6
0.376, 2.048e-6
0.380, 2.107e-6
0.384, 2.095e-6
0.388, 2.084e-6
0.392, 2.260e-6
0.396, 2.142e-6
0.400, 2.201e-6
0.404, 2.272e-6
0.408, 2.331e-6
0.412, 2.449e-6
0.416, 2.555e-6
0.420, 2.507e-6
0.424, 2.696e-6
0.428, 2.872e-6
0.432, 3.025e-6
0.436, 3.096e-6
0.440, 3.202e-6
0.444, 3.437e-6
0.448, 3.673e-6
0.452, 3.908e-6
0.456, 4.002e-6
0.460, 4.520e-6
0.464, 4.732e-6
0.468, 5.156e-6
0.472, 5.615e-6
0.476, 6.169e-6
0.480, 6.522e-6
0.484, 7.051e-6
0.488, 7.899e-6
0.492, 8.594e-6
0.496, 9.170e-6
0.500, 9.700e-6
0.504, 1.038e-5
0.508, 1.124e-5
0.512, 1.180e-5
0.516, 1.227e-5
0.520, 1.274e-5
0.524, 1.314e-5
0.528, 1.343e-5
0.532, 1.357e-5
0.536, 1.381e-5
0.540, 1.383e-5
0.544, 1.394e-5
0.548, 1.380e-5
0.552, 1.373e-5
0.556, 1.362e-5
0.560, 1.338e-5
0.564, 1.323e-5
0.568, 1.288e-5
0.572, 1.277e-5
0.576, 1.244e-5
0.580, 1.218e-5
0.584, 1.195e-5
0.588, 1.170e-5
0.592, 1.138e-5
0.596, 1.109e-5
0.600, 1.084e-5
