July 23, 2025   19:47:26
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.484V
ip = 3.407e-5A
Ap = 4.083e-6VA

Potential/V, Current/A

0.004, 1.367e-5
0.008, 1.280e-5
0.012, 1.185e-5
0.016, 1.118e-5
0.020, 1.062e-5
0.024, 9.959e-6
0.028, 9.688e-6
0.032, 9.418e-6
0.036, 8.853e-6
0.040, 8.594e-6
0.044, 8.429e-6
0.048, 8.240e-6
0.052, 8.182e-6
0.056, 7.805e-6
0.060, 7.840e-6
0.064, 7.711e-6
0.068, 7.511e-6
0.072, 7.452e-6
0.076, 7.310e-6
0.080, 7.252e-6
0.084, 7.028e-6
0.088, 6.863e-6
0.092, 6.887e-6
0.096, 6.710e-6
0.100, 6.604e-6
0.104, 6.498e-6
0.108, 6.322e-6
0.112, 6.204e-6
0.116, 6.145e-6
0.120, 6.004e-6
0.124, 5.910e-6
0.128, 5.921e-6
0.132, 5.686e-6
0.136, 5.839e-6
0.140, 5.545e-6
0.144, 5.545e-6
0.148, 5.545e-6
0.152, 5.556e-6
0.156, 5.356e-6
0.160, 5.356e-6
0.164, 5.227e-6
0.168, 5.227e-6
0.172, 5.262e-6
0.176, 5.133e-6
0.180, 4.921e-6
0.184, 4.909e-6
0.188, 4.779e-6
0.192, 4.850e-6
0.196, 4.779e-6
0.200, 4.850e-6
0.204, 4.709e-6
0.208, 4.768e-6
0.212, 4.615e-6
0.216, 4.497e-6
0.220, 4.626e-6
0.224, 4.579e-6
0.228, 4.509e-6
0.232, 4.509e-6
0.236, 4.450e-6
0.240, 4.332e-6
0.244, 4.320e-6
0.248, 4.250e-6
0.252, 4.379e-6
0.256, 4.191e-6
0.260, 4.214e-6
