July 23, 2025   20:05:36
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.516V
ip = 3.685e-5A
Ap = 5.164e-6VA

Potential/V, Current/A

0.004, 1.726e-5
0.008, 1.593e-5
0.012, 1.443e-5
0.016, 1.336e-5
0.020, 1.235e-5
0.024, 1.149e-5
0.028, 1.091e-5
0.032, 1.044e-5
0.036, 9.947e-6
0.040, 9.594e-6
0.044, 9.265e-6
0.048, 9.135e-6
0.052, 8.805e-6
0.056, 8.464e-6
0.060, 8.240e-6
0.064, 7.970e-6
0.068, 7.840e-6
0.072, 7.499e-6
0.076, 7.334e-6
0.080, 7.181e-6
0.084, 6.734e-6
0.088, 6.686e-6
0.092, 6.604e-6
0.096, 6.392e-6
0.100, 6.074e-6
0.104, 6.110e-6
0.108, 5.980e-6
0.112, 5.780e-6
0.116, 5.662e-6
0.120, 5.403e-6
0.124, 5.415e-6
0.128, 5.356e-6
0.132, 5.050e-6
0.136, 5.156e-6
0.140, 5.027e-6
0.144, 5.003e-6
0.148, 4.815e-6
0.152, 4.662e-6
0.156, 4.768e-6
0.160, 4.815e-6
0.164, 4.662e-6
0.168, 4.438e-6
0.172, 4.579e-6
0.176, 4.379e-6
0.180, 4.403e-6
0.184, 4.356e-6
0.188, 4.332e-6
0.192, 4.203e-6
0.196, 4.120e-6
0.200, 4.061e-6
0.204, 4.085e-6
0.208, 4.038e-6
0.212, 3.897e-6
0.216, 3.791e-6
0.220, 3.897e-6
0.224, 3.626e-6
0.228, 3.685e-6
0.232, 3.708e-6
0.236, 3.685e-6
0.240, 3.579e-6
0.244, 3.590e-6
0.248, 3.473e-6
0.252, 3.579e-6
0.256, 3.437e-6
0.260, 3.414e-6
0.264, 3.473e-6
0.268, 3.414e-6
0.272, 3.390e-6
0.276, 3.437e-6
0.280, 3.249e-6
0.284, 3.331e-6
0.288, 3.273e-6
0.292, 3.143e-6
0.296, 3.178e-6
0.300, 3.261e-6
0.304, 3.108e-6
0.308, 3.096e-6
0.312, 3.025e-6
