July 23, 2025   15:53:13
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.528V
ip = 9.860e-6A
Ap = 1.295e-6VA

Potential/V, Current/A

0.004, 9.029e-6
0.008, 8.558e-6
0.012, 8.193e-6
0.016, 7.993e-6
0.020, 7.369e-6
0.024, 7.040e-6
0.028, 6.851e-6
0.032, 6.569e-6
0.036, 6.310e-6
0.040, 6.086e-6
0.044, 5.980e-6
0.048, 5.780e-6
0.052, 5.662e-6
0.056, 5.344e-6
0.060, 5.344e-6
0.064, 5.144e-6
0.068, 4.932e-6
0.072, 4.944e-6
0.076, 4.885e-6
0.080, 4.697e-6
0.084, 4.509e-6
0.088, 4.473e-6
0.092, 4.332e-6
0.096, 4.309e-6
0.100, 4.214e-6
0.104, 4.273e-6
0.108, 4.132e-6
0.112, 3.991e-6
0.116, 4.132e-6
0.120, 3.944e-6
0.124, 3.826e-6
0.128, 3.861e-6
0.132, 3.638e-6
0.136, 3.779e-6
0.140, 3.696e-6
0.144, 3.720e-6
0.148, 3.626e-6
0.152, 3.649e-6
0.156, 3.449e-6
0.160, 3.638e-6
0.164, 3.331e-6
0.168, 3.461e-6
0.172, 3.437e-6
0.176, 3.331e-6
0.180, 3.402e-6
0.184, 3.343e-6
0.188, 3.508e-6
0.192, 3.367e-6
0.196, 3.308e-6
0.200, 3.214e-6
0.204, 3.355e-6
0.208, 3.202e-6
0.212, 3.202e-6
0.216, 3.084e-6
0.220, 3.120e-6
0.224, 3.214e-6
0.228, 3.037e-6
0.232, 3.072e-6
0.236, 3.143e-6
0.240, 2.943e-6
0.244, 2.872e-6
0.248, 2.825e-6
0.252, 2.978e-6
0.256, 2.896e-6
0.260, 2.719e-6
0.264, 2.967e-6
0.268, 2.719e-6
0.272, 2.778e-6
0.276, 2.861e-6
0.280, 2.755e-6
0.284, 2.766e-6
0.288, 2.743e-6
0.292, 2.743e-6
0.296, 2.802e-6
0.300, 2.684e-6
0.304, 2.484e-6
0.308, 2.625e-6
0.312, 2.555e-6
0.316, 2.566e-6
0.320, 2.602e-6
0.324, 2.460e-6
0.328, 2.519e-6
0.332, 2.578e-6
0.336, 2.507e-6
0.340, 2.507e-6
0.344, 2.507e-6
0.348, 2.460e-6
0.352, 2.531e-6
0.356, 2.354e-6
0.360, 2.472e-6
0.364, 2.649e-6
0.368, 2.496e-6
0.372, 2.566e-6
0.376, 2.649e-6
0.380, 2.684e-6
0.384, 2.649e-6
0.388, 2.602e-6
0.392, 2.460e-6
0.396, 2.778e-6
0.400, 2.660e-6
0.404, 2.755e-6
0.408, 2.708e-6
0.412, 2.861e-6
0.416, 3.002e-6
0.420, 2.814e-6
0.424, 2.931e-6
0.428, 3.096e-6
0.432, 3.226e-6
0.436, 3.296e-6
0.440, 3.355e-6
0.444, 3.649e-6
0.448, 3.779e-6
0.452, 3.955e-6
0.456, 4.332e-6
0.460, 4.603e-6
0.464, 4.944e-6
0.468, 5.250e-6
0.472, 5.709e-6
0.476, 6.322e-6
0.480, 6.981e-6
0.484, 7.699e-6
0.488, 8.299e-6
0.492, 9.112e-6
0.496, 9.924e-6
0.500, 1.074e-5
0.504, 1.150e-5
0.508, 1.225e-5
0.512, 1.285e-5
0.516, 1.326e-5
0.520, 1.390e-5
0.524, 1.407e-5
0.528, 1.416e-5
0.532, 1.404e-5
0.536, 1.394e-5
0.540, 1.376e-5
0.544, 1.342e-5
0.548, 1.310e-5
0.552, 1.283e-5
0.556, 1.245e-5
0.560, 1.204e-5
0.564, 1.174e-5
0.568, 1.141e-5
0.572, 1.118e-5
0.576, 1.105e-5
0.580, 1.070e-5
0.584, 1.068e-5
0.588, 1.051e-5
0.592, 1.032e-5
0.596, 1.018e-5
0.600, 9.936e-6
0.604, 9.936e-6
0.608, 9.724e-6
0.612, 9.712e-6
0.616, 9.677e-6
0.620, 9.429e-6
0.624, 9.347e-6
0.628, 9.241e-6
0.632, 8.994e-6
0.636, 9.053e-6
0.640, 8.958e-6
0.644, 8.735e-6
0.648, 8.794e-6
0.652, 8.735e-6
0.656, 8.511e-6
0.660, 8.641e-6
0.664, 8.464e-6
0.668, 8.335e-6
0.672, 8.382e-6
0.676, 8.111e-6
0.680, 8.205e-6
0.684, 7.934e-6
0.688, 7.946e-6
0.692, 8.064e-6
0.696, 7.711e-6
0.700, 7.817e-6
0.704, 7.652e-6
0.708, 7.475e-6
0.712, 7.522e-6
0.716, 7.381e-6
0.720, 7.522e-6
0.724, 7.193e-6
0.728, 7.310e-6
0.732, 7.263e-6
0.736, 7.228e-6
0.740, 7.204e-6
0.744, 7.040e-6
0.748, 7.016e-6
0.752, 6.934e-6
0.756, 6.969e-6
0.760, 6.734e-6
0.764, 6.710e-6
0.768, 6.757e-6
0.772, 6.757e-6
0.776, 6.698e-6
0.780, 6.651e-6
0.784, 6.569e-6
0.788, 6.675e-6
0.792, 6.569e-6
0.796, 6.628e-6
0.800, 6.439e-6
0.804, 6.416e-6
0.808, 6.486e-6
0.812, 6.475e-6
0.816, 6.380e-6
0.820, 6.298e-6
0.824, 6.169e-6
0.828, 6.263e-6
0.832, 6.110e-6
0.836, 6.145e-6
0.840, 6.239e-6
0.844, 6.145e-6
0.848, 6.227e-6
0.852, 6.192e-6
0.856, 6.310e-6
0.860, 6.345e-6
0.864, 6.180e-6
0.868, 6.133e-6
0.872, 6.310e-6
0.876, 6.451e-6
0.880, 6.404e-6
0.884, 6.310e-6
0.888, 6.357e-6
0.892, 6.427e-6
0.896, 6.427e-6
0.900, 6.439e-6
0.904, 6.510e-6
0.908, 6.545e-6
0.912, 6.639e-6
0.916, 6.710e-6
0.920, 6.628e-6
0.924, 6.698e-6
0.928, 6.722e-6
0.932, 6.745e-6
0.936, 6.816e-6
0.940, 6.792e-6
0.944, 6.993e-6
0.948, 6.910e-6
0.952, 6.934e-6
0.956, 7.063e-6
0.960, 7.110e-6
0.964, 7.134e-6
0.968, 7.204e-6
0.972, 7.275e-6
0.976, 7.322e-6
0.980, 7.416e-6
0.984, 7.499e-6
0.988, 7.628e-6
0.992, 7.569e-6
0.996, 7.758e-6
1.000, 7.828e-6
