July 23, 2025   17:09:16
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.532V
ip = 1.395e-5A
Ap = 1.307e-6VA

Potential/V, Current/A

0.004, 1.210e-5
0.008, 1.127e-5
0.012, 1.059e-5
0.016, 9.947e-6
0.020, 9.653e-6
0.024, 9.135e-6
0.028, 8.900e-6
0.032, 8.582e-6
0.036, 8.287e-6
0.040, 8.064e-6
0.044, 8.005e-6
0.048, 7.687e-6
0.052, 7.487e-6
0.056, 7.287e-6
0.060, 7.087e-6
0.064, 6.922e-6
0.068, 6.639e-6
0.072, 6.392e-6
0.076, 6.227e-6
0.080, 6.216e-6
0.084, 6.086e-6
0.088, 5.745e-6
0.092, 5.733e-6
0.096, 5.627e-6
0.100, 5.439e-6
0.104, 5.180e-6
0.108, 5.074e-6
0.112, 4.932e-6
0.116, 4.862e-6
0.120, 4.756e-6
0.124, 4.615e-6
0.128, 4.485e-6
0.132, 4.462e-6
0.136, 4.497e-6
0.140, 4.379e-6
0.144, 4.203e-6
0.148, 4.179e-6
0.152, 4.156e-6
0.156, 4.085e-6
0.160, 4.167e-6
0.164, 3.932e-6
0.168, 3.897e-6
0.172, 3.849e-6
0.176, 3.849e-6
0.180, 3.791e-6
0.184, 3.755e-6
0.188, 3.696e-6
0.192, 3.696e-6
0.196, 3.532e-6
0.200, 3.602e-6
0.204, 3.638e-6
0.208, 3.379e-6
0.212, 3.508e-6
0.216, 3.273e-6
0.220, 3.296e-6
0.224, 3.343e-6
0.228, 3.249e-6
0.232, 3.202e-6
0.236, 3.143e-6
0.240, 3.167e-6
0.244, 3.096e-6
0.248, 2.955e-6
0.252, 3.084e-6
0.256, 2.884e-6
0.260, 2.919e-6
0.264, 2.872e-6
0.268, 3.025e-6
0.272, 2.978e-6
0.276, 2.896e-6
0.280, 2.908e-6
0.284, 2.872e-6
0.288, 2.919e-6
0.292, 2.708e-6
0.296, 2.743e-6
0.300, 2.684e-6
0.304, 2.814e-6
0.308, 2.602e-6
0.312, 2.566e-6
0.316, 2.602e-6
0.320, 2.566e-6
0.324, 2.672e-6
0.328, 2.472e-6
0.332, 2.613e-6
0.336, 2.602e-6
0.340, 2.696e-6
0.344, 2.401e-6
0.348, 2.649e-6
0.352, 2.578e-6
0.356, 2.602e-6
0.360, 2.401e-6
0.364, 2.660e-6
0.368, 2.484e-6
0.372, 2.519e-6
0.376, 2.543e-6
0.380, 2.519e-6
0.384, 2.613e-6
0.388, 2.519e-6
0.392, 2.637e-6
0.396, 2.543e-6
0.400, 2.649e-6
0.404, 2.743e-6
0.408, 2.684e-6
0.412, 2.802e-6
0.416, 2.778e-6
0.420, 2.990e-6
0.424, 3.037e-6
0.428, 3.178e-6
0.432, 3.390e-6
0.436, 3.720e-6
0.440, 3.708e-6
0.444, 4.144e-6
0.448, 4.626e-6
0.452, 4.980e-6
0.456, 5.450e-6
0.460, 6.133e-6
0.464, 7.040e-6
0.468, 8.064e-6
0.472, 9.265e-6
0.476, 1.063e-5
0.480, 1.205e-5
0.484, 1.348e-5
0.488, 1.463e-5
0.492, 1.582e-5
0.496, 1.683e-5
0.500, 1.794e-5
0.504, 1.881e-5
0.508, 1.993e-5
0.512, 2.081e-5
0.516, 2.137e-5
0.520, 2.200e-5
0.524, 2.248e-5
0.528, 2.271e-5
0.532, 2.276e-5
0.536, 2.257e-5
0.540, 2.267e-5
0.544, 2.253e-5
0.548, 2.213e-5
0.552, 2.178e-5
0.556, 2.105e-5
0.560, 2.028e-5
0.564, 1.945e-5
0.568, 1.869e-5
0.572, 1.814e-5
0.576, 1.746e-5
0.580, 1.708e-5
0.584, 1.652e-5
0.588, 1.595e-5
0.592, 1.561e-5
0.596, 1.534e-5
0.600, 1.504e-5
0.604, 1.480e-5
0.608, 1.448e-5
0.612, 1.415e-5
0.616, 1.404e-5
0.620, 1.383e-5
0.624, 1.383e-5
0.628, 1.351e-5
0.632, 1.342e-5
0.636, 1.351e-5
0.640, 1.317e-5
0.644, 1.313e-5
0.648, 1.306e-5
0.652, 1.307e-5
0.656, 1.300e-5
0.660, 1.297e-5
0.664, 1.262e-5
0.668, 1.261e-5
0.672, 1.253e-5
0.676, 1.249e-5
0.680, 1.236e-5
0.684, 1.221e-5
0.688, 1.194e-5
0.692, 1.176e-5
0.696, 1.162e-5
0.700, 1.161e-5
0.704, 1.136e-5
0.708, 1.111e-5
0.712, 1.101e-5
0.716, 1.097e-5
0.720, 1.057e-5
0.724, 1.054e-5
0.728, 1.030e-5
0.732, 9.971e-6
0.736, 1.002e-5
0.740, 9.665e-6
0.744, 9.688e-6
0.748, 9.429e-6
0.752, 9.241e-6
0.756, 9.241e-6
0.760, 9.135e-6
0.764, 9.123e-6
0.768, 8.911e-6
0.772, 8.735e-6
0.776, 8.794e-6
0.780, 8.652e-6
0.784, 8.641e-6
0.788, 8.452e-6
0.792, 8.511e-6
0.796, 8.323e-6
0.800, 8.299e-6
0.804, 8.323e-6
0.808, 8.123e-6
0.812, 8.182e-6
0.816, 8.087e-6
0.820, 7.993e-6
0.824, 7.781e-6
0.828, 7.958e-6
0.832, 7.887e-6
0.836, 7.781e-6
0.840, 7.793e-6
0.844, 7.875e-6
0.848, 7.793e-6
0.852, 7.722e-6
0.856, 7.616e-6
0.860, 7.899e-6
0.864, 7.758e-6
0.868, 7.840e-6
0.872, 7.934e-6
0.876, 7.923e-6
0.880, 7.934e-6
0.884, 7.993e-6
0.888, 8.052e-6
0.892, 8.040e-6
0.896, 8.005e-6
0.900, 7.993e-6
0.904, 8.229e-6
0.908, 8.323e-6
0.912, 8.335e-6
0.916, 8.452e-6
0.920, 8.393e-6
0.924, 8.558e-6
0.928, 8.535e-6
0.932, 8.523e-6
0.936, 8.664e-6
0.940, 8.699e-6
0.944, 8.688e-6
0.948, 8.900e-6
0.952, 8.723e-6
0.956, 9.029e-6
0.960, 9.029e-6
0.964, 9.006e-6
0.968, 9.100e-6
0.972, 9.241e-6
0.976, 9.182e-6
0.980, 9.394e-6
0.984, 9.429e-6
0.988, 9.512e-6
0.992, 9.759e-6
0.996, 9.665e-6
1.000, 9.936e-6
