July 23, 2025   15:33:56
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.532V
ip = 1.031e-5A
Ap = 1.473e-6VA

Potential/V, Current/A

0.004, 1.052e-5
0.008, 9.559e-6
0.012, 9.029e-6
0.016, 8.546e-6
0.020, 8.005e-6
0.024, 7.605e-6
0.028, 7.287e-6
0.032, 6.840e-6
0.036, 6.581e-6
0.040, 6.416e-6
0.044, 6.157e-6
0.048, 6.027e-6
0.052, 5.862e-6
0.056, 5.615e-6
0.060, 5.639e-6
0.064, 5.509e-6
0.068, 5.250e-6
0.072, 5.333e-6
0.076, 5.074e-6
0.080, 5.085e-6
0.084, 4.885e-6
0.088, 4.803e-6
0.092, 4.850e-6
0.096, 4.791e-6
0.100, 4.673e-6
0.104, 4.579e-6
0.108, 4.473e-6
0.112, 4.414e-6
0.116, 4.403e-6
0.120, 4.320e-6
0.124, 4.297e-6
0.128, 4.367e-6
0.132, 4.120e-6
0.136, 4.061e-6
0.140, 4.097e-6
0.144, 4.156e-6
0.148, 3.944e-6
0.152, 3.979e-6
0.156, 3.885e-6
0.160, 3.897e-6
0.164, 3.873e-6
0.168, 3.791e-6
0.172, 4.002e-6
0.176, 3.720e-6
0.180, 3.791e-6
0.184, 3.791e-6
0.188, 3.826e-6
0.192, 3.708e-6
0.196, 3.638e-6
0.200, 3.532e-6
0.204, 3.649e-6
0.208, 3.661e-6
0.212, 3.614e-6
0.216, 3.602e-6
0.220, 3.532e-6
0.224, 3.496e-6
0.228, 3.496e-6
0.232, 3.461e-6
0.236, 3.473e-6
0.240, 3.485e-6
0.244, 3.449e-6
0.248, 3.402e-6
0.252, 3.543e-6
0.256, 3.402e-6
0.260, 3.367e-6
0.264, 3.331e-6
0.268, 3.273e-6
0.272, 3.261e-6
0.276, 3.437e-6
0.280, 3.296e-6
0.284, 3.355e-6
0.288, 3.284e-6
0.292, 3.367e-6
0.296, 3.331e-6
0.300, 3.226e-6
0.304, 3.273e-6
0.308, 3.178e-6
0.312, 3.249e-6
0.316, 3.249e-6
0.320, 3.308e-6
0.324, 3.096e-6
0.328, 3.143e-6
0.332, 3.237e-6
0.336, 3.155e-6
0.340, 3.096e-6
0.344, 3.037e-6
0.348, 3.096e-6
0.352, 3.108e-6
0.356, 2.978e-6
0.360, 3.037e-6
0.364, 3.014e-6
0.368, 3.108e-6
0.372, 3.108e-6
0.376, 3.108e-6
0.380, 3.143e-6
0.384, 3.120e-6
0.388, 3.025e-6
0.392, 3.202e-6
0.396, 3.178e-6
0.400, 3.155e-6
0.404, 3.249e-6
0.408, 3.367e-6
0.412, 3.273e-6
0.416, 3.320e-6
0.420, 3.437e-6
0.424, 3.543e-6
0.428, 3.649e-6
0.432, 3.897e-6
0.436, 3.897e-6
0.440, 4.061e-6
0.444, 4.356e-6
0.448, 4.403e-6
0.452, 4.673e-6
0.456, 5.062e-6
0.460, 5.498e-6
0.464, 5.910e-6
0.468, 6.333e-6
0.472, 6.769e-6
0.476, 7.440e-6
0.480, 8.017e-6
0.484, 8.664e-6
0.488, 9.465e-6
0.492, 1.017e-5
0.496, 1.088e-5
0.500, 1.151e-5
0.504, 1.208e-5
0.508, 1.283e-5
0.512, 1.354e-5
0.516, 1.394e-5
0.520, 1.461e-5
0.524, 1.502e-5
0.528, 1.500e-5
0.532, 1.528e-5
0.536, 1.506e-5
0.540, 1.513e-5
0.544, 1.506e-5
0.548, 1.483e-5
0.552, 1.493e-5
0.556, 1.477e-5
0.560, 1.462e-5
0.564, 1.444e-5
0.568, 1.403e-5
0.572, 1.357e-5
0.576, 1.316e-5
0.580, 1.274e-5
0.584, 1.235e-5
0.588, 1.217e-5
0.592, 1.182e-5
0.596, 1.174e-5
0.600, 1.144e-5
0.604, 1.144e-5
0.608, 1.122e-5
0.612, 1.100e-5
0.616, 1.097e-5
0.620, 1.068e-5
0.624, 1.057e-5
0.628, 1.044e-5
0.632, 1.032e-5
0.636, 1.019e-5
0.640, 1.023e-5
0.644, 1.001e-5
0.648, 1.003e-5
0.652, 9.877e-6
0.656, 9.947e-6
0.660, 9.606e-6
0.664, 9.606e-6
0.668, 9.547e-6
0.672, 9.453e-6
0.676, 9.241e-6
0.680, 9.276e-6
0.684, 9.382e-6
0.688, 9.253e-6
0.692, 9.123e-6
0.696, 8.982e-6
0.700, 9.029e-6
0.704, 8.923e-6
0.708, 8.911e-6
0.712, 8.782e-6
0.716, 8.688e-6
0.720, 8.699e-6
0.724, 8.417e-6
0.728, 8.476e-6
0.732, 8.499e-6
0.736, 8.323e-6
0.740, 8.311e-6
0.744, 8.158e-6
0.748, 8.052e-6
0.752, 8.099e-6
0.756, 7.899e-6
0.760, 7.781e-6
0.764, 7.899e-6
0.768, 7.770e-6
0.772, 7.699e-6
0.776, 7.734e-6
0.780, 7.711e-6
0.784, 7.711e-6
0.788, 7.569e-6
0.792, 7.616e-6
0.796, 7.452e-6
0.800, 7.499e-6
0.804, 7.357e-6
0.808, 7.346e-6
0.812, 7.287e-6
0.816, 7.157e-6
0.820, 7.146e-6
0.824, 7.040e-6
0.828, 7.004e-6
0.832, 6.957e-6
0.836, 7.040e-6
0.840, 6.945e-6
0.844, 6.922e-6
0.848, 6.993e-6
0.852, 6.934e-6
0.856, 6.969e-6
0.860, 6.851e-6
0.864, 6.981e-6
0.868, 6.969e-6
0.872, 6.993e-6
0.876, 6.945e-6
0.880, 6.993e-6
0.884, 6.945e-6
0.888, 6.816e-6
0.892, 6.934e-6
0.896, 7.075e-6
0.900, 6.934e-6
0.904, 7.110e-6
0.908, 7.063e-6
0.912, 7.146e-6
0.916, 7.181e-6
0.920, 7.004e-6
0.924, 7.028e-6
0.928, 7.063e-6
0.932, 7.275e-6
0.936, 7.087e-6
0.940, 7.263e-6
0.944, 7.334e-6
0.948, 7.369e-6
0.952, 7.240e-6
0.956, 7.322e-6
0.960, 7.416e-6
0.964, 7.334e-6
0.968, 7.346e-6
0.972, 7.334e-6
0.976, 7.522e-6
0.980, 7.605e-6
0.984, 7.569e-6
0.988, 7.699e-6
0.992, 7.664e-6
0.996, 7.770e-6
1.000, 7.746e-6
