July 23, 2025   16:48:27
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.492V
ip = 1.866e-5A
Ap = 1.947e-6VA

Potential/V, Current/A

0.004, 1.389e-5
0.008, 1.274e-5
0.012, 1.188e-5
0.016, 1.107e-5
0.020, 1.042e-5
0.024, 9.830e-6
0.028, 9.618e-6
0.032, 9.182e-6
0.036, 8.911e-6
0.040, 8.617e-6
0.044, 8.452e-6
0.048, 8.182e-6
0.052, 8.040e-6
0.056, 7.769e-6
0.060, 7.758e-6
0.064, 7.440e-6
0.068, 7.346e-6
0.072, 7.193e-6
0.076, 6.910e-6
0.080, 6.734e-6
0.084, 6.781e-6
0.088, 6.569e-6
0.092, 6.569e-6
0.096, 6.322e-6
0.100, 6.074e-6
0.104, 6.074e-6
0.108, 6.110e-6
0.112, 5.898e-6
0.116, 5.745e-6
0.120, 5.651e-6
0.124, 5.592e-6
0.128, 5.545e-6
0.132, 5.344e-6
0.136, 5.203e-6
0.140, 5.109e-6
0.144, 5.262e-6
0.148, 5.050e-6
0.152, 5.050e-6
0.156, 4.897e-6
0.160, 5.015e-6
0.164, 4.885e-6
0.168, 4.827e-6
0.172, 4.673e-6
0.176, 4.779e-6
0.180, 4.603e-6
0.184, 4.556e-6
0.188, 4.568e-6
0.192, 4.650e-6
0.196, 4.450e-6
0.200, 4.379e-6
0.204, 4.462e-6
0.208, 4.438e-6
0.212, 4.285e-6
0.216, 4.132e-6
0.220, 4.391e-6
0.224, 4.297e-6
0.228, 4.238e-6
0.232, 4.026e-6
0.236, 4.108e-6
0.240, 4.097e-6
0.244, 4.026e-6
0.248, 4.214e-6
0.252, 4.167e-6
0.256, 4.026e-6
0.260, 3.991e-6
0.264, 3.932e-6
0.268, 3.932e-6
0.272, 3.979e-6
0.276, 3.944e-6
0.280, 3.838e-6
0.284, 3.814e-6
0.288, 3.767e-6
0.292, 3.732e-6
0.296, 3.614e-6
0.300, 3.590e-6
0.304, 3.673e-6
0.308, 3.579e-6
0.312, 3.614e-6
0.316, 3.555e-6
0.320, 3.379e-6
0.324, 3.367e-6
0.328, 3.590e-6
0.332, 3.402e-6
0.336, 3.437e-6
0.340, 3.308e-6
0.344, 3.402e-6
0.348, 3.261e-6
0.352, 3.296e-6
0.356, 3.178e-6
0.360, 3.308e-6
0.364, 3.437e-6
0.368, 3.367e-6
0.372, 3.520e-6
0.376, 3.437e-6
0.380, 3.320e-6
0.384, 3.638e-6
0.388, 3.590e-6
0.392, 3.743e-6
0.396, 4.002e-6
0.400, 4.085e-6
0.404, 4.391e-6
0.408, 4.462e-6
0.412, 4.944e-6
0.416, 5.333e-6
0.420, 5.792e-6
0.424, 6.510e-6
0.428, 7.299e-6
0.432, 8.170e-6
0.436, 9.135e-6
0.440, 1.025e-5
0.444, 1.184e-5
0.448, 1.348e-5
0.452, 1.510e-5
0.456, 1.708e-5
0.460, 1.874e-5
0.464, 2.051e-5
0.468, 2.183e-5
0.472, 2.308e-5
0.476, 2.433e-5
0.480, 2.498e-5
0.484, 2.579e-5
0.488, 2.607e-5
0.492, 2.655e-5
0.496, 2.652e-5
0.500, 2.648e-5
0.504, 2.609e-5
0.508, 2.578e-5
0.512, 2.530e-5
0.516, 2.465e-5
0.520, 2.414e-5
0.524, 2.353e-5
0.528, 2.296e-5
0.532, 2.231e-5
0.536, 2.165e-5
0.540, 2.110e-5
0.544, 2.051e-5
0.548, 1.993e-5
0.552, 1.933e-5
0.556, 1.887e-5
0.560, 1.822e-5
0.564, 1.781e-5
0.568, 1.725e-5
0.572, 1.694e-5
0.576, 1.634e-5
0.580, 1.597e-5
0.584, 1.566e-5
0.588, 1.540e-5
0.592, 1.501e-5
0.596, 1.494e-5
0.600, 1.463e-5
0.604, 1.439e-5
0.608, 1.442e-5
0.612, 1.409e-5
0.616, 1.406e-5
0.620, 1.389e-5
0.624, 1.356e-5
0.628, 1.361e-5
0.632, 1.343e-5
0.636, 1.337e-5
0.640, 1.326e-5
0.644, 1.315e-5
0.648, 1.301e-5
0.652, 1.296e-5
0.656, 1.289e-5
0.660, 1.287e-5
0.664, 1.262e-5
0.668, 1.255e-5
0.672, 1.249e-5
0.676, 1.231e-5
0.680, 1.205e-5
0.684, 1.202e-5
0.688, 1.183e-5
0.692, 1.171e-5
0.696, 1.138e-5
0.700, 1.129e-5
0.704, 1.117e-5
0.708, 1.089e-5
