July 24, 2025   10:11:49
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.548V
ip = 2.460e-5A
Ap = 3.596e-6VA

Potential/V, Current/A

0.004, 8.900e-6
0.008, 8.464e-6
0.012, 8.134e-6
0.016, 7.934e-6
0.020, 7.569e-6
0.024, 7.546e-6
0.028, 7.181e-6
0.032, 7.028e-6
0.036, 6.734e-6
0.040, 6.557e-6
0.044, 6.369e-6
0.048, 6.157e-6
0.052, 6.098e-6
0.056, 5.698e-6
0.060, 5.733e-6
0.064, 5.627e-6
0.068, 5.474e-6
0.072, 5.392e-6
0.076, 5.191e-6
0.080, 5.180e-6
0.084, 4.897e-6
0.088, 4.909e-6
0.092, 4.732e-6
0.096, 4.697e-6
0.100, 4.473e-6
0.104, 4.403e-6
0.108, 4.497e-6
0.112, 4.226e-6
0.116, 4.238e-6
0.120, 4.167e-6
0.124, 4.026e-6
0.128, 4.073e-6
0.132, 3.779e-6
0.136, 3.732e-6
0.140, 3.720e-6
0.144, 3.638e-6
0.148, 3.555e-6
0.152, 3.567e-6
0.156, 3.532e-6
0.160, 3.508e-6
0.164, 3.508e-6
0.168, 3.402e-6
0.172, 3.426e-6
0.176, 3.284e-6
0.180, 3.167e-6
0.184, 3.131e-6
0.188, 3.261e-6
0.192, 3.131e-6
0.196, 3.155e-6
0.200, 3.014e-6
0.204, 3.014e-6
0.208, 2.967e-6
0.212, 2.908e-6
0.216, 2.755e-6
0.220, 2.790e-6
0.224, 2.861e-6
0.228, 2.778e-6
0.232, 2.708e-6
0.236, 2.708e-6
0.240, 2.766e-6
0.244, 2.602e-6
0.248, 2.460e-6
0.252, 2.566e-6
0.256, 2.684e-6
0.260, 2.531e-6
0.264, 2.496e-6
0.268, 2.449e-6
0.272, 2.543e-6
0.276, 2.366e-6
0.280, 2.425e-6
0.284, 2.507e-6
0.288, 2.449e-6
0.292, 2.307e-6
0.296, 2.307e-6
0.300, 2.319e-6
0.304, 2.366e-6
0.308, 2.237e-6
0.312, 2.084e-6
0.316, 2.213e-6
0.320, 2.284e-6
0.324, 2.178e-6
0.328, 2.119e-6
0.332, 2.248e-6
0.336, 2.166e-6
0.340, 2.154e-6
0.344, 2.072e-6
0.348, 2.072e-6
0.352, 2.178e-6
0.356, 2.107e-6
0.360, 2.142e-6
0.364, 2.037e-6
0.368, 2.048e-6
0.372, 2.107e-6
0.376, 2.072e-6
0.380, 2.013e-6
0.384, 2.201e-6
0.388, 2.084e-6
0.392, 2.013e-6
0.396, 2.119e-6
0.400, 2.190e-6
0.404, 2.166e-6
0.408, 2.178e-6
0.412, 2.213e-6
0.416, 2.190e-6
0.420, 2.307e-6
0.424, 2.401e-6
0.428, 2.578e-6
0.432, 2.837e-6
0.436, 2.802e-6
0.440, 3.131e-6
0.444, 3.437e-6
0.448, 3.802e-6
0.452, 4.179e-6
0.456, 4.697e-6
0.460, 5.239e-6
0.464, 6.239e-6
0.468, 7.075e-6
0.472, 8.311e-6
0.476, 9.688e-6
0.480, 1.137e-5
0.484, 1.304e-5
0.488, 1.499e-5
0.492, 1.680e-5
0.496, 1.849e-5
0.500, 1.973e-5
0.504, 2.068e-5
0.508, 2.166e-5
0.512, 2.256e-5
0.516, 2.338e-5
0.520, 2.447e-5
0.524, 2.560e-5
0.528, 2.685e-5
0.532, 2.792e-5
0.536, 2.912e-5
0.540, 2.990e-5
0.544, 3.032e-5
0.548, 3.049e-5
0.552, 3.017e-5
0.556, 2.991e-5
0.560, 2.934e-5
0.564, 2.886e-5
0.568, 2.806e-5
0.572, 2.753e-5
0.576, 2.708e-5
0.580, 2.642e-5
0.584, 2.592e-5
0.588, 2.538e-5
0.592, 2.486e-5
0.596, 2.431e-5
0.600, 2.369e-5
0.604, 2.317e-5
0.608, 2.278e-5
0.612, 2.211e-5
0.616, 2.155e-5
0.620, 2.099e-5
0.624, 2.068e-5
0.628, 2.012e-5
0.632, 1.979e-5
0.636, 1.933e-5
0.640, 1.894e-5
0.644, 1.859e-5
0.648, 1.823e-5
0.652, 1.794e-5
0.656, 1.781e-5
0.660, 1.740e-5
0.664, 1.710e-5
0.668, 1.670e-5
0.672, 1.656e-5
0.676, 1.642e-5
0.680, 1.607e-5
0.684, 1.593e-5
0.688, 1.562e-5
0.692, 1.544e-5
0.696, 1.513e-5
0.700, 1.489e-5
0.704, 1.473e-5
0.708, 1.449e-5
0.712, 1.424e-5
0.716, 1.403e-5
0.720, 1.390e-5
0.724, 1.353e-5
0.728, 1.322e-5
0.732, 1.316e-5
0.736, 1.290e-5
0.740, 1.275e-5
0.744, 1.248e-5
0.748, 1.229e-5
0.752, 1.211e-5
0.756, 1.194e-5
0.760, 1.165e-5
0.764, 1.145e-5
0.768, 1.141e-5
0.772, 1.122e-5
0.776, 1.115e-5
0.780, 1.094e-5
0.784, 1.082e-5
