July 24, 2025   10:35:15
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.584V
ip = 2.614e-5A
Ap = 3.523e-6VA

Potential/V, Current/A

0.004, 9.453e-6
0.008, 8.582e-6
0.012, 7.852e-6
0.016, 7.322e-6
0.020, 6.922e-6
0.024, 6.475e-6
0.028, 6.157e-6
0.032, 5.698e-6
0.036, 5.556e-6
0.040, 5.062e-6
0.044, 4.850e-6
0.048, 4.709e-6
0.052, 4.273e-6
0.056, 3.979e-6
0.060, 3.991e-6
0.064, 3.767e-6
0.068, 3.685e-6
0.072, 3.437e-6
0.076, 3.473e-6
0.080, 3.226e-6
0.084, 3.273e-6
0.088, 3.049e-6
0.092, 2.967e-6
0.096, 3.108e-6
0.100, 2.755e-6
0.104, 2.613e-6
0.108, 2.708e-6
0.112, 2.719e-6
0.116, 2.460e-6
0.120, 2.401e-6
0.124, 2.378e-6
0.128, 2.413e-6
0.132, 2.131e-6
0.136, 2.272e-6
0.140, 2.154e-6
0.144, 2.013e-6
0.148, 2.142e-6
0.152, 2.025e-6
0.156, 2.025e-6
0.160, 2.119e-6
0.164, 1.848e-6
0.168, 1.907e-6
0.172, 1.860e-6
0.176, 1.872e-6
0.180, 1.919e-6
0.184, 1.813e-6
0.188, 1.766e-6
0.192, 1.848e-6
0.196, 1.695e-6
0.200, 1.648e-6
0.204, 1.719e-6
0.208, 1.648e-6
0.212, 1.601e-6
0.216, 1.554e-6
0.220, 1.566e-6
0.224, 1.577e-6
0.228, 1.483e-6
0.232, 1.448e-6
0.236, 1.530e-6
0.240, 1.519e-6
0.244, 1.530e-6
0.248, 1.413e-6
0.252, 1.507e-6
0.256, 1.589e-6
0.260, 1.260e-6
0.264, 1.377e-6
0.268, 1.389e-6
0.272, 1.436e-6
0.276, 1.519e-6
0.280, 1.248e-6
0.284, 1.495e-6
0.288, 1.377e-6
0.292, 1.307e-6
0.296, 1.436e-6
0.300, 1.271e-6
0.304, 1.248e-6
0.308, 1.271e-6
0.312, 1.095e-6
0.316, 1.177e-6
0.320, 1.224e-6
0.324, 1.213e-6
0.328, 1.165e-6
0.332, 1.342e-6
0.336, 1.189e-6
0.340, 1.224e-6
0.344, 1.165e-6
0.348, 1.307e-6
0.352, 1.260e-6
0.356, 1.224e-6
0.360, 1.283e-6
0.364, 1.248e-6
0.368, 1.307e-6
0.372, 1.248e-6
0.376, 1.271e-6
0.380, 1.260e-6
0.384, 1.271e-6
0.388, 1.177e-6
