July 23, 2025   20:35:24
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.560V
ip = 8.877e-6A
Ap = 1.190e-6VA

Potential/V, Current/A

0.004, 6.581e-6
0.008, 6.533e-6
0.012, 5.851e-6
0.016, 5.615e-6
0.020, 5.439e-6
0.024, 5.392e-6
0.028, 5.015e-6
0.032, 4.921e-6
0.036, 4.709e-6
0.040, 4.615e-6
0.044, 4.320e-6
0.048, 4.367e-6
0.052, 4.203e-6
0.056, 4.050e-6
0.060, 3.944e-6
0.064, 3.861e-6
0.068, 3.661e-6
0.072, 3.532e-6
0.076, 3.649e-6
0.080, 3.437e-6
0.084, 3.390e-6
0.088, 3.261e-6
0.092, 3.143e-6
0.096, 3.237e-6
0.100, 3.202e-6
0.104, 3.049e-6
0.108, 2.943e-6
0.112, 2.872e-6
0.116, 2.696e-6
0.120, 2.778e-6
0.124, 2.825e-6
0.128, 2.602e-6
0.132, 2.425e-6
0.136, 2.531e-6
0.140, 2.449e-6
0.144, 2.472e-6
0.148, 2.401e-6
0.152, 2.354e-6
0.156, 2.272e-6
0.160, 2.390e-6
0.164, 2.225e-6
0.168, 2.343e-6
0.172, 2.178e-6
0.176, 2.237e-6
0.180, 2.107e-6
0.184, 2.025e-6
0.188, 2.154e-6
0.192, 2.072e-6
0.196, 1.989e-6
0.200, 1.919e-6
0.204, 1.895e-6
0.208, 2.025e-6
0.212, 1.919e-6
0.216, 1.801e-6
0.220, 1.789e-6
0.224, 1.919e-6
0.228, 1.813e-6
0.232, 1.895e-6
0.236, 1.778e-6
0.240, 1.836e-6
0.244, 1.907e-6
0.248, 1.742e-6
0.252, 1.672e-6
0.256, 1.754e-6
0.260, 1.566e-6
0.264, 1.577e-6
0.268, 1.589e-6
0.272, 1.542e-6
0.276, 1.613e-6
0.280, 1.648e-6
0.284, 1.625e-6
0.288, 1.530e-6
0.292, 1.613e-6
0.296, 1.554e-6
0.300, 1.519e-6
0.304, 1.636e-6
0.308, 1.483e-6
0.312, 1.530e-6
0.316, 1.542e-6
0.320, 1.377e-6
0.324, 1.507e-6
0.328, 1.589e-6
0.332, 1.495e-6
0.336, 1.448e-6
0.340, 1.330e-6
0.344, 1.436e-6
0.348, 1.542e-6
0.352, 1.424e-6
0.356, 1.307e-6
0.360, 1.471e-6
0.364, 1.471e-6
0.368, 1.566e-6
0.372, 1.460e-6
0.376, 1.436e-6
0.380, 1.495e-6
0.384, 1.436e-6
0.388, 1.436e-6
0.392, 1.471e-6
0.396, 1.413e-6
0.400, 1.424e-6
0.404, 1.413e-6
0.408, 1.342e-6
0.412, 1.460e-6
0.416, 1.424e-6
0.420, 1.471e-6
0.424, 1.342e-6
0.428, 1.495e-6
0.432, 1.519e-6
0.436, 1.683e-6
0.440, 1.613e-6
0.444, 1.695e-6
0.448, 1.719e-6
0.452, 1.813e-6
0.456, 1.860e-6
0.460, 2.178e-6
0.464, 2.331e-6
0.468, 2.319e-6
0.472, 2.531e-6
0.476, 2.943e-6
0.480, 3.273e-6
0.484, 3.532e-6
0.488, 3.955e-6
0.492, 4.438e-6
0.496, 4.885e-6
0.500, 5.392e-6
0.504, 5.945e-6
0.508, 6.581e-6
0.512, 7.181e-6
0.516, 7.758e-6
0.520, 8.264e-6
0.524, 8.864e-6
0.528, 9.500e-6
0.532, 9.841e-6
0.536, 1.045e-5
0.540, 1.074e-5
0.544, 1.116e-5
0.548, 1.152e-5
0.552, 1.170e-5
0.556, 1.200e-5
0.560, 1.214e-5
0.564, 1.202e-5
0.568, 1.208e-5
0.572, 1.197e-5
0.576, 1.191e-5
0.580, 1.168e-5
0.584, 1.127e-5
0.588, 1.109e-5
0.592, 1.091e-5
0.596, 1.044e-5
0.600, 1.025e-5
0.604, 9.959e-6
0.608, 9.759e-6
0.612, 9.512e-6
0.616, 9.253e-6
0.620, 9.112e-6
0.624, 8.735e-6
0.628, 8.546e-6
0.632, 8.370e-6
0.636, 8.323e-6
0.640, 8.099e-6
0.644, 7.805e-6
0.648, 7.758e-6
0.652, 7.817e-6
0.656, 7.746e-6
0.660, 7.581e-6
0.664, 7.511e-6
0.668, 7.416e-6
0.672, 7.252e-6
0.676, 7.157e-6
0.680, 7.075e-6
0.684, 7.075e-6
0.688, 6.875e-6
0.692, 6.910e-6
0.696, 6.816e-6
0.700, 6.781e-6
0.704, 6.875e-6
0.708, 6.616e-6
0.712, 6.710e-6
0.716, 6.757e-6
0.720, 6.592e-6
0.724, 6.545e-6
0.728, 6.545e-6
0.732, 6.427e-6
0.736, 6.392e-6
0.740, 6.286e-6
