July 23, 2025   20:57:33
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.596V
ip = 8.736e-6A
Ap = 1.378e-6VA

Potential/V, Current/A

0.004, 8.923e-6
0.008, 8.417e-6
0.012, 7.769e-6
0.016, 7.204e-6
0.020, 6.710e-6
0.024, 6.286e-6
0.028, 5.933e-6
0.032, 5.768e-6
0.036, 5.427e-6
0.040, 5.097e-6
0.044, 4.932e-6
0.048, 4.721e-6
0.052, 4.473e-6
0.056, 4.261e-6
0.060, 4.309e-6
0.064, 4.002e-6
0.068, 3.755e-6
0.072, 3.779e-6
0.076, 3.543e-6
0.080, 3.496e-6
0.084, 3.226e-6
0.088, 3.296e-6
0.092, 3.367e-6
0.096, 3.226e-6
0.100, 3.014e-6
0.104, 3.037e-6
0.108, 2.884e-6
0.112, 2.837e-6
0.116, 2.660e-6
0.120, 2.578e-6
0.124, 2.531e-6
0.128, 2.790e-6
0.132, 2.437e-6
0.136, 2.484e-6
0.140, 2.401e-6
0.144, 2.390e-6
0.148, 2.366e-6
0.152, 2.037e-6
0.156, 2.107e-6
0.160, 2.190e-6
0.164, 2.154e-6
0.168, 2.095e-6
0.172, 1.978e-6
0.176, 2.095e-6
0.180, 2.072e-6
0.184, 1.919e-6
0.188, 1.789e-6
0.192, 1.884e-6
0.196, 1.978e-6
0.200, 1.907e-6
0.204, 1.742e-6
0.208, 1.931e-6
0.212, 1.813e-6
0.216, 1.836e-6
0.220, 1.825e-6
0.224, 1.742e-6
0.228, 1.707e-6
0.232, 1.589e-6
0.236, 1.695e-6
0.240, 1.519e-6
0.244, 1.613e-6
0.248, 1.495e-6
0.252, 1.648e-6
0.256, 1.542e-6
0.260, 1.495e-6
0.264, 1.507e-6
0.268, 1.577e-6
0.272, 1.542e-6
0.276, 1.471e-6
0.280, 1.483e-6
0.284, 1.401e-6
0.288, 1.507e-6
0.292, 1.424e-6
0.296, 1.519e-6
0.300, 1.519e-6
0.304, 1.483e-6
0.308, 1.413e-6
0.312, 1.413e-6
0.316, 1.401e-6
