July 12, 2025   21:10:21
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.664V
ip = 4.205e-5A
Ap = 2.063e-6VA

Potential/V, Current/A

0.004, 7.628e-6
0.008, 7.546e-6
0.012, 7.405e-6
0.016, 7.098e-6
0.020, 6.439e-6
0.024, 6.015e-6
0.028, 5.874e-6
0.032, 5.780e-6
0.036, 5.450e-6
0.040, 5.392e-6
0.044, 5.239e-6
0.048, 5.321e-6
0.052, 5.156e-6
0.056, 5.038e-6
0.060, 5.097e-6
0.064, 5.050e-6
0.068, 5.050e-6
0.072, 5.121e-6
0.076, 5.133e-6
0.080, 5.203e-6
0.084, 5.168e-6
0.088, 5.286e-6
0.092, 5.439e-6
0.096, 5.462e-6
0.100, 5.474e-6
0.104, 5.662e-6
0.108, 5.639e-6
0.112, 5.804e-6
0.116, 5.815e-6
0.120, 5.862e-6
0.124, 5.992e-6
0.128, 5.968e-6
0.132, 6.027e-6
0.136, 6.098e-6
0.140, 6.204e-6
0.144, 6.380e-6
0.148, 6.286e-6
0.152, 6.416e-6
0.156, 6.675e-6
0.160, 6.628e-6
0.164, 6.475e-6
0.168, 6.545e-6
0.172, 6.722e-6
0.176, 6.569e-6
0.180, 6.698e-6
0.184, 6.616e-6
0.188, 6.569e-6
0.192, 6.522e-6
0.196, 6.557e-6
0.200, 6.863e-6
0.204, 6.639e-6
0.208, 6.510e-6
0.212, 6.463e-6
0.216, 6.404e-6
0.220, 6.498e-6
0.224, 6.510e-6
0.228, 6.227e-6
0.232, 6.322e-6
0.236, 6.157e-6
0.240, 6.216e-6
0.244, 6.074e-6
0.248, 6.039e-6
0.252, 5.874e-6
0.256, 6.192e-6
0.260, 5.745e-6
0.264, 5.709e-6
0.268, 5.662e-6
0.272, 5.709e-6
0.276, 5.615e-6
0.280, 5.498e-6
0.284, 5.333e-6
0.288, 5.356e-6
0.292, 5.309e-6
0.296, 5.309e-6
0.300, 5.097e-6
0.304, 5.321e-6
0.308, 5.191e-6
0.312, 5.109e-6
0.316, 5.297e-6
0.320, 5.074e-6
0.324, 5.027e-6
0.328, 4.897e-6
0.332, 4.980e-6
0.336, 4.838e-6
0.340, 4.862e-6
0.344, 4.827e-6
0.348, 4.756e-6
0.352, 4.756e-6
0.356, 4.685e-6
0.360, 4.721e-6
0.364, 4.721e-6
0.368, 4.697e-6
0.372, 4.721e-6
0.376, 4.721e-6
0.380, 4.756e-6
0.384, 4.732e-6
0.388, 4.662e-6
0.392, 4.709e-6
0.396, 4.626e-6
0.400, 4.579e-6
0.404, 4.603e-6
0.408, 4.556e-6
0.412, 4.638e-6
0.416, 4.579e-6
0.420, 4.544e-6
0.424, 4.544e-6
0.428, 4.497e-6
0.432, 4.320e-6
0.436, 4.462e-6
0.440, 4.261e-6
0.444, 4.367e-6
0.448, 4.462e-6
0.452, 4.332e-6
0.456, 4.379e-6
0.460, 4.438e-6
0.464, 4.309e-6
0.468, 4.203e-6
0.472, 4.344e-6
0.476, 4.108e-6
0.480, 4.344e-6
0.484, 4.191e-6
0.488, 4.191e-6
0.492, 4.214e-6
0.496, 4.226e-6
0.500, 4.179e-6
0.504, 4.203e-6
0.508, 4.179e-6
0.512, 4.214e-6
0.516, 3.991e-6
0.520, 4.250e-6
0.524, 4.120e-6
0.528, 4.191e-6
0.532, 4.309e-6
0.536, 4.356e-6
0.540, 4.320e-6
0.544, 4.462e-6
0.548, 4.391e-6
0.552, 4.709e-6
0.556, 4.732e-6
0.560, 5.097e-6
0.564, 5.462e-6
0.568, 5.733e-6
0.572, 6.180e-6
0.576, 6.851e-6
0.580, 7.534e-6
0.584, 8.476e-6
0.588, 9.524e-6
0.592, 1.112e-5
0.596, 1.273e-5
0.600, 1.486e-5
0.604, 1.735e-5
0.608, 2.087e-5
0.612, 2.479e-5
0.616, 2.970e-5
0.620, 3.561e-5
0.624, 4.283e-5
0.628, 5.030e-5
0.632, 5.849e-5
0.636, 6.688e-5
0.640, 7.485e-5
0.644, 8.224e-5
0.648, 8.863e-5
0.652, 9.369e-5
0.656, 9.717e-5
0.660, 9.885e-5
0.664, 9.925e-5
0.668, 9.775e-5
0.672, 9.542e-5
0.676, 9.246e-5
0.680, 8.931e-5
0.684, 8.616e-5
0.688, 8.340e-5
0.692, 8.090e-5
0.696, 7.901e-5
0.700, 7.762e-5
0.704, 7.664e-5
0.708, 7.599e-5
0.712, 7.615e-5
0.716, 7.639e-5
0.720, 7.733e-5
0.724, 7.860e-5
0.728, 8.019e-5
0.732, 8.232e-5
0.736, 8.473e-5
0.740, 8.740e-5
0.744, 9.027e-5
0.748, 9.363e-5
0.752, 9.679e-5
0.756, 1.003e-4
0.760, 1.036e-4
0.764, 1.074e-4
0.768, 1.109e-4
0.772, 1.143e-4
0.776, 1.179e-4
0.780, 1.215e-4
0.784, 1.247e-4
0.788, 1.280e-4
0.792, 1.310e-4
0.796, 1.338e-4
0.800, 1.361e-4
0.804, 1.380e-4
0.808, 1.395e-4
0.812, 1.401e-4
0.816, 1.399e-4
0.820, 1.386e-4
0.824, 1.360e-4
0.828, 1.330e-4
0.832, 1.287e-4
0.836, 1.238e-4
0.840, 1.186e-4
0.844, 1.132e-4
0.848, 1.077e-4
0.852, 1.022e-4
0.856, 9.694e-5
0.860, 9.208e-5
0.864, 8.709e-5
0.868, 8.238e-5
0.872, 7.806e-5
0.876, 7.388e-5
0.880, 6.970e-5
0.884, 6.601e-5
0.888, 6.211e-5
0.892, 5.879e-5
0.896, 5.543e-5
0.900, 5.227e-5
0.904, 4.923e-5
0.908, 4.670e-5
0.912, 4.409e-5
0.916, 4.165e-5
0.920, 3.919e-5
0.924, 3.701e-5
0.928, 3.528e-5
0.932, 3.315e-5
0.936, 3.170e-5
0.940, 3.021e-5
0.944, 2.888e-5
0.948, 2.759e-5
0.952, 2.620e-5
0.956, 2.505e-5
0.960, 2.406e-5
0.964, 2.312e-5
0.968, 2.210e-5
0.972, 2.144e-5
0.976, 2.078e-5
0.980, 2.002e-5
0.984, 1.949e-5
0.988, 1.880e-5
0.992, 1.840e-5
0.996, 1.782e-5
1.000, 1.728e-5
