July 12, 2025   20:44:38
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.092V
ip = 6.989e-7A
Ap = 1.144e-7VA

Ep = 0.688V
ip = 1.869e-5A
Ap = 7.478e-7VA

Potential/V, Current/A

0.004, 7.193e-6
0.008, 6.922e-6
0.012, 6.369e-6
0.016, 5.839e-6
0.020, 5.521e-6
0.024, 5.227e-6
0.028, 5.133e-6
0.032, 5.038e-6
0.036, 4.744e-6
0.040, 4.662e-6
0.044, 4.650e-6
0.048, 4.779e-6
0.052, 4.568e-6
0.056, 4.626e-6
0.060, 4.709e-6
0.064, 4.591e-6
0.068, 4.697e-6
0.072, 4.638e-6
0.076, 4.709e-6
0.080, 4.685e-6
0.084, 4.732e-6
0.088, 4.603e-6
0.092, 4.921e-6
0.096, 4.650e-6
0.100, 4.732e-6
0.104, 4.803e-6
0.108, 4.779e-6
0.112, 4.626e-6
0.116, 4.579e-6
0.120, 4.556e-6
0.124, 4.638e-6
0.128, 4.626e-6
0.132, 4.438e-6
0.136, 4.391e-6
0.140, 4.532e-6
0.144, 4.462e-6
0.148, 4.556e-6
0.152, 4.367e-6
0.156, 4.320e-6
0.160, 4.520e-6
0.164, 4.403e-6
0.168, 4.214e-6
0.172, 4.132e-6
0.176, 4.108e-6
0.180, 4.285e-6
0.184, 4.085e-6
0.188, 4.061e-6
0.192, 4.014e-6
0.196, 3.849e-6
0.200, 3.767e-6
0.204, 3.885e-6
0.208, 3.696e-6
0.212, 3.567e-6
0.216, 3.461e-6
0.220, 3.426e-6
0.224, 3.426e-6
0.228, 3.437e-6
0.232, 3.190e-6
0.236, 3.249e-6
0.240, 3.178e-6
0.244, 3.096e-6
0.248, 3.002e-6
0.252, 2.990e-6
0.256, 3.002e-6
0.260, 2.660e-6
0.264, 2.814e-6
0.268, 2.766e-6
0.272, 2.672e-6
0.276, 2.590e-6
0.280, 2.613e-6
0.284, 2.543e-6
