July 15, 2025   13:23:55
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:

Potential/V, Current/A

0.004, 1.562e-5
0.008, 1.479e-5
0.012, 1.374e-5
0.016, 1.240e-5
0.020, 1.154e-5
0.024, 1.088e-5
0.028, 1.036e-5
0.032, 9.936e-6
0.036, 9.665e-6
0.040, 9.535e-6
0.044, 9.394e-6
0.048, 9.194e-6
0.052, 9.147e-6
0.056, 8.841e-6
0.060, 8.853e-6
0.064, 8.440e-6
0.068, 8.382e-6
0.072, 8.276e-6
0.076, 8.146e-6
0.080, 7.758e-6
0.084, 7.699e-6
0.088, 7.593e-6
0.092, 7.381e-6
0.096, 7.228e-6
0.100, 7.051e-6
0.104, 6.922e-6
0.108, 6.828e-6
0.112, 6.745e-6
0.116, 6.651e-6
0.120, 6.239e-6
0.124, 6.427e-6
0.128, 6.380e-6
0.132, 6.051e-6
0.136, 5.992e-6
0.140, 5.980e-6
0.144, 5.898e-6
0.148, 5.827e-6
0.152, 5.603e-6
0.156, 5.686e-6
0.160, 5.474e-6
0.164, 5.403e-6
0.168, 5.439e-6
0.172, 5.392e-6
0.176, 5.168e-6
0.180, 5.074e-6
0.184, 4.944e-6
0.188, 4.956e-6
0.192, 4.921e-6
0.196, 4.815e-6
0.200, 4.650e-6
0.204, 4.532e-6
0.208, 4.485e-6
0.212, 4.497e-6
0.216, 4.403e-6
0.220, 4.356e-6
0.224, 4.403e-6
0.228, 4.214e-6
0.232, 4.144e-6
0.236, 4.108e-6
0.240, 3.955e-6
0.244, 3.802e-6
0.248, 3.838e-6
0.252, 3.908e-6
0.256, 3.767e-6
0.260, 3.649e-6
0.264, 3.673e-6
0.268, 3.755e-6
0.272, 3.543e-6
0.276, 3.461e-6
0.280, 3.426e-6
0.284, 3.426e-6
0.288, 3.355e-6
0.292, 3.402e-6
0.296, 3.320e-6
0.300, 3.308e-6
0.304, 3.379e-6
0.308, 3.273e-6
0.312, 3.108e-6
0.316, 3.131e-6
0.320, 3.025e-6
0.324, 3.084e-6
0.328, 3.143e-6
0.332, 3.025e-6
0.336, 2.967e-6
0.340, 2.978e-6
0.344, 2.884e-6
0.348, 3.049e-6
0.352, 2.931e-6
0.356, 2.908e-6
0.360, 2.872e-6
0.364, 2.896e-6
0.368, 2.967e-6
0.372, 2.931e-6
0.376, 2.813e-6
0.380, 2.778e-6
0.384, 2.778e-6
0.388, 2.814e-6
0.392, 2.708e-6
0.396, 2.908e-6
0.400, 2.672e-6
0.404, 2.696e-6
0.408, 2.672e-6
0.412, 2.719e-6
0.416, 2.625e-6
0.420, 2.649e-6
0.424, 2.625e-6
0.428, 2.625e-6
0.432, 2.625e-6
0.436, 2.543e-6
0.440, 2.496e-6
0.444, 2.590e-6
0.448, 2.613e-6
0.452, 2.507e-6
0.456, 2.496e-6
0.460, 2.555e-6
0.464, 2.555e-6
0.468, 2.543e-6
0.472, 2.449e-6
0.476, 2.413e-6
0.480, 2.507e-6
0.484, 2.484e-6
0.488, 2.496e-6
0.492, 2.413e-6
0.496, 2.437e-6
0.500, 2.449e-6
0.504, 2.390e-6
0.508, 2.460e-6
0.512, 2.590e-6
0.516, 2.460e-6
0.520, 2.472e-6
0.524, 2.390e-6
0.528, 2.366e-6
0.532, 2.472e-6
0.536, 2.555e-6
0.540, 2.613e-6
0.544, 2.719e-6
0.548, 2.637e-6
0.552, 2.507e-6
0.556, 2.672e-6
0.560, 2.613e-6
0.564, 2.590e-6
0.568, 2.755e-6
0.572, 2.814e-6
0.576, 2.955e-6
0.580, 2.896e-6
0.584, 3.014e-6
0.588, 3.002e-6
0.592, 3.096e-6
0.596, 3.249e-6
0.600, 3.543e-6
0.604, 3.614e-6
0.608, 4.002e-6
0.612, 4.320e-6
0.616, 4.685e-6
0.620, 5.109e-6
