July 14, 2025   11:50:25
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.748V
ip = 1.244e-5A
Ap = 5.339e-7VA

Potential/V, Current/A

0.004, 6.439e-6
0.008, 5.862e-6
0.012, 5.498e-6
0.016, 5.203e-6
0.020, 4.685e-6
0.024, 4.579e-6
0.028, 4.391e-6
0.032, 4.273e-6
0.036, 3.944e-6
0.040, 3.908e-6
0.044, 3.579e-6
0.048, 3.696e-6
0.052, 3.590e-6
0.056, 3.296e-6
0.060, 3.367e-6
0.064, 3.273e-6
0.068, 3.226e-6
0.072, 3.190e-6
0.076, 3.084e-6
0.080, 3.049e-6
0.084, 2.790e-6
0.088, 2.896e-6
0.092, 2.696e-6
0.096, 2.731e-6
0.100, 2.672e-6
0.104, 2.590e-6
0.108, 2.578e-6
0.112, 2.649e-6
0.116, 2.590e-6
0.120, 2.449e-6
0.124, 2.413e-6
0.128, 2.401e-6
0.132, 2.425e-6
0.136, 2.307e-6
0.140, 2.260e-6
0.144, 2.284e-6
0.148, 2.307e-6
0.152, 2.013e-6
0.156, 2.225e-6
0.160, 2.237e-6
0.164, 2.107e-6
0.168, 2.095e-6
0.172, 2.048e-6
0.176, 2.072e-6
0.180, 2.013e-6
0.184, 1.978e-6
0.188, 1.989e-6
0.192, 1.954e-6
0.196, 1.766e-6
0.200, 1.895e-6
0.204, 1.931e-6
0.208, 1.695e-6
0.212, 1.730e-6
0.216, 1.836e-6
0.220, 1.801e-6
0.224, 1.601e-6
0.228, 1.672e-6
0.232, 1.730e-6
0.236, 1.566e-6
0.240, 1.719e-6
0.244, 1.530e-6
0.248, 1.589e-6
0.252, 1.672e-6
0.256, 1.648e-6
0.260, 1.495e-6
0.264, 1.495e-6
0.268, 1.507e-6
0.272, 1.577e-6
0.276, 1.401e-6
0.280, 1.436e-6
0.284, 1.495e-6
0.288, 1.401e-6
0.292, 1.377e-6
