July 15, 2025   16:45:57
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.580V
ip = 1.413e-5A
Ap = 5.025e-7VA

Potential/V, Current/A

0.004, 2.384e-5
0.008, 2.187e-5
0.012, 2.004e-5
0.016, 1.818e-5
0.020, 1.675e-5
0.024, 1.566e-5
0.028, 1.492e-5
0.032, 1.426e-5
0.036, 1.351e-5
0.040, 1.303e-5
0.044, 1.268e-5
0.048, 1.236e-5
0.052, 1.189e-5
0.056, 1.142e-5
0.060, 1.118e-5
0.064, 1.081e-5
0.068, 1.045e-5
0.072, 1.001e-5
0.076, 9.771e-6
0.080, 9.476e-6
0.084, 9.170e-6
0.088, 8.841e-6
0.092, 8.629e-6
0.096, 8.358e-6
0.100, 8.123e-6
0.104, 8.052e-6
0.108, 7.769e-6
0.112, 7.511e-6
0.116, 7.263e-6
0.120, 7.004e-6
0.124, 6.898e-6
0.128, 6.781e-6
0.132, 6.592e-6
0.136, 6.404e-6
0.140, 6.380e-6
0.144, 6.192e-6
0.148, 6.086e-6
0.152, 6.004e-6
0.156, 5.804e-6
0.160, 5.745e-6
0.164, 5.698e-6
0.168, 5.474e-6
0.172, 5.368e-6
0.176, 5.474e-6
0.180, 5.415e-6
0.184, 5.286e-6
0.188, 5.180e-6
0.192, 4.991e-6
0.196, 4.991e-6
0.200, 4.968e-6
0.204, 4.838e-6
0.208, 4.791e-6
0.212, 4.779e-6
0.216, 4.662e-6
0.220, 4.603e-6
0.224, 4.615e-6
0.228, 4.662e-6
0.232, 4.485e-6
0.236, 4.450e-6
0.240, 4.426e-6
0.244, 4.356e-6
0.248, 4.297e-6
0.252, 4.320e-6
0.256, 4.320e-6
0.260, 4.191e-6
0.264, 4.191e-6
0.268, 4.214e-6
0.272, 4.179e-6
0.276, 4.214e-6
0.280, 4.073e-6
0.284, 4.120e-6
0.288, 4.167e-6
0.292, 4.073e-6
0.296, 4.061e-6
0.300, 4.132e-6
0.304, 4.085e-6
0.308, 4.002e-6
