July 15, 2025   15:31:00
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.704V
ip = 1.982e-5A
Ap = 2.453e-6VA

Potential/V, Current/A

0.004, 2.181e-5
0.008, 1.945e-5
0.012, 1.867e-5
0.016, 1.742e-5
0.020, 1.599e-5
0.024, 1.300e-5
0.028, 1.415e-5
0.032, 1.309e-5
0.036, 1.297e-5
0.040, 1.258e-5
0.044, 1.240e-5
0.048, 1.162e-5
0.052, 1.180e-5
0.056, 1.121e-5
0.060, 1.112e-5
0.064, 1.094e-5
0.068, 1.031e-5
0.072, 9.735e-6
0.076, 1.042e-5
0.080, 9.677e-6
0.084, 9.688e-6
0.088, 9.312e-6
0.092, 8.676e-6
0.096, 8.770e-6
0.100, 8.688e-6
0.104, 8.488e-6
0.108, 8.335e-6
0.112, 8.123e-6
0.116, 7.828e-6
0.120, 7.475e-6
0.124, 7.605e-6
0.128, 7.275e-6
0.132, 7.051e-6
0.136, 7.051e-6
0.140, 6.698e-6
0.144, 6.898e-6
0.148, 6.463e-6
0.152, 6.098e-6
0.156, 5.862e-6
0.160, 5.957e-6
0.164, 5.898e-6
0.168, 5.627e-6
0.172, 5.615e-6
0.176, 5.239e-6
0.180, 5.392e-6
0.184, 5.309e-6
0.188, 5.180e-6
0.192, 5.203e-6
0.196, 4.991e-6
0.200, 5.239e-6
0.204, 4.732e-6
0.208, 4.968e-6
0.212, 4.885e-6
0.216, 4.815e-6
0.220, 4.414e-6
0.224, 4.332e-6
0.228, 4.309e-6
0.232, 4.273e-6
0.236, 4.238e-6
0.240, 3.967e-6
0.244, 3.979e-6
0.248, 3.885e-6
0.252, 3.955e-6
0.256, 3.908e-6
0.260, 3.991e-6
0.264, 3.955e-6
0.268, 3.826e-6
0.272, 3.967e-6
0.276, 3.791e-6
0.280, 3.838e-6
0.284, 3.849e-6
0.288, 3.732e-6
0.292, 3.661e-6
0.296, 3.555e-6
0.300, 3.473e-6
0.304, 3.449e-6
0.308, 3.638e-6
0.312, 3.508e-6
0.316, 3.614e-6
0.320, 3.402e-6
0.324, 3.390e-6
0.328, 3.390e-6
0.332, 3.390e-6
0.336, 3.355e-6
0.340, 3.284e-6
0.344, 3.143e-6
0.348, 3.284e-6
0.352, 3.485e-6
0.356, 3.226e-6
0.360, 3.178e-6
0.364, 3.261e-6
0.368, 3.355e-6
0.372, 3.190e-6
0.376, 3.838e-6
0.380, 3.190e-6
0.384, 3.120e-6
0.388, 3.190e-6
0.392, 3.214e-6
0.396, 3.108e-6
0.400, 3.226e-6
0.404, 3.155e-6
0.408, 3.202e-6
0.412, 3.037e-6
0.416, 2.955e-6
0.420, 3.108e-6
0.424, 3.037e-6
0.428, 3.061e-6
0.432, 3.108e-6
0.436, 3.061e-6
0.440, 3.084e-6
0.444, 3.155e-6
0.448, 3.108e-6
0.452, 3.049e-6
0.456, 3.072e-6
0.460, 3.226e-6
0.464, 3.178e-6
0.468, 3.284e-6
0.472, 3.343e-6
0.476, 3.379e-6
0.480, 3.461e-6
0.484, 3.343e-6
0.488, 3.685e-6
0.492, 3.649e-6
0.496, 3.826e-6
0.500, 3.873e-6
0.504, 3.897e-6
0.508, 4.297e-6
0.512, 4.344e-6
0.516, 4.532e-6
0.520, 4.944e-6
0.524, 5.556e-6
0.528, 6.145e-6
0.532, 6.863e-6
0.536, 7.781e-6
0.540, 9.076e-6
0.544, 1.059e-5
0.548, 1.236e-5
0.552, 1.413e-5
0.556, 1.647e-5
0.560, 1.886e-5
0.564, 2.194e-5
0.568, 2.525e-5
0.572, 2.915e-5
0.576, 3.255e-5
0.580, 3.643e-5
0.584, 4.020e-5
0.588, 4.426e-5
0.592, 4.768e-5
0.596, 5.035e-5
0.600, 5.202e-5
0.604, 5.219e-5
0.608, 5.115e-5
0.612, 5.002e-5
0.616, 4.944e-5
0.620, 4.920e-5
0.624, 4.924e-5
0.628, 4.971e-5
0.632, 5.024e-5
0.636, 5.097e-5
0.640, 5.150e-5
0.644, 5.178e-5
0.648, 5.307e-5
0.652, 5.363e-5
0.656, 5.428e-5
0.660, 5.492e-5
0.664, 5.563e-5
0.668, 5.632e-5
0.672, 5.694e-5
0.676, 5.775e-5
0.680, 5.834e-5
0.684, 5.879e-5
0.688, 5.970e-5
0.692, 6.031e-5
0.696, 6.054e-5
0.700, 6.098e-5
0.704, 6.105e-5
0.708, 6.104e-5
0.712, 6.097e-5
0.716, 6.100e-5
0.720, 6.067e-5
0.724, 6.046e-5
0.728, 5.980e-5
0.732, 5.938e-5
0.736, 5.849e-5
0.740, 5.765e-5
0.744, 5.652e-5
0.748, 5.563e-5
0.752, 5.449e-5
0.756, 5.334e-5
0.760, 5.204e-5
0.764, 5.058e-5
0.768, 4.917e-5
0.772, 4.762e-5
0.776, 4.641e-5
0.780, 4.507e-5
0.784, 4.354e-5
0.788, 4.206e-5
0.792, 4.040e-5
0.796, 3.871e-5
0.800, 3.736e-5
0.804, 3.589e-5
0.808, 3.448e-5
0.812, 3.315e-5
0.816, 3.207e-5
0.820, 3.077e-5
0.824, 2.964e-5
0.828, 2.863e-5
0.832, 2.758e-5
0.836, 2.675e-5
0.840, 2.587e-5
0.844, 2.517e-5
0.848, 2.416e-5
0.852, 2.347e-5
0.856, 2.291e-5
0.860, 2.212e-5
0.864, 2.152e-5
0.868, 2.102e-5
0.872, 2.058e-5
0.876, 2.001e-5
0.880, 1.951e-5
0.884, 1.920e-5
0.888, 1.881e-5
0.892, 1.856e-5
0.896, 1.805e-5
0.900, 1.780e-5
0.904, 1.774e-5
0.908, 1.768e-5
0.912, 1.729e-5
0.916, 1.708e-5
0.920, 1.728e-5
0.924, 1.698e-5
0.928, 1.683e-5
0.932, 1.675e-5
0.936, 1.669e-5
0.940, 1.673e-5
0.944, 1.670e-5
0.948, 1.681e-5
0.952, 1.662e-5
0.956, 1.665e-5
0.960, 1.679e-5
0.964, 1.674e-5
0.968, 1.682e-5
0.972, 1.695e-5
0.976, 1.696e-5
0.980, 1.718e-5
0.984, 1.712e-5
0.988, 1.741e-5
0.992, 1.749e-5
0.996, 1.755e-5
1.000, 1.753e-5
