July 21, 2025   22:01:53
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.576V
ip = 1.520e-5A
Ap = 1.480e-6VA

Potential/V, Current/A

0.004, 9.806e-6
0.008, 9.288e-6
0.012, 8.947e-6
0.016, 8.605e-6
0.020, 8.287e-6
0.024, 7.852e-6
0.028, 7.722e-6
0.032, 7.381e-6
0.036, 6.898e-6
0.040, 6.757e-6
0.044, 6.533e-6
0.048, 6.322e-6
0.052, 5.980e-6
0.056, 5.756e-6
0.060, 5.709e-6
0.064, 5.462e-6
0.068, 5.215e-6
0.072, 5.038e-6
0.076, 4.932e-6
0.080, 4.756e-6
0.084, 4.626e-6
0.088, 4.344e-6
0.092, 4.226e-6
0.096, 4.191e-6
0.100, 4.061e-6
0.104, 3.967e-6
0.108, 3.732e-6
0.112, 3.685e-6
0.116, 3.673e-6
0.120, 3.473e-6
0.124, 3.426e-6
0.128, 3.461e-6
0.132, 3.131e-6
0.136, 3.202e-6
0.140, 3.131e-6
0.144, 3.061e-6
0.148, 3.014e-6
0.152, 3.002e-6
0.156, 2.978e-6
0.160, 2.943e-6
0.164, 2.813e-6
0.168, 2.731e-6
0.172, 2.719e-6
0.176, 2.637e-6
0.180, 2.625e-6
0.184, 2.507e-6
0.188, 2.496e-6
0.192, 2.460e-6
0.196, 2.366e-6
0.200, 2.413e-6
0.204, 2.213e-6
0.208, 2.142e-6
0.212, 2.119e-6
0.216, 2.154e-6
0.220, 2.248e-6
0.224, 2.143e-6
0.228, 2.001e-6
0.232, 2.084e-6
0.236, 1.931e-6
0.240, 2.084e-6
0.244, 1.942e-6
0.248, 1.848e-6
0.252, 1.884e-6
0.256, 1.919e-6
0.260, 1.860e-6
0.264, 1.789e-6
0.268, 1.825e-6
0.272, 1.648e-6
0.276, 1.754e-6
0.280, 1.625e-6
0.284, 1.766e-6
0.288, 1.613e-6
0.292, 1.636e-6
0.296, 1.554e-6
0.300, 1.683e-6
0.304, 1.672e-6
0.308, 1.613e-6
0.312, 1.460e-6
0.316, 1.683e-6
0.320, 1.471e-6
0.324, 1.377e-6
0.328, 1.519e-6
0.332, 1.542e-6
0.336, 1.519e-6
0.340, 1.460e-6
0.344, 1.366e-6
0.348, 1.354e-6
0.352, 1.307e-6
0.356, 1.260e-6
0.360, 1.366e-6
0.364, 1.448e-6
0.368, 1.401e-6
0.372, 1.295e-6
0.376, 1.389e-6
0.380, 1.389e-6
