July 21, 2025   21:28:52
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.544V
ip = 1.922e-5A
Ap = 1.567e-6VA

Potential/V, Current/A

0.004, 9.429e-6
0.008, 8.841e-6
0.012, 8.299e-6
0.016, 8.076e-6
0.020, 7.817e-6
0.024, 7.357e-6
0.028, 6.840e-6
0.032, 6.651e-6
0.036, 6.251e-6
0.040, 5.968e-6
0.044, 5.698e-6
0.048, 5.450e-6
0.052, 5.262e-6
0.056, 5.003e-6
0.060, 4.838e-6
0.064, 4.568e-6
0.068, 4.438e-6
0.072, 4.273e-6
0.076, 4.226e-6
0.080, 3.991e-6
0.084, 3.897e-6
0.088, 3.673e-6
0.092, 3.555e-6
0.096, 3.579e-6
0.100, 3.320e-6
0.104, 3.155e-6
0.108, 3.320e-6
0.112, 3.096e-6
0.116, 3.108e-6
0.120, 2.825e-6
0.124, 2.849e-6
0.128, 2.672e-6
0.132, 2.543e-6
0.136, 2.649e-6
0.140, 2.637e-6
0.144, 2.378e-6
0.148, 2.425e-6
0.152, 2.449e-6
0.156, 2.307e-6
0.160, 2.248e-6
0.164, 2.248e-6
0.168, 2.119e-6
0.172, 2.178e-6
0.176, 2.095e-6
0.180, 2.037e-6
0.184, 1.848e-6
0.188, 1.989e-6
0.192, 1.919e-6
0.196, 1.895e-6
0.200, 1.860e-6
0.204, 1.907e-6
0.208, 1.801e-6
0.212, 1.778e-6
0.216, 1.695e-6
0.220, 1.872e-6
0.224, 1.672e-6
0.228, 1.625e-6
0.232, 1.672e-6
0.236, 1.589e-6
0.240, 1.519e-6
0.244, 1.683e-6
0.248, 1.413e-6
0.252, 1.530e-6
0.256, 1.460e-6
0.260, 1.283e-6
0.264, 1.366e-6
0.268, 1.448e-6
0.272, 1.448e-6
0.276, 1.295e-6
0.280, 1.260e-6
0.284, 1.260e-6
0.288, 1.342e-6
0.292, 1.342e-6
0.296, 1.107e-6
0.300, 1.295e-6
0.304, 1.260e-6
0.308, 1.177e-6
0.312, 1.118e-6
0.316, 1.189e-6
0.320, 1.083e-6
0.324, 1.165e-6
0.328, 1.107e-6
0.332, 1.177e-6
0.336, 1.107e-6
0.340, 1.142e-6
0.344, 1.095e-6
0.348, 1.048e-6
0.352, 1.059e-6
0.356, 1.001e-6
0.360, 1.083e-6
0.364, 1.071e-6
0.368, 1.165e-6
0.372, 1.083e-6
0.376, 9.888e-7
0.380, 1.165e-6
0.384, 1.142e-6
0.388, 1.048e-6
0.392, 1.165e-6
0.396, 1.213e-6
0.400, 1.248e-6
0.404, 1.366e-6
0.408, 1.295e-6
0.412, 1.530e-6
