July 22, 2025   17:14:18
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.192V
ip = 3.391e-6A
Ap = 5.742e-7VA

Ep = 0.740V
ip = 5.008e-5A
Ap = 8.133e-6VA

Potential/V, Current/A

0.004, 1.303e-5
0.008, 1.236e-5
0.012, 1.148e-5
0.016, 1.076e-5
0.020, 1.042e-5
0.024, 1.031e-5
0.028, 1.017e-5
0.032, 9.818e-6
0.036, 9.441e-6
0.040, 9.064e-6
0.044, 8.817e-6
0.048, 8.476e-6
0.052, 8.464e-6
0.056, 8.123e-6
0.060, 8.299e-6
0.064, 7.993e-6
0.068, 7.793e-6
0.072, 7.934e-6
0.076, 7.993e-6
0.080, 7.981e-6
0.084, 8.005e-6
0.088, 7.852e-6
0.092, 8.040e-6
0.096, 8.052e-6
0.100, 7.981e-6
0.104, 8.276e-6
0.108, 8.429e-6
0.112, 8.523e-6
0.116, 8.499e-6
0.120, 8.629e-6
0.124, 8.935e-6
0.128, 8.958e-6
0.132, 9.112e-6
0.136, 9.265e-6
0.140, 9.453e-6
0.144, 9.453e-6
0.148, 9.665e-6
0.152, 9.629e-6
0.156, 9.924e-6
0.160, 1.001e-5
0.164, 1.003e-5
0.168, 1.005e-5
0.172, 1.025e-5
0.176, 1.019e-5
0.180, 1.043e-5
0.184, 1.041e-5
0.188, 1.042e-5
0.192, 1.056e-5
0.196, 1.035e-5
0.200, 1.037e-5
0.204, 1.036e-5
0.208, 1.029e-5
0.212, 1.025e-5
0.216, 1.029e-5
0.220, 1.030e-5
0.224, 1.017e-5
0.228, 1.021e-5
0.232, 9.994e-6
0.236, 9.947e-6
0.240, 9.794e-6
0.244, 9.547e-6
0.248, 9.441e-6
0.252, 9.418e-6
0.256, 9.512e-6
0.260, 9.276e-6
0.264, 9.135e-6
0.268, 9.229e-6
0.272, 8.888e-6
0.276, 8.652e-6
0.280, 8.570e-6
0.284, 8.594e-6
0.288, 8.440e-6
0.292, 8.335e-6
0.296, 8.217e-6
0.300, 8.193e-6
0.304, 7.970e-6
0.308, 7.923e-6
0.312, 7.864e-6
0.316, 7.722e-6
0.320, 7.569e-6
0.324, 7.369e-6
0.328, 7.322e-6
0.332, 7.357e-6
0.336, 7.263e-6
0.340, 7.122e-6
0.344, 7.016e-6
0.348, 6.922e-6
0.352, 6.863e-6
0.356, 6.769e-6
0.360, 6.639e-6
0.364, 6.639e-6
0.368, 6.475e-6
0.372, 6.498e-6
0.376, 6.286e-6
0.380, 6.298e-6
0.384, 6.251e-6
0.388, 6.015e-6
0.392, 6.098e-6
0.396, 6.074e-6
0.400, 5.957e-6
0.404, 5.933e-6
0.408, 5.756e-6
0.412, 5.768e-6
0.416, 5.556e-6
0.420, 5.533e-6
0.424, 5.603e-6
0.428, 5.498e-6
0.432, 5.427e-6
0.436, 5.344e-6
0.440, 5.250e-6
0.444, 5.286e-6
0.448, 5.168e-6
0.452, 5.085e-6
0.456, 5.180e-6
0.460, 5.062e-6
0.464, 5.062e-6
0.468, 5.050e-6
0.472, 4.980e-6
0.476, 4.956e-6
0.480, 4.803e-6
0.484, 4.744e-6
0.488, 4.885e-6
0.492, 4.756e-6
0.496, 4.650e-6
0.500, 4.862e-6
0.504, 4.662e-6
0.508, 4.615e-6
0.512, 4.732e-6
0.516, 4.697e-6
0.520, 4.509e-6
0.524, 4.626e-6
0.528, 4.744e-6
0.532, 4.591e-6
0.536, 4.744e-6
0.540, 4.768e-6
0.544, 4.779e-6
0.548, 4.697e-6
0.552, 5.121e-6
0.556, 5.309e-6
0.560, 5.297e-6
0.564, 5.639e-6
0.568, 5.851e-6
0.572, 6.322e-6
0.576, 6.463e-6
0.580, 7.134e-6
0.584, 7.699e-6
0.588, 8.617e-6
0.592, 9.465e-6
0.596, 1.056e-5
0.600, 1.207e-5
0.604, 1.384e-5
0.608, 1.599e-5
0.612, 1.904e-5
0.616, 2.273e-5
0.620, 2.724e-5
0.624, 3.328e-5
0.628, 4.095e-5
0.632, 5.031e-5
0.636, 6.200e-5
0.640, 7.553e-5
0.644, 9.043e-5
0.648, 1.041e-4
0.652, 1.136e-4
0.656, 1.201e-4
0.660, 1.244e-4
0.664, 1.273e-4
0.668, 1.294e-4
0.672, 1.311e-4
0.676, 1.328e-4
0.680, 1.340e-4
0.684, 1.351e-4
0.688, 1.358e-4
0.692, 1.356e-4
0.696, 1.350e-4
0.700, 1.346e-4
0.704, 1.344e-4
0.708, 1.341e-4
0.712, 1.341e-4
0.716, 1.346e-4
0.720, 1.348e-4
0.724, 1.353e-4
0.728, 1.354e-4
0.732, 1.359e-4
0.736, 1.361e-4
0.740, 1.362e-4
0.744, 1.358e-4
0.748, 1.353e-4
0.752, 1.347e-4
0.756, 1.336e-4
0.760, 1.324e-4
0.764, 1.312e-4
0.768, 1.296e-4
0.772, 1.278e-4
