July 22, 2025   15:13:13
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.684V
ip = 5.944e-5A
Ap = 4.008e-6VA

Potential/V, Current/A

0.004, 1.967e-5
0.008, 1.907e-5
0.012, 1.849e-5
0.016, 1.811e-5
0.020, 1.785e-5
0.024, 1.756e-5
0.028, 1.723e-5
0.032, 1.690e-5
0.036, 1.662e-5
0.040, 1.628e-5
0.044, 1.596e-5
0.048, 1.546e-5
0.052, 1.506e-5
0.056, 1.473e-5
0.060, 1.470e-5
0.064, 1.450e-5
0.068, 1.414e-5
0.072, 1.397e-5
0.076, 1.374e-5
0.080, 1.366e-5
0.084, 1.343e-5
0.088, 1.338e-5
0.092, 1.333e-5
0.096, 1.333e-5
0.100, 1.324e-5
0.104, 1.328e-5
0.108, 1.329e-5
0.112, 1.315e-5
0.116, 1.293e-5
0.120, 1.277e-5
0.124, 1.303e-5
0.128, 1.307e-5
0.132, 1.304e-5
0.136, 1.270e-5
0.140, 1.293e-5
0.144, 1.230e-5
0.148, 1.268e-5
0.152, 1.242e-5
0.156, 1.242e-5
0.160, 1.242e-5
0.164, 1.271e-5
0.168, 1.243e-5
0.172, 1.281e-5
0.176, 1.207e-5
0.180, 1.264e-5
0.184, 1.178e-5
0.188, 1.260e-5
0.192, 1.197e-5
0.196, 1.228e-5
0.200, 1.217e-5
0.204, 1.228e-5
0.208, 1.188e-5
0.212, 1.132e-5
0.216, 1.205e-5
0.220, 1.237e-5
0.224, 1.169e-5
0.228, 1.202e-5
0.232, 1.185e-5
0.236, 1.158e-5
0.240, 1.191e-5
0.244, 1.154e-5
0.248, 1.189e-5
0.252, 1.115e-5
0.256, 1.136e-5
0.260, 1.150e-5
0.264, 1.085e-5
0.268, 1.083e-5
0.272, 1.103e-5
0.276, 1.085e-5
0.280, 1.083e-5
0.284, 1.082e-5
0.288, 1.061e-5
0.292, 1.056e-5
0.296, 1.038e-5
0.300, 1.055e-5
0.304, 1.041e-5
0.308, 1.011e-5
0.312, 9.912e-6
0.316, 9.994e-6
0.320, 9.971e-6
0.324, 9.535e-6
0.328, 9.406e-6
0.332, 9.830e-6
0.336, 9.912e-6
0.340, 9.629e-6
0.344, 9.265e-6
0.348, 9.547e-6
0.352, 9.288e-6
0.356, 8.864e-6
0.360, 9.123e-6
0.364, 8.864e-6
0.368, 8.735e-6
0.372, 8.747e-6
0.376, 8.535e-6
0.380, 8.393e-6
0.384, 8.594e-6
0.388, 8.499e-6
0.392, 8.182e-6
0.396, 8.217e-6
0.400, 8.170e-6
0.404, 7.934e-6
0.408, 7.817e-6
0.412, 7.946e-6
0.416, 7.605e-6
0.420, 7.534e-6
0.424, 7.087e-6
0.428, 7.499e-6
0.432, 7.334e-6
0.436, 7.299e-6
0.440, 7.004e-6
0.444, 7.122e-6
0.448, 7.028e-6
0.452, 6.781e-6
0.456, 6.698e-6
0.460, 6.722e-6
0.464, 6.745e-6
0.468, 6.628e-6
0.472, 6.616e-6
0.476, 6.439e-6
0.480, 6.416e-6
0.484, 6.333e-6
0.488, 6.192e-6
0.492, 6.074e-6
0.496, 6.204e-6
0.500, 6.015e-6
0.504, 5.910e-6
0.508, 6.216e-6
0.512, 5.886e-6
0.516, 5.910e-6
0.520, 6.027e-6
0.524, 5.968e-6
0.528, 5.886e-6
0.532, 6.004e-6
0.536, 6.015e-6
0.540, 5.968e-6
0.544, 6.180e-6
0.548, 6.274e-6
0.552, 6.427e-6
0.556, 6.745e-6
0.560, 6.851e-6
0.564, 7.334e-6
0.568, 7.781e-6
0.572, 8.405e-6
0.576, 8.947e-6
0.580, 9.841e-6
0.584, 1.087e-5
0.588, 1.223e-5
0.592, 1.363e-5
0.596, 1.546e-5
0.600, 1.765e-5
0.604, 2.072e-5
0.608, 2.451e-5
0.612, 2.905e-5
0.616, 3.514e-5
0.620, 4.298e-5
0.624, 5.239e-5
0.628, 6.345e-5
0.632, 7.499e-5
0.636, 8.638e-5
0.640, 9.648e-5
0.644, 1.064e-4
0.648, 1.172e-4
0.652, 1.288e-4
0.656, 1.403e-4
0.660, 1.506e-4
0.664, 1.582e-4
0.668, 1.638e-4
0.672, 1.668e-4
0.676, 1.671e-4
0.680, 1.678e-4
0.684, 1.681e-4
0.688, 1.679e-4
0.692, 1.668e-4
0.696, 1.647e-4
0.700, 1.623e-4
0.704, 1.597e-4
0.708, 1.574e-4
0.712, 1.556e-4
0.716, 1.537e-4
0.720, 1.523e-4
0.724, 1.512e-4
0.728, 1.503e-4
0.732, 1.497e-4
0.736, 1.490e-4
0.740, 1.483e-4
0.744, 1.482e-4
0.748, 1.479e-4
0.752, 1.472e-4
0.756, 1.466e-4
0.760, 1.456e-4
0.764, 1.447e-4
0.768, 1.435e-4
0.772, 1.419e-4
0.776, 1.404e-4
0.780, 1.388e-4
0.784, 1.372e-4
0.788, 1.358e-4
0.792, 1.341e-4
0.796, 1.326e-4
0.800, 1.311e-4
0.804, 1.299e-4
0.808, 1.290e-4
0.812, 1.280e-4
0.816, 1.271e-4
0.820, 1.263e-4
0.824, 1.253e-4
0.828, 1.247e-4
0.832, 1.243e-4
0.836, 1.234e-4
0.840, 1.225e-4
0.844, 1.218e-4
0.848, 1.207e-4
0.852, 1.193e-4
0.856, 1.178e-4
0.860, 1.163e-4
0.864, 1.146e-4
0.868, 1.125e-4
0.872, 1.103e-4
0.876, 1.081e-4
0.880, 1.056e-4
0.884, 1.030e-4
0.888, 1.003e-4
0.892, 9.764e-5
0.896, 9.483e-5
0.900, 9.202e-5
0.904, 8.957e-5
0.908, 8.675e-5
0.912, 8.429e-5
0.916, 8.183e-5
0.920, 7.932e-5
0.924, 7.691e-5
0.928, 7.462e-5
0.932, 7.212e-5
0.936, 6.990e-5
0.940, 6.789e-5
0.944, 6.571e-5
0.948, 6.372e-5
0.952, 6.158e-5
0.956, 5.961e-5
0.960, 5.767e-5
0.964, 5.559e-5
0.968, 5.363e-5
0.972, 5.174e-5
0.976, 4.983e-5
0.980, 4.783e-5
0.984, 4.603e-5
0.988, 4.416e-5
0.992, 4.245e-5
0.996, 4.068e-5
1.000, 3.911e-5
