July 11, 2025   18:54:01
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.748V
ip = 9.108e-6A
Ap = 4.629e-7VA

Potential/V, Current/A

0.004, 7.063e-6
0.008, 6.439e-6
0.012, 6.098e-6
0.016, 5.898e-6
0.020, 5.768e-6
0.024, 5.556e-6
0.028, 5.380e-6
0.032, 5.356e-6
0.036, 5.027e-6
0.040, 4.968e-6
0.044, 4.744e-6
0.048, 4.744e-6
0.052, 4.462e-6
0.056, 4.426e-6
0.060, 4.238e-6
0.064, 4.226e-6
0.068, 4.061e-6
0.072, 4.038e-6
0.076, 3.920e-6
0.080, 3.920e-6
0.084, 3.955e-6
0.088, 3.826e-6
0.092, 3.743e-6
0.096, 3.743e-6
0.100, 3.555e-6
0.104, 3.532e-6
0.108, 3.520e-6
0.112, 3.402e-6
0.116, 3.426e-6
0.120, 3.249e-6
0.124, 3.367e-6
0.128, 3.261e-6
0.132, 3.014e-6
0.136, 2.955e-6
0.140, 3.120e-6
0.144, 3.014e-6
0.148, 2.884e-6
0.152, 2.837e-6
0.156, 2.837e-6
0.160, 2.861e-6
0.164, 2.790e-6
0.168, 2.672e-6
0.172, 2.708e-6
0.176, 2.602e-6
0.180, 2.590e-6
0.184, 2.566e-6
0.188, 2.449e-6
0.192, 2.507e-6
0.196, 2.307e-6
0.200, 2.366e-6
0.204, 2.437e-6
0.208, 2.248e-6
0.212, 2.237e-6
0.216, 2.154e-6
0.220, 2.284e-6
0.224, 2.213e-6
0.228, 2.037e-6
0.232, 2.025e-6
0.236, 1.989e-6
0.240, 1.907e-6
0.244, 1.907e-6
0.248, 1.801e-6
0.252, 1.778e-6
0.256, 1.707e-6
0.260, 1.636e-6
0.264, 1.836e-6
0.268, 1.742e-6
0.272, 1.766e-6
0.276, 1.601e-6
0.280, 1.554e-6
0.284, 1.636e-6
0.288, 1.424e-6
0.292, 1.554e-6
0.296, 1.542e-6
0.300, 1.542e-6
0.304, 1.519e-6
0.308, 1.507e-6
0.312, 1.330e-6
0.316, 1.377e-6
0.320, 1.530e-6
0.324, 1.330e-6
0.328, 1.401e-6
0.332, 1.260e-6
0.336, 1.377e-6
0.340, 1.342e-6
0.344, 1.260e-6
0.348, 1.318e-6
0.352, 1.201e-6
0.356, 1.330e-6
0.360, 1.318e-6
0.364, 1.389e-6
0.368, 1.260e-6
0.372, 1.224e-6
0.376, 1.201e-6
0.380, 1.271e-6
0.384, 1.283e-6
0.388, 1.154e-6
0.392, 1.224e-6
0.396, 1.213e-6
0.400, 1.201e-6
0.404, 1.154e-6
0.408, 1.201e-6
0.412, 1.271e-6
0.416, 1.083e-6
0.420, 1.036e-6
0.424, 1.095e-6
0.428, 1.071e-6
0.432, 1.001e-6
0.436, 1.165e-6
0.440, 1.048e-6
0.444, 1.048e-6
0.448, 1.107e-6
0.452, 9.888e-7
0.456, 9.653e-7
0.460, 9.418e-7
0.464, 1.224e-6
0.468, 9.771e-7
0.472, 1.012e-6
0.476, 9.300e-7
0.480, 9.888e-7
0.484, 9.653e-7
0.488, 9.535e-7
0.492, 9.182e-7
0.496, 1.012e-6
0.500, 9.300e-7
0.504, 8.476e-7
0.508, 1.165e-6
0.512, 8.476e-7
0.516, 8.476e-7
0.520, 8.594e-7
0.524, 9.771e-7
0.528, 1.107e-6
0.532, 9.064e-7
0.536, 8.947e-7
0.540, 1.001e-6
0.544, 9.888e-7
0.548, 9.064e-7
0.552, 9.888e-7
0.556, 1.001e-6
0.560, 1.024e-6
0.564, 1.083e-6
0.568, 1.107e-6
0.572, 1.165e-6
0.576, 1.095e-6
0.580, 1.130e-6
0.584, 1.224e-6
0.588, 1.342e-6
0.592, 1.330e-6
0.596, 1.448e-6
0.600, 1.542e-6
0.604, 1.707e-6
0.608, 1.825e-6
0.612, 1.742e-6
0.616, 2.107e-6
0.620, 2.213e-6
0.624, 2.343e-6
0.628, 2.813e-6
0.632, 3.072e-6
0.636, 3.379e-6
0.640, 3.873e-6
0.644, 4.297e-6
0.648, 4.803e-6
0.652, 5.639e-6
0.656, 6.416e-6
0.660, 7.040e-6
0.664, 8.017e-6
0.668, 9.006e-6
0.672, 1.021e-5
0.676, 1.127e-5
0.680, 1.238e-5
0.684, 1.360e-5
0.688, 1.454e-5
0.692, 1.540e-5
0.696, 1.601e-5
0.700, 1.667e-5
0.704, 1.728e-5
0.708, 1.807e-5
0.712, 1.912e-5
0.716, 2.020e-5
0.720, 2.133e-5
0.724, 2.225e-5
0.728, 2.349e-5
0.732, 2.511e-5
0.736, 2.655e-5
0.740, 2.808e-5
0.744, 2.925e-5
0.748, 2.952e-5
0.752, 2.898e-5
0.756, 2.809e-5
0.760, 2.739e-5
0.764, 2.700e-5
0.768, 2.698e-5
0.772, 2.683e-5
0.776, 2.693e-5
0.780, 2.691e-5
0.784, 2.680e-5
0.788, 2.678e-5
0.792, 2.659e-5
0.796, 2.662e-5
0.800, 2.669e-5
0.804, 2.648e-5
0.808, 2.652e-5
0.812, 2.651e-5
0.816, 2.642e-5
0.820, 2.628e-5
0.824, 2.612e-5
0.828, 2.600e-5
0.832, 2.569e-5
0.836, 2.557e-5
0.840, 2.532e-5
0.844, 2.517e-5
0.848, 2.489e-5
0.852, 2.459e-5
0.856, 2.399e-5
0.860, 2.379e-5
0.864, 2.333e-5
0.868, 2.271e-5
0.872, 2.230e-5
0.876, 2.194e-5
0.880, 2.138e-5
0.884, 2.099e-5
0.888, 2.046e-5
0.892, 1.979e-5
0.896, 1.944e-5
0.900, 1.884e-5
0.904, 1.840e-5
0.908, 1.796e-5
0.912, 1.742e-5
0.916, 1.701e-5
0.920, 1.652e-5
0.924, 1.615e-5
0.928, 1.577e-5
0.932, 1.520e-5
0.936, 1.488e-5
0.940, 1.481e-5
0.944, 1.427e-5
0.948, 1.394e-5
0.952, 1.380e-5
0.956, 1.344e-5
0.960, 1.326e-5
0.964, 1.283e-5
0.968, 1.274e-5
0.972, 1.251e-5
0.976, 1.227e-5
0.980, 1.203e-5
0.984, 1.195e-5
0.988, 1.182e-5
0.992, 1.177e-5
0.996, 1.163e-5
1.000, 1.138e-5
