July 11, 2025   16:53:53
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.612V
ip = 1.148e-5A
Ap = 5.147e-7VA

Potential/V, Current/A

0.004, 1.090e-5
0.008, 1.011e-5
0.012, 9.606e-6
0.016, 9.170e-6
0.020, 8.711e-6
0.024, 8.323e-6
0.028, 7.805e-6
0.032, 7.428e-6
0.036, 7.228e-6
0.040, 6.945e-6
0.044, 6.698e-6
0.048, 6.286e-6
0.052, 6.133e-6
0.056, 5.862e-6
0.060, 5.462e-6
0.064, 5.450e-6
0.068, 5.062e-6
0.072, 4.956e-6
0.076, 4.980e-6
0.080, 4.603e-6
0.084, 4.615e-6
0.088, 4.320e-6
0.092, 4.167e-6
0.096, 4.061e-6
0.100, 3.838e-6
0.104, 3.838e-6
0.108, 3.638e-6
0.112, 3.543e-6
0.116, 3.426e-6
0.120, 3.261e-6
0.124, 3.261e-6
0.128, 3.202e-6
0.132, 2.967e-6
0.136, 2.919e-6
0.140, 2.790e-6
0.144, 2.708e-6
0.148, 2.543e-6
0.152, 2.555e-6
0.156, 2.578e-6
0.160, 2.519e-6
0.164, 2.343e-6
0.168, 2.331e-6
0.172, 2.331e-6
0.176, 2.225e-6
0.180, 2.142e-6
0.184, 2.084e-6
0.188, 2.095e-6
0.192, 2.119e-6
0.196, 2.025e-6
0.200, 2.001e-6
0.204, 1.942e-6
0.208, 1.907e-6
0.212, 1.825e-6
0.216, 1.695e-6
0.220, 1.766e-6
0.224, 1.778e-6
0.228, 1.660e-6
0.232, 1.660e-6
0.236, 1.683e-6
0.240, 1.613e-6
0.244, 1.601e-6
0.248, 1.448e-6
0.252, 1.648e-6
0.256, 1.530e-6
0.260, 1.460e-6
0.264, 1.495e-6
0.268, 1.542e-6
0.272, 1.483e-6
0.276, 1.554e-6
0.280, 1.271e-6
0.284, 1.436e-6
0.288, 1.318e-6
0.292, 1.354e-6
0.296, 1.260e-6
0.300, 1.377e-6
0.304, 1.295e-6
