July 15, 2025   11:53:28
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:

Potential/V, Current/A

0.004, 2.500e-5
0.008, 2.245e-5
0.012, 1.974e-5
0.016, 1.698e-5
0.020, 1.635e-5
0.024, 1.537e-5
0.028, 1.463e-5
0.032, 1.381e-5
0.036, 1.317e-5
0.040, 1.254e-5
0.044, 1.205e-5
0.048, 1.144e-5
0.052, 1.097e-5
0.056, 1.062e-5
0.060, 1.014e-5
0.064, 9.830e-6
0.068, 9.453e-6
0.072, 9.159e-6
0.076, 8.911e-6
0.080, 8.676e-6
0.084, 8.346e-6
0.088, 8.170e-6
0.092, 7.934e-6
0.096, 7.687e-6
0.100, 7.511e-6
0.104, 7.452e-6
0.108, 7.169e-6
0.112, 6.981e-6
0.116, 6.781e-6
0.120, 6.745e-6
0.124, 6.651e-6
0.128, 6.439e-6
0.132, 6.204e-6
0.136, 6.157e-6
0.140, 6.074e-6
0.144, 6.004e-6
0.148, 5.839e-6
0.152, 5.709e-6
0.156, 5.639e-6
0.160, 5.721e-6
0.164, 5.580e-6
0.168, 5.415e-6
0.172, 5.321e-6
0.176, 5.403e-6
0.180, 5.356e-6
0.184, 5.003e-6
0.188, 4.944e-6
0.192, 5.027e-6
0.196, 5.074e-6
0.200, 4.897e-6
0.204, 4.768e-6
0.208, 4.827e-6
0.212, 4.591e-6
0.216, 4.579e-6
0.220, 4.603e-6
0.224, 4.591e-6
0.228, 4.497e-6
0.232, 4.462e-6
0.236, 4.450e-6
0.240, 4.320e-6
0.244, 4.273e-6
0.248, 4.332e-6
0.252, 4.285e-6
0.256, 4.332e-6
0.260, 4.097e-6
0.264, 4.214e-6
0.268, 4.097e-6
0.272, 4.073e-6
0.276, 4.179e-6
0.280, 3.979e-6
0.284, 3.991e-6
0.288, 3.955e-6
0.292, 3.897e-6
0.296, 4.002e-6
0.300, 3.897e-6
0.304, 3.944e-6
0.308, 3.708e-6
0.312, 3.708e-6
0.316, 3.708e-6
0.320, 3.755e-6
0.324, 3.767e-6
0.328, 3.614e-6
0.332, 3.873e-6
0.336, 3.779e-6
0.340, 3.555e-6
0.344, 3.685e-6
0.348, 3.638e-6
0.352, 3.673e-6
0.356, 3.567e-6
0.360, 3.649e-6
0.364, 3.649e-6
0.368, 3.579e-6
0.372, 3.673e-6
0.376, 3.520e-6
0.380, 3.602e-6
0.384, 3.461e-6
0.388, 3.473e-6
0.392, 3.543e-6
0.396, 3.520e-6
0.400, 3.473e-6
0.404, 3.579e-6
0.408, 3.661e-6
0.412, 3.602e-6
0.416, 3.520e-6
0.420, 3.473e-6
0.424, 3.485e-6
0.428, 3.449e-6
0.432, 3.449e-6
0.436, 3.508e-6
0.440, 3.614e-6
0.444, 3.696e-6
0.448, 3.649e-6
0.452, 3.555e-6
0.456, 3.649e-6
0.460, 3.767e-6
0.464, 3.767e-6
0.468, 3.802e-6
0.472, 3.944e-6
0.476, 3.967e-6
0.480, 4.097e-6
0.484, 4.014e-6
0.488, 4.120e-6
0.492, 4.250e-6
0.496, 4.544e-6
0.500, 4.756e-6
0.504, 4.779e-6
0.508, 5.097e-6
0.512, 5.521e-6
0.516, 5.804e-6
0.520, 6.404e-6
0.524, 6.887e-6
0.528, 7.628e-6
0.532, 8.605e-6
0.536, 9.830e-6
0.540, 1.122e-5
0.544, 1.301e-5
0.548, 1.502e-5
0.552, 1.815e-5
0.556, 2.166e-5
0.560, 2.603e-5
0.564, 3.109e-5
0.568, 3.731e-5
0.572, 4.507e-5
0.576, 5.368e-5
0.580, 6.167e-5
0.584, 7.002e-5
0.588, 7.659e-5
0.592, 8.146e-5
0.596, 8.349e-5
0.600, 8.392e-5
0.604, 8.342e-5
0.608, 8.229e-5
0.612, 8.126e-5
0.616, 8.071e-5
0.620, 8.074e-5
