July 15, 2025   10:15:27
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.104V
ip = 7.325e-7A
Ap = 1.160e-7VA

Ep = 0.832V
ip = 3.456e-5A
Ap = 4.285e-6VA

Potential/V, Current/A

0.004, 1.336e-5
0.008, 1.234e-5
0.012, 1.184e-5
0.016, 1.127e-5
0.020, 1.052e-5
0.024, 9.724e-6
0.028, 9.312e-6
0.032, 8.829e-6
0.036, 8.605e-6
0.040, 8.370e-6
0.044, 8.276e-6
0.048, 8.040e-6
0.052, 7.970e-6
0.056, 7.840e-6
0.060, 7.946e-6
0.064, 7.734e-6
0.068, 7.828e-6
0.072, 7.722e-6
0.076, 8.005e-6
0.080, 7.981e-6
0.084, 7.887e-6
0.088, 7.817e-6
0.092, 7.934e-6
0.096, 8.005e-6
0.100, 7.993e-6
0.104, 8.005e-6
0.108, 7.970e-6
0.112, 7.970e-6
0.116, 7.875e-6
0.120, 7.817e-6
0.124, 7.899e-6
0.128, 7.711e-6
0.132, 7.687e-6
0.136, 7.605e-6
0.140, 7.463e-6
0.144, 7.499e-6
0.148, 7.322e-6
0.152, 7.322e-6
0.156, 7.275e-6
0.160, 7.157e-6
0.164, 6.993e-6
0.168, 6.981e-6
0.172, 6.898e-6
0.176, 6.804e-6
0.180, 6.710e-6
0.184, 6.439e-6
0.188, 6.533e-6
0.192, 6.369e-6
0.196, 6.251e-6
0.200, 6.192e-6
0.204, 6.145e-6
0.208, 6.015e-6
0.212, 5.874e-6
0.216, 5.698e-6
0.220, 5.615e-6
0.224, 5.568e-6
0.228, 5.380e-6
0.232, 5.392e-6
0.236, 5.227e-6
0.240, 5.191e-6
0.244, 5.109e-6
0.248, 5.062e-6
0.252, 4.932e-6
0.256, 4.815e-6
0.260, 4.638e-6
0.264, 4.709e-6
0.268, 4.732e-6
0.272, 4.662e-6
0.276, 4.379e-6
0.280, 4.250e-6
0.284, 4.214e-6
0.288, 4.144e-6
0.292, 3.979e-6
0.296, 4.038e-6
0.300, 4.038e-6
0.304, 4.050e-6
0.308, 4.002e-6
0.312, 3.743e-6
0.316, 3.579e-6
0.320, 3.755e-6
0.324, 3.543e-6
0.328, 3.579e-6
0.332, 3.520e-6
0.336, 3.461e-6
0.340, 3.226e-6
0.344, 3.414e-6
0.348, 3.249e-6
0.352, 3.226e-6
0.356, 3.331e-6
0.360, 3.155e-6
0.364, 3.261e-6
0.368, 3.202e-6
0.372, 3.108e-6
0.376, 3.084e-6
0.380, 3.120e-6
0.384, 3.143e-6
0.388, 2.967e-6
0.392, 3.049e-6
0.396, 3.061e-6
0.400, 2.896e-6
0.404, 2.872e-6
0.408, 3.037e-6
0.412, 2.896e-6
0.416, 2.861e-6
0.420, 2.837e-6
0.424, 2.766e-6
0.428, 2.919e-6
0.432, 2.731e-6
0.436, 2.566e-6
0.440, 2.590e-6
0.444, 2.731e-6
0.448, 2.731e-6
0.452, 2.755e-6
0.456, 2.637e-6
0.460, 2.696e-6
0.464, 2.731e-6
0.468, 2.578e-6
0.472, 2.590e-6
0.476, 2.437e-6
0.480, 2.660e-6
0.484, 2.613e-6
0.488, 2.590e-6
0.492, 2.543e-6
0.496, 2.519e-6
0.500, 2.543e-6
0.504, 2.625e-6
0.508, 2.555e-6
0.512, 2.660e-6
0.516, 2.331e-6
0.520, 2.602e-6
0.524, 2.566e-6
0.528, 2.531e-6
0.532, 2.519e-6
0.536, 2.555e-6
0.540, 2.590e-6
0.544, 2.543e-6
0.548, 2.531e-6
0.552, 2.413e-6
0.556, 2.578e-6
0.560, 2.637e-6
0.564, 2.590e-6
0.568, 2.578e-6
0.572, 2.602e-6
0.576, 2.613e-6
0.580, 2.566e-6
0.584, 2.625e-6
0.588, 2.708e-6
0.592, 2.684e-6
0.596, 2.555e-6
0.600, 2.672e-6
0.604, 2.743e-6
0.608, 2.884e-6
0.612, 2.802e-6
0.616, 2.778e-6
0.620, 2.943e-6
0.624, 3.002e-6
0.628, 2.943e-6
0.632, 3.014e-6
0.636, 3.178e-6
0.640, 3.249e-6
0.644, 3.249e-6
0.648, 3.473e-6
0.652, 3.767e-6
0.656, 3.908e-6
0.660, 4.238e-6
0.664, 4.473e-6
0.668, 5.003e-6
0.672, 5.439e-6
0.676, 5.957e-6
0.680, 6.945e-6
0.684, 7.993e-6
0.688, 9.182e-6
0.692, 1.070e-5
0.696, 1.218e-5
0.700, 1.455e-5
0.704, 1.694e-5
0.708, 1.987e-5
0.712, 2.376e-5
0.716, 2.908e-5
0.720, 3.533e-5
0.724, 4.218e-5
0.728, 4.862e-5
0.732, 5.429e-5
0.736, 5.900e-5
0.740, 6.377e-5
0.744, 6.805e-5
0.748, 7.179e-5
0.752, 7.507e-5
0.756, 7.754e-5
0.760, 7.947e-5
0.764, 8.103e-5
0.768, 8.227e-5
0.772, 8.352e-5
0.776, 8.511e-5
0.780, 8.691e-5
0.784, 8.882e-5
0.788, 9.086e-5
0.792, 9.288e-5
0.796, 9.506e-5
0.800, 9.694e-5
0.804, 9.891e-5
0.808, 1.006e-4
0.812, 1.020e-4
0.816, 1.032e-4
0.820, 1.041e-4
0.824, 1.046e-4
0.828, 1.051e-4
0.832, 1.052e-4
0.836, 1.049e-4
0.840, 1.047e-4
0.844, 1.042e-4
0.848, 1.033e-4
0.852, 1.024e-4
0.856, 1.013e-4
0.860, 1.004e-4
0.864, 9.924e-5
0.868, 9.801e-5
0.872, 9.665e-5
0.876, 9.522e-5
0.880, 9.395e-5
0.884, 9.243e-5
0.888, 9.096e-5
0.892, 8.950e-5
0.896, 8.814e-5
0.900, 8.671e-5
0.904, 8.532e-5
0.908, 8.377e-5
0.912, 8.217e-5
0.916, 8.052e-5
0.920, 7.874e-5
0.924, 7.705e-5
0.928, 7.520e-5
0.932, 7.312e-5
0.936, 7.097e-5
0.940, 6.869e-5
0.944, 6.646e-5
0.948, 6.403e-5
0.952, 6.173e-5
0.956, 5.942e-5
0.960, 5.709e-5
0.964, 5.468e-5
0.968, 5.227e-5
0.972, 4.992e-5
0.976, 4.795e-5
0.980, 4.568e-5
0.984, 4.354e-5
0.988, 4.157e-5
0.992, 3.961e-5
0.996, 3.799e-5
1.000, 3.618e-5
