July 21, 2025   17:50:13
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.664V
ip = 9.163e-5A
Ap = 4.724e-6VA

Potential/V, Current/A

0.004, 1.123e-5
0.008, 1.055e-5
0.012, 1.011e-5
0.016, 9.429e-6
0.020, 8.747e-6
0.024, 8.076e-6
0.028, 7.817e-6
0.032, 7.534e-6
0.036, 7.287e-6
0.040, 6.863e-6
0.044, 6.792e-6
0.048, 6.887e-6
0.052, 6.675e-6
0.056, 6.604e-6
0.060, 6.569e-6
0.064, 6.498e-6
0.068, 6.545e-6
0.072, 6.581e-6
0.076, 6.604e-6
0.080, 6.522e-6
0.084, 6.533e-6
0.088, 6.604e-6
0.092, 6.757e-6
0.096, 6.828e-6
0.100, 6.934e-6
0.104, 6.945e-6
0.108, 7.122e-6
0.112, 7.098e-6
0.116, 7.381e-6
0.120, 7.393e-6
0.124, 7.546e-6
0.128, 7.664e-6
0.132, 7.675e-6
0.136, 7.993e-6
0.140, 7.970e-6
0.144, 8.217e-6
0.148, 8.240e-6
0.152, 8.405e-6
0.156, 8.511e-6
0.160, 8.688e-6
0.164, 8.829e-6
0.168, 8.947e-6
0.172, 9.100e-6
0.176, 9.135e-6
0.180, 9.359e-6
0.184, 9.241e-6
0.188, 9.418e-6
0.192, 9.429e-6
0.196, 9.453e-6
0.200, 9.629e-6
0.204, 9.700e-6
0.208, 9.877e-6
0.212, 9.900e-6
0.216, 9.747e-6
0.220, 9.677e-6
0.224, 9.794e-6
0.228, 9.783e-6
0.232, 9.724e-6
0.236, 9.865e-6
0.240, 9.865e-6
0.244, 9.853e-6
0.248, 9.700e-6
0.252, 9.783e-6
0.256, 9.712e-6
0.260, 9.535e-6
0.264, 9.724e-6
0.268, 9.571e-6
0.272, 9.606e-6
0.276, 9.594e-6
0.280, 9.512e-6
0.284, 9.500e-6
0.288, 9.500e-6
0.292, 9.453e-6
0.296, 9.347e-6
0.300, 9.276e-6
0.304, 9.253e-6
0.308, 9.217e-6
0.312, 9.111e-6
0.316, 9.206e-6
0.320, 9.088e-6
0.324, 8.994e-6
0.328, 9.006e-6
0.332, 9.076e-6
0.336, 9.076e-6
0.340, 8.888e-6
0.344, 8.805e-6
0.348, 8.935e-6
0.352, 8.853e-6
0.356, 8.876e-6
0.360, 8.829e-6
0.364, 8.923e-6
0.368, 8.747e-6
0.372, 8.829e-6
0.376, 8.664e-6
0.380, 8.817e-6
0.384, 8.664e-6
0.388, 8.605e-6
0.392, 8.605e-6
0.396, 8.747e-6
0.400, 8.570e-6
0.404, 8.641e-6
0.408, 8.546e-6
0.412, 8.723e-6
0.416, 8.523e-6
0.420, 8.499e-6
0.424, 8.346e-6
0.428, 8.440e-6
0.432, 8.464e-6
0.436, 8.335e-6
0.440, 8.393e-6
0.444, 8.464e-6
0.448, 8.382e-6
0.452, 8.217e-6
0.456, 8.134e-6
0.460, 8.276e-6
0.464, 8.205e-6
0.468, 8.182e-6
0.472, 8.028e-6
0.476, 8.064e-6
0.480, 7.981e-6
0.484, 8.099e-6
0.488, 8.005e-6
0.492, 7.981e-6
0.496, 7.911e-6
0.500, 7.793e-6
0.504, 7.711e-6
0.508, 7.817e-6
0.512, 7.616e-6
0.516, 7.534e-6
0.520, 7.699e-6
0.524, 7.628e-6
0.528, 7.605e-6
0.532, 7.428e-6
0.536, 7.558e-6
0.540, 7.640e-6
0.544, 7.546e-6
0.548, 7.605e-6
0.552, 7.746e-6
0.556, 7.887e-6
0.560, 8.193e-6
0.564, 8.264e-6
0.568, 8.558e-6
0.572, 9.112e-6
0.576, 9.677e-6
0.580, 1.012e-5
0.584, 1.100e-5
0.588, 1.189e-5
0.592, 1.321e-5
0.596, 1.477e-5
0.600, 1.654e-5
0.604, 1.874e-5
0.608, 2.177e-5
0.612, 2.536e-5
0.616, 2.959e-5
0.620, 3.532e-5
0.624, 4.225e-5
0.628, 5.102e-5
0.632, 6.220e-5
0.636, 7.542e-5
0.640, 9.080e-5
0.644, 1.059e-4
0.648, 1.199e-4
0.652, 1.314e-4
0.656, 1.408e-4
0.660, 1.469e-4
0.664, 1.501e-4
0.668, 1.499e-4
0.672, 1.457e-4
0.676, 1.394e-4
0.680, 1.322e-4
0.684, 1.250e-4
0.688, 1.183e-4
0.692, 1.124e-4
0.696, 1.071e-4
0.700, 1.027e-4
0.704, 9.885e-5
0.708, 9.532e-5
0.712, 9.261e-5
0.716, 9.027e-5
0.720, 8.815e-5
0.724, 8.674e-5
0.728, 8.582e-5
0.732, 8.545e-5
0.736, 8.552e-5
0.740, 8.596e-5
0.744, 8.695e-5
0.748, 8.830e-5
0.752, 9.007e-5
0.756, 9.221e-5
0.760, 9.454e-5
0.764, 9.699e-5
0.768, 9.989e-5
0.772, 1.024e-4
