July 21, 2025   15:13:26
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.552V
ip = 8.584e-6A
Ap = 1.166e-7VA

Potential/V, Current/A

0.004, 1.242e-5
0.008, 1.154e-5
0.012, 1.088e-5
0.016, 1.048e-5
0.020, 1.004e-5
0.024, 9.794e-6
0.028, 9.665e-6
0.032, 9.524e-6
0.036, 9.512e-6
0.040, 9.394e-6
0.044, 9.135e-6
0.048, 8.900e-6
0.052, 8.652e-6
0.056, 8.382e-6
0.060, 8.346e-6
0.064, 8.064e-6
0.068, 7.687e-6
0.072, 7.593e-6
0.076, 7.334e-6
0.080, 7.110e-6
0.084, 6.910e-6
0.088, 6.616e-6
0.092, 6.251e-6
0.096, 6.345e-6
0.100, 5.945e-6
0.104, 5.733e-6
0.108, 5.509e-6
0.112, 5.392e-6
0.116, 5.180e-6
0.120, 4.932e-6
0.124, 4.803e-6
0.128, 4.626e-6
0.132, 4.450e-6
0.136, 4.403e-6
0.140, 4.179e-6
0.144, 4.061e-6
0.148, 4.132e-6
0.152, 3.779e-6
0.156, 3.944e-6
0.160, 3.732e-6
0.164, 3.732e-6
0.168, 3.496e-6
0.172, 3.402e-6
0.176, 3.331e-6
0.180, 3.226e-6
0.184, 2.990e-6
0.188, 3.108e-6
0.192, 3.072e-6
0.196, 2.825e-6
0.200, 2.884e-6
0.204, 2.731e-6
0.208, 2.802e-6
0.212, 2.684e-6
0.216, 2.460e-6
0.220, 2.472e-6
0.224, 2.496e-6
0.228, 2.366e-6
0.232, 2.354e-6
0.236, 2.166e-6
0.240, 2.284e-6
0.244, 2.237e-6
0.248, 2.013e-6
0.252, 2.190e-6
0.256, 1.978e-6
0.260, 2.037e-6
0.264, 2.025e-6
0.268, 2.060e-6
0.272, 1.931e-6
0.276, 1.907e-6
0.280, 1.942e-6
0.284, 1.825e-6
0.288, 1.907e-6
0.292, 1.801e-6
0.296, 1.942e-6
0.300, 1.966e-6
0.304, 1.813e-6
0.308, 1.813e-6
0.312, 1.660e-6
0.316, 1.707e-6
0.320, 1.836e-6
0.324, 1.672e-6
0.328, 1.683e-6
0.332, 1.613e-6
0.336, 1.636e-6
0.340, 1.683e-6
0.344, 1.660e-6
0.348, 1.695e-6
0.352, 1.625e-6
0.356, 1.672e-6
0.360, 1.672e-6
0.364, 1.660e-6
0.368, 1.754e-6
0.372, 1.566e-6
0.376, 1.613e-6
0.380, 1.707e-6
0.384, 1.730e-6
0.388, 1.577e-6
0.392, 1.683e-6
0.396, 1.648e-6
0.400, 1.848e-6
0.404, 1.754e-6
0.408, 1.730e-6
0.412, 1.766e-6
0.416, 1.742e-6
0.420, 1.648e-6
0.424, 1.860e-6
0.428, 1.966e-6
0.432, 1.942e-6
0.436, 1.966e-6
0.440, 1.954e-6
0.444, 2.248e-6
0.448, 2.248e-6
0.452, 2.460e-6
0.456, 2.449e-6
0.460, 2.731e-6
0.464, 2.884e-6
0.468, 3.167e-6
0.472, 3.496e-6
0.476, 3.779e-6
0.480, 4.391e-6
0.484, 5.062e-6
0.488, 5.592e-6
0.492, 6.639e-6
0.496, 7.852e-6
0.500, 9.571e-6
0.504, 1.157e-5
0.508, 1.431e-5
0.512, 1.812e-5
0.516, 2.274e-5
0.520, 2.928e-5
0.524, 3.780e-5
0.528, 4.721e-5
0.532, 5.669e-5
0.536, 6.561e-5
0.540, 7.240e-5
0.544, 7.798e-5
0.548, 8.232e-5
0.552, 8.524e-5
0.556, 8.476e-5
0.560, 8.104e-5
0.564, 7.715e-5
0.568, 7.545e-5
0.572, 7.546e-5
0.576, 7.655e-5
0.580, 7.811e-5
0.584, 8.033e-5
0.588, 8.306e-5
0.592, 8.603e-5
0.596, 8.916e-5
0.600, 9.254e-5
0.604, 9.612e-5
0.608, 9.992e-5
0.612, 1.034e-4
0.616, 1.069e-4
0.620, 1.103e-4
0.624, 1.131e-4
0.628, 1.157e-4
0.632, 1.181e-4
0.636, 1.200e-4
0.640, 1.213e-4
0.644, 1.221e-4
0.648, 1.222e-4
0.652, 1.220e-4
0.656, 1.211e-4
0.660, 1.198e-4
0.664, 1.178e-4
0.668, 1.156e-4
0.672, 1.131e-4
0.676, 1.101e-4
0.680, 1.075e-4
0.684, 1.044e-4
0.688, 1.014e-4
0.692, 9.851e-5
0.696, 9.556e-5
0.700, 9.327e-5
0.704, 9.096e-5
0.708, 8.850e-5
0.712, 8.647e-5
0.716, 8.445e-5
0.720, 8.250e-5
0.724, 8.052e-5
0.728, 7.874e-5
0.732, 7.695e-5
0.736, 7.534e-5
0.740, 7.347e-5
0.744, 7.168e-5
0.748, 6.978e-5
0.752, 6.799e-5
0.756, 6.604e-5
0.760, 6.404e-5
0.764, 6.206e-5
0.768, 6.018e-5
0.772, 5.792e-5
0.776, 5.605e-5
0.780, 5.403e-5
0.784, 5.199e-5
