July 22, 2025   22:56:06
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.536V
ip = 1.863e-5A
Ap = 1.905e-6VA

Potential/V, Current/A

0.004, 1.311e-5
0.008, 1.198e-5
0.012, 1.118e-5
0.016, 1.044e-5
0.020, 9.971e-6
0.024, 9.547e-6
0.028, 9.041e-6
0.032, 8.876e-6
0.036, 8.570e-6
0.040, 8.358e-6
0.044, 7.946e-6
0.048, 7.734e-6
0.052, 7.452e-6
0.056, 7.204e-6
0.060, 6.887e-6
0.064, 6.710e-6
0.068, 6.710e-6
0.072, 6.298e-6
0.076, 6.192e-6
0.080, 6.051e-6
0.084, 5.851e-6
0.088, 5.639e-6
0.092, 5.651e-6
0.096, 5.521e-6
0.100, 5.286e-6
0.104, 5.262e-6
0.108, 5.144e-6
0.112, 5.062e-6
0.116, 4.897e-6
0.120, 4.838e-6
0.124, 4.768e-6
0.128, 4.815e-6
0.132, 4.556e-6
0.136, 4.544e-6
0.140, 4.450e-6
0.144, 4.344e-6
0.148, 4.297e-6
0.152, 4.108e-6
0.156, 4.167e-6
0.160, 4.144e-6
0.164, 4.050e-6
0.168, 4.026e-6
0.172, 4.085e-6
0.176, 3.944e-6
0.180, 3.708e-6
0.184, 3.685e-6
0.188, 3.873e-6
0.192, 3.755e-6
0.196, 3.638e-6
0.200, 3.743e-6
0.204, 3.532e-6
0.208, 3.638e-6
0.212, 3.708e-6
0.216, 3.343e-6
0.220, 3.414e-6
0.224, 3.402e-6
0.228, 3.237e-6
0.232, 3.355e-6
0.236, 3.167e-6
0.240, 3.355e-6
0.244, 3.284e-6
0.248, 3.167e-6
0.252, 3.202e-6
0.256, 3.108e-6
0.260, 3.037e-6
0.264, 3.014e-6
0.268, 3.049e-6
0.272, 3.131e-6
0.276, 3.072e-6
0.280, 2.825e-6
0.284, 2.908e-6
0.288, 2.896e-6
0.292, 2.755e-6
0.296, 2.849e-6
0.300, 2.814e-6
0.304, 2.919e-6
0.308, 2.719e-6
0.312, 2.790e-6
0.316, 2.755e-6
0.320, 2.696e-6
0.324, 2.637e-6
0.328, 2.731e-6
0.332, 2.708e-6
0.336, 2.719e-6
0.340, 2.649e-6
0.344, 2.531e-6
0.348, 2.578e-6
0.352, 2.507e-6
0.356, 2.496e-6
0.360, 2.578e-6
0.364, 2.637e-6
0.368, 2.507e-6
0.372, 2.413e-6
0.376, 2.378e-6
0.380, 2.543e-6
0.384, 2.625e-6
0.388, 2.507e-6
0.392, 2.531e-6
0.396, 2.602e-6
0.400, 2.555e-6
0.404, 2.731e-6
0.408, 2.672e-6
0.412, 2.778e-6
0.416, 2.872e-6
0.420, 3.025e-6
0.424, 3.072e-6
0.428, 3.261e-6
0.432, 3.579e-6
0.436, 3.908e-6
0.440, 4.144e-6
