July 10, 2025   17:19:39
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.204V
ip = 2.390e-6A
Ap = 3.868e-7VA

Ep = 0.928V
ip = 1.023e-4A
Ap = 9.200e-6VA

Potential/V, Current/A

0.004, 1.275e-5
0.008, 1.168e-5
0.012, 1.114e-5
0.016, 1.061e-5
0.020, 1.002e-5
0.024, 9.724e-6
0.028, 9.465e-6
0.032, 9.253e-6
0.036, 8.970e-6
0.040, 8.853e-6
0.044, 8.805e-6
0.048, 8.900e-6
0.052, 8.911e-6
0.056, 8.829e-6
0.060, 8.864e-6
0.064, 8.888e-6
0.068, 8.888e-6
0.072, 8.676e-6
0.076, 8.641e-6
0.080, 8.499e-6
0.084, 8.429e-6
0.088, 8.323e-6
0.092, 8.311e-6
0.096, 8.240e-6
0.100, 8.193e-6
0.104, 8.405e-6
0.108, 8.252e-6
0.112, 8.346e-6
0.116, 8.252e-6
0.120, 8.146e-6
0.124, 8.182e-6
0.128, 8.370e-6
0.132, 8.193e-6
0.136, 8.311e-6
0.140, 8.311e-6
0.144, 8.523e-6
0.148, 8.440e-6
0.152, 8.429e-6
0.156, 8.629e-6
0.160, 8.664e-6
0.164, 8.723e-6
0.168, 8.782e-6
0.172, 8.923e-6
0.176, 8.853e-6
0.180, 9.053e-6
0.184, 8.829e-6
0.188, 9.112e-6
0.192, 9.123e-6
0.196, 9.053e-6
0.200, 9.053e-6
0.204, 9.135e-6
0.208, 9.088e-6
0.212, 9.076e-6
0.216, 8.864e-6
0.220, 8.923e-6
0.224, 8.794e-6
0.228, 8.711e-6
0.232, 8.641e-6
0.236, 8.464e-6
0.240, 8.417e-6
0.244, 8.205e-6
0.248, 8.240e-6
0.252, 8.158e-6
0.256, 7.934e-6
0.260, 7.687e-6
0.264, 7.593e-6
0.268, 7.640e-6
0.272, 7.381e-6
0.276, 7.216e-6
0.280, 7.134e-6
0.284, 6.993e-6
0.288, 6.993e-6
0.292, 6.722e-6
0.296, 6.663e-6
0.300, 6.498e-6
0.304, 6.475e-6
0.308, 6.274e-6
0.312, 6.074e-6
0.316, 6.063e-6
0.320, 5.804e-6
0.324, 5.686e-6
0.328, 5.521e-6
0.332, 5.509e-6
0.336, 5.286e-6
0.340, 5.121e-6
0.344, 5.062e-6
0.348, 4.921e-6
0.352, 4.803e-6
0.356, 4.744e-6
0.360, 4.650e-6
0.364, 4.544e-6
0.368, 4.450e-6
0.372, 4.226e-6
0.376, 4.191e-6
0.380, 4.050e-6
0.384, 3.955e-6
0.388, 3.755e-6
0.392, 3.755e-6
0.396, 3.696e-6
0.400, 3.532e-6
0.404, 3.390e-6
0.408, 3.284e-6
0.412, 3.178e-6
0.416, 3.143e-6
0.420, 2.872e-6
0.424, 2.696e-6
0.428, 2.814e-6
0.432, 2.825e-6
0.436, 2.496e-6
0.440, 2.507e-6
0.444, 2.425e-6
0.448, 2.354e-6
0.452, 2.284e-6
0.456, 2.343e-6
0.460, 2.190e-6
0.464, 2.213e-6
0.468, 2.001e-6
0.472, 1.954e-6
0.476, 1.978e-6
0.480, 2.048e-6
0.484, 1.789e-6
0.488, 1.942e-6
0.492, 1.942e-6
0.496, 1.872e-6
0.500, 1.683e-6
0.504, 1.754e-6
0.508, 1.648e-6
0.512, 1.672e-6
0.516, 1.636e-6
0.520, 1.589e-6
0.524, 1.613e-6
0.528, 1.542e-6
0.532, 1.519e-6
0.536, 1.589e-6
0.540, 1.683e-6
0.544, 1.542e-6
0.548, 1.471e-6
0.552, 1.448e-6
0.556, 1.460e-6
0.560, 1.413e-6
0.564, 1.530e-6
0.568, 1.283e-6
0.572, 1.519e-6
0.576, 1.401e-6
0.580, 1.283e-6
0.584, 1.436e-6
0.588, 1.424e-6
0.592, 1.224e-6
0.596, 1.354e-6
0.600, 1.424e-6
0.604, 1.424e-6
0.608, 1.448e-6
0.612, 1.424e-6
0.616, 1.530e-6
0.620, 1.401e-6
0.624, 1.519e-6
0.628, 1.530e-6
0.632, 1.413e-6
0.636, 1.566e-6
0.640, 1.613e-6
0.644, 1.589e-6
0.648, 1.660e-6
0.652, 1.872e-6
0.656, 1.554e-6
0.660, 1.872e-6
0.664, 1.719e-6
0.668, 1.860e-6
0.672, 2.084e-6
0.676, 2.037e-6
0.680, 2.072e-6
0.684, 2.248e-6
0.688, 2.319e-6
0.692, 2.449e-6
0.696, 2.625e-6
0.700, 2.943e-6
0.704, 3.237e-6
0.708, 3.696e-6
0.712, 4.332e-6
0.716, 5.133e-6
0.720, 5.968e-6
0.724, 6.981e-6
0.728, 8.276e-6
0.732, 9.571e-6
0.736, 1.132e-5
0.740, 1.313e-5
0.744, 1.550e-5
0.748, 1.848e-5
0.752, 2.251e-5
0.756, 2.715e-5
0.760, 3.253e-5
0.764, 3.931e-5
0.768, 4.828e-5
0.772, 5.970e-5
0.776, 7.302e-5
0.780, 8.565e-5
0.784, 9.588e-5
0.788, 1.018e-4
0.792, 1.046e-4
0.796, 1.051e-4
0.800, 1.039e-4
0.804, 1.017e-4
0.808, 1.007e-4
0.812, 1.010e-4
0.816, 1.023e-4
0.820, 1.046e-4
0.824, 1.073e-4
0.828, 1.106e-4
0.832, 1.143e-4
0.836, 1.182e-4
0.840, 1.228e-4
0.844, 1.271e-4
0.848, 1.320e-4
0.852, 1.369e-4
0.856, 1.419e-4
0.860, 1.474e-4
0.864, 1.529e-4
0.868, 1.588e-4
0.872, 1.647e-4
0.876, 1.712e-4
0.880, 1.777e-4
0.884, 1.847e-4
0.888, 1.916e-4
0.892, 1.982e-4
0.896, 2.052e-4
0.900, 2.114e-4
0.904, 2.174e-4
0.908, 2.230e-4
0.912, 2.278e-4
0.916, 2.314e-4
0.920, 2.342e-4
0.924, 2.356e-4
0.928, 2.357e-4
0.932, 2.345e-4
0.936, 2.324e-4
0.940, 2.290e-4
0.944, 2.248e-4
0.948, 2.194e-4
0.952, 2.137e-4
0.956, 2.077e-4
0.960, 2.012e-4
0.964, 1.945e-4
0.968, 1.876e-4
0.972, 1.802e-4
0.976, 1.728e-4
0.980, 1.654e-4
0.984, 1.576e-4
0.988, 1.498e-4
0.992, 1.417e-4
0.996, 1.333e-4
1.000, 1.251e-4
