July 10, 2025   16:47:15
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.904V
ip = 1.978e-4A
Ap = 2.911e-5VA

Potential/V, Current/A

0.004, 1.316e-5
0.008, 1.218e-5
0.012, 1.142e-5
0.016, 1.104e-5
0.020, 1.050e-5
0.024, 9.912e-6
0.028, 9.724e-6
0.032, 9.382e-6
0.036, 9.323e-6
0.040, 9.217e-6
0.044, 9.370e-6
0.048, 9.323e-6
0.052, 9.335e-6
0.056, 9.088e-6
0.060, 9.064e-6
0.064, 8.958e-6
0.068, 8.629e-6
0.072, 8.570e-6
0.076, 8.488e-6
0.080, 8.276e-6
0.084, 8.182e-6
0.088, 8.205e-6
0.092, 8.346e-6
0.096, 8.182e-6
0.100, 8.146e-6
0.104, 7.993e-6
0.108, 8.064e-6
0.112, 7.934e-6
0.116, 7.852e-6
0.120, 7.864e-6
0.124, 7.899e-6
0.128, 7.852e-6
0.132, 7.687e-6
0.136, 7.817e-6
0.140, 7.828e-6
0.144, 7.852e-6
0.148, 7.675e-6
0.152, 7.628e-6
0.156, 7.416e-6
0.160, 7.581e-6
0.164, 7.452e-6
0.168, 7.357e-6
0.172, 7.287e-6
0.176, 7.122e-6
0.180, 6.875e-6
0.184, 6.510e-6
0.188, 6.416e-6
0.192, 6.286e-6
0.196, 6.063e-6
0.200, 5.827e-6
0.204, 5.615e-6
0.208, 5.309e-6
0.212, 5.133e-6
0.216, 4.944e-6
0.220, 4.850e-6
0.224, 4.603e-6
0.228, 4.214e-6
0.232, 4.191e-6
0.236, 4.097e-6
0.240, 3.755e-6
0.244, 3.567e-6
0.248, 3.414e-6
0.252, 3.190e-6
0.256, 3.178e-6
0.260, 2.813e-6
0.264, 2.955e-6
0.268, 2.543e-6
0.272, 2.413e-6
0.276, 2.213e-6
0.280, 2.166e-6
0.284, 1.989e-6
0.288, 1.989e-6
0.292, 1.766e-6
0.296, 1.872e-6
0.300, 1.742e-6
0.304, 1.601e-6
0.308, 1.566e-6
0.312, 1.413e-6
0.316, 1.460e-6
0.320, 1.495e-6
0.324, 1.260e-6
0.328, 1.307e-6
0.332, 1.295e-6
0.336, 1.401e-6
0.340, 1.189e-6
0.344, 1.130e-6
0.348, 1.107e-6
0.352, 1.201e-6
0.356, 1.059e-6
0.360, 1.071e-6
0.364, 1.118e-6
0.368, 1.189e-6
0.372, 1.165e-6
0.376, 1.260e-6
0.380, 9.771e-7
0.384, 1.154e-6
0.388, 1.059e-6
0.392, 1.142e-6
0.396, 1.036e-6
0.400, 9.300e-7
0.404, 9.182e-7
0.408, 1.001e-6
0.412, 1.012e-6
0.416, 9.418e-7
0.420, 8.711e-7
0.424, 9.300e-7
0.428, 9.771e-7
0.432, 9.064e-7
0.436, 8.711e-7
0.440, 8.240e-7
0.444, 8.358e-7
0.448, 9.535e-7
0.452, 7.534e-7
0.456, 8.123e-7
0.460, 9.418e-7
0.464, 8.476e-7
0.468, 9.418e-7
0.472, 9.300e-7
0.476, 9.064e-7
0.480, 8.123e-7
0.484, 7.299e-7
0.488, 7.887e-7
0.492, 9.418e-7
0.496, 8.005e-7
0.500, 7.770e-7
0.504, 9.182e-7
0.508, 9.182e-7
0.512, 8.240e-7
0.516, 7.063e-7
0.520, 8.358e-7
0.524, 9.182e-7
0.528, 8.358e-7
0.532, 1.048e-6
0.536, 8.358e-7
0.540, 9.771e-7
0.544, 8.594e-7
0.548, 8.829e-7
0.552, 8.711e-7
0.556, 9.300e-7
0.560, 8.829e-7
0.564, 8.711e-7
0.568, 7.887e-7
0.572, 1.177e-6
0.576, 1.083e-6
0.580, 9.418e-7
0.584, 1.071e-6
0.588, 1.154e-6
0.592, 1.130e-6
0.596, 1.142e-6
0.600, 1.142e-6
0.604, 1.189e-6
0.608, 1.260e-6
0.612, 1.130e-6
0.616, 1.236e-6
0.620, 1.295e-6
0.624, 1.366e-6
0.628, 1.413e-6
0.632, 1.448e-6
0.636, 1.648e-6
0.640, 1.695e-6
0.644, 1.672e-6
0.648, 1.789e-6
0.652, 1.884e-6
0.656, 2.095e-6
0.660, 2.201e-6
0.664, 2.484e-6
0.668, 2.837e-6
0.672, 3.214e-6
0.676, 3.532e-6
0.680, 3.885e-6
0.684, 4.320e-6
0.688, 4.626e-6
0.692, 4.909e-6
0.696, 5.309e-6
0.700, 5.733e-6
0.704, 6.333e-6
0.708, 6.969e-6
0.712, 7.699e-6
0.716, 8.735e-6
0.720, 1.019e-5
0.724, 1.151e-5
0.728, 1.320e-5
0.732, 1.605e-5
0.736, 2.012e-5
0.740, 2.624e-5
0.744, 3.459e-5
0.748, 4.497e-5
0.752, 6.091e-5
0.756, 7.463e-5
0.760, 8.820e-5
0.764, 9.989e-5
0.768, 1.102e-4
0.772, 1.152e-4
0.776, 1.129e-4
0.780, 1.094e-4
0.784, 1.086e-4
0.788, 1.093e-4
0.792, 1.112e-4
0.796, 1.137e-4
0.800, 1.166e-4
0.804, 1.197e-4
0.808, 1.242e-4
0.812, 1.273e-4
0.816, 1.321e-4
0.820, 1.364e-4
0.824, 1.413e-4
0.828, 1.461e-4
0.832, 1.512e-4
0.836, 1.566e-4
0.840, 1.621e-4
0.844, 1.683e-4
0.848, 1.750e-4
0.852, 1.817e-4
0.856, 1.885e-4
0.860, 1.956e-4
0.864, 2.031e-4
0.868, 2.106e-4
0.872, 2.183e-4
0.876, 2.252e-4
0.880, 2.323e-4
0.884, 2.382e-4
0.888, 2.434e-4
0.892, 2.476e-4
0.896, 2.506e-4
0.900, 2.523e-4
0.904, 2.531e-4
0.908, 2.522e-4
0.912, 2.500e-4
0.916, 2.459e-4
0.920, 2.413e-4
0.924, 2.353e-4
0.928, 2.285e-4
0.932, 2.214e-4
0.936, 2.136e-4
0.940, 2.057e-4
0.944, 1.974e-4
0.948, 1.895e-4
0.952, 1.810e-4
0.956, 1.730e-4
0.960, 1.640e-4
0.964, 1.550e-4
0.968, 1.452e-4
0.972, 1.359e-4
0.976, 1.268e-4
0.980, 1.174e-4
0.984, 1.082e-4
0.988, 9.947e-5
0.992, 9.102e-5
0.996, 8.300e-5
1.000, 7.573e-5
