July 14, 2025   16:19:55
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.620V
ip = 4.987e-5A
Ap = 5.627e-6VA

Potential/V, Current/A

0.004, 1.807e-5
0.008, 1.716e-5
0.012, 1.650e-5
0.016, 1.542e-5
0.020, 1.436e-5
0.024, 1.362e-5
0.028, 1.294e-5
0.032, 1.264e-5
0.036, 1.220e-5
0.040, 1.180e-5
0.044, 1.145e-5
0.048, 1.125e-5
0.052, 1.114e-5
0.056, 1.078e-5
0.060, 1.084e-5
0.064, 1.059e-5
0.068, 1.043e-5
0.072, 1.035e-5
0.076, 1.022e-5
0.080, 1.011e-5
0.084, 9.924e-6
0.088, 9.841e-6
0.092, 9.771e-6
0.096, 9.688e-6
0.100, 9.453e-6
0.104, 9.382e-6
0.108, 9.217e-6
0.112, 8.970e-6
0.116, 8.817e-6
0.120, 8.829e-6
0.124, 8.723e-6
0.128, 8.558e-6
0.132, 8.287e-6
0.136, 8.240e-6
0.140, 8.017e-6
0.144, 7.840e-6
0.148, 7.911e-6
0.152, 7.640e-6
0.156, 7.640e-6
0.160, 7.381e-6
0.164, 7.287e-6
0.168, 7.252e-6
0.172, 7.299e-6
0.176, 7.028e-6
0.180, 6.898e-6
0.184, 6.863e-6
0.188, 6.898e-6
0.192, 6.651e-6
0.196, 6.545e-6
0.200, 6.498e-6
0.204, 6.416e-6
0.208, 6.404e-6
0.212, 6.180e-6
0.216, 6.216e-6
0.220, 6.086e-6
0.224, 5.957e-6
0.228, 5.957e-6
0.232, 5.933e-6
0.236, 5.768e-6
0.240, 5.686e-6
0.244, 5.662e-6
0.248, 5.498e-6
0.252, 5.580e-6
0.256, 5.568e-6
0.260, 5.344e-6
0.264, 5.415e-6
0.268, 5.368e-6
0.272, 5.239e-6
0.276, 5.144e-6
0.280, 5.038e-6
0.284, 5.227e-6
0.288, 5.239e-6
0.292, 5.074e-6
0.296, 4.874e-6
0.300, 5.027e-6
0.304, 4.827e-6
0.308, 4.721e-6
0.312, 4.685e-6
0.316, 4.685e-6
0.320, 4.709e-6
0.324, 4.568e-6
0.328, 4.532e-6
0.332, 4.568e-6
0.336, 4.544e-6
0.340, 4.532e-6
0.344, 4.391e-6
0.348, 4.426e-6
0.352, 4.332e-6
0.356, 4.438e-6
0.360, 4.285e-6
0.364, 4.414e-6
0.368, 4.473e-6
0.372, 4.285e-6
0.376, 4.261e-6
0.380, 4.403e-6
0.384, 4.344e-6
0.388, 4.320e-6
0.392, 4.626e-6
0.396, 4.709e-6
0.400, 4.732e-6
0.404, 4.850e-6
0.408, 4.968e-6
0.412, 5.274e-6
0.416, 5.439e-6
0.420, 5.768e-6
0.424, 6.180e-6
0.428, 6.781e-6
0.432, 7.087e-6
0.436, 7.958e-6
0.440, 8.747e-6
0.444, 9.947e-6
0.448, 1.121e-5
0.452, 1.283e-5
0.456, 1.484e-5
0.460, 1.716e-5
0.464, 2.019e-5
0.468, 2.374e-5
0.472, 2.781e-5
0.476, 3.302e-5
0.480, 3.880e-5
0.484, 4.485e-5
0.488, 5.088e-5
0.492, 5.725e-5
0.496, 6.365e-5
0.500, 7.023e-5
0.504, 7.654e-5
0.508, 8.245e-5
0.512, 8.862e-5
0.516, 9.468e-5
0.520, 1.006e-4
0.524, 1.053e-4
0.528, 1.077e-4
0.532, 1.074e-4
0.536, 1.067e-4
0.540, 1.062e-4
0.544, 1.058e-4
0.548, 1.052e-4
0.552, 1.049e-4
0.556, 1.052e-4
0.560, 1.062e-4
0.564, 1.074e-4
0.568, 1.090e-4
0.572, 1.112e-4
0.576, 1.136e-4
0.580, 1.161e-4
0.584, 1.188e-4
0.588, 1.218e-4
0.592, 1.245e-4
0.596, 1.272e-4
0.600, 1.296e-4
0.604, 1.320e-4
0.608, 1.339e-4
0.612, 1.353e-4
0.616, 1.360e-4
0.620, 1.363e-4
0.624, 1.362e-4
0.628, 1.354e-4
0.632, 1.341e-4
0.636, 1.325e-4
0.640, 1.304e-4
0.644, 1.280e-4
0.648, 1.254e-4
0.652, 1.226e-4
0.656, 1.195e-4
0.660, 1.163e-4
0.664, 1.131e-4
0.668, 1.101e-4
0.672, 1.069e-4
0.676, 1.035e-4
0.680, 1.005e-4
0.684, 9.764e-5
0.688, 9.485e-5
0.692, 9.220e-5
0.696, 8.943e-5
0.700, 8.692e-5
0.704, 8.457e-5
0.708, 8.192e-5
0.712, 7.966e-5
0.716, 7.722e-5
0.720, 7.479e-5
0.724, 7.253e-5
0.728, 7.023e-5
0.732, 6.781e-5
0.736, 6.564e-5
0.740, 6.300e-5
0.744, 6.076e-5
0.748, 5.831e-5
0.752, 5.601e-5
0.756, 5.361e-5
0.760, 5.144e-5
0.764, 4.936e-5
0.768, 4.717e-5
0.772, 4.492e-5
0.776, 4.330e-5
0.780, 4.145e-5
0.784, 3.953e-5
0.788, 3.782e-5
0.792, 3.628e-5
0.796, 3.482e-5
0.800, 3.329e-5
0.804, 3.189e-5
0.808, 3.049e-5
0.812, 2.936e-5
0.816, 2.805e-5
0.820, 2.715e-5
0.824, 2.623e-5
