July 22, 2025   10:14:42
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.712V
ip = 1.409e-4A
Ap = 1.612e-5VA

Potential/V, Current/A

0.004, 2.032e-5
0.008, 1.832e-5
0.012, 1.655e-5
0.016, 1.541e-5
0.020, 1.457e-5
0.024, 1.380e-5
0.028, 1.320e-5
0.032, 1.295e-5
0.036, 1.245e-5
0.040, 1.244e-5
0.044, 1.211e-5
0.048, 1.187e-5
0.052, 1.189e-5
0.056, 1.175e-5
0.060, 1.163e-5
0.064, 1.156e-5
0.068, 1.150e-5
0.072, 1.157e-5
0.076, 1.156e-5
0.080, 1.157e-5
0.084, 1.170e-5
0.088, 1.169e-5
0.092, 1.198e-5
0.096, 1.184e-5
0.100, 1.207e-5
0.104, 1.237e-5
0.108, 1.256e-5
0.112, 1.273e-5
0.116, 1.285e-5
0.120, 1.314e-5
0.124, 1.338e-5
0.128, 1.373e-5
0.132, 1.367e-5
0.136, 1.393e-5
0.140, 1.436e-5
0.144, 1.448e-5
0.148, 1.447e-5
0.152, 1.480e-5
0.156, 1.488e-5
0.160, 1.524e-5
0.164, 1.516e-5
0.168, 1.520e-5
0.172, 1.535e-5
0.176, 1.542e-5
0.180, 1.552e-5
0.184, 1.548e-5
0.188, 1.546e-5
0.192, 1.549e-5
0.196, 1.543e-5
0.200, 1.517e-5
0.204, 1.527e-5
0.208, 1.524e-5
0.212, 1.496e-5
0.216, 1.487e-5
0.220, 1.487e-5
0.224, 1.461e-5
0.228, 1.468e-5
0.232, 1.447e-5
0.236, 1.436e-5
0.240, 1.421e-5
0.244, 1.401e-5
0.248, 1.393e-5
0.252, 1.382e-5
0.256, 1.349e-5
0.260, 1.340e-5
0.264, 1.327e-5
0.268, 1.314e-5
0.272, 1.290e-5
0.276, 1.273e-5
0.280, 1.248e-5
0.284, 1.241e-5
0.288, 1.222e-5
0.292, 1.204e-5
0.296, 1.177e-5
0.300, 1.156e-5
0.304, 1.123e-5
0.308, 1.108e-5
0.312, 1.078e-5
0.316, 1.048e-5
0.320, 1.042e-5
0.324, 1.011e-5
0.328, 9.994e-6
0.332, 9.735e-6
0.336, 9.582e-6
0.340, 9.206e-6
0.344, 9.017e-6
0.348, 8.864e-6
0.352, 8.629e-6
0.356, 8.205e-6
0.360, 8.240e-6
0.364, 8.158e-6
0.368, 7.923e-6
0.372, 7.734e-6
0.376, 7.322e-6
0.380, 7.369e-6
0.384, 7.263e-6
0.388, 7.016e-6
0.392, 6.934e-6
0.396, 6.922e-6
0.400, 6.616e-6
0.404, 6.533e-6
0.408, 6.439e-6
0.412, 6.345e-6
0.416, 6.133e-6
0.420, 6.121e-6
0.424, 6.098e-6
0.428, 6.157e-6
0.432, 5.968e-6
0.436, 5.862e-6
0.440, 5.745e-6
0.444, 5.639e-6
0.448, 5.580e-6
0.452, 5.686e-6
0.456, 5.556e-6
0.460, 5.486e-6
0.464, 5.498e-6
0.468, 5.462e-6
0.472, 5.321e-6
0.476, 5.498e-6
0.480, 5.297e-6
0.484, 5.250e-6
0.488, 5.180e-6
0.492, 5.333e-6
0.496, 5.109e-6
0.500, 5.156e-6
0.504, 5.062e-6
0.508, 5.191e-6
0.512, 5.015e-6
0.516, 4.874e-6
0.520, 5.027e-6
0.524, 5.097e-6
0.528, 5.003e-6
0.532, 4.991e-6
0.536, 5.156e-6
0.540, 5.062e-6
0.544, 5.074e-6
0.548, 4.980e-6
0.552, 5.003e-6
0.556, 4.980e-6
0.560, 5.191e-6
0.564, 5.038e-6
0.568, 5.109e-6
0.572, 5.274e-6
0.576, 5.439e-6
0.580, 5.439e-6
0.584, 5.615e-6
0.588, 5.862e-6
0.592, 6.110e-6
0.596, 6.463e-6
0.600, 6.769e-6
0.604, 7.263e-6
0.608, 7.970e-6
0.612, 8.546e-6
0.616, 9.524e-6
0.620, 1.064e-5
0.624, 1.230e-5
0.628, 1.415e-5
0.632, 1.698e-5
0.636, 2.058e-5
0.640, 2.522e-5
0.644, 3.125e-5
0.648, 3.901e-5
0.652, 4.779e-5
0.656, 5.754e-5
0.660, 6.822e-5
0.664, 8.101e-5
0.668, 9.558e-5
0.672, 1.110e-4
0.676, 1.273e-4
0.680, 1.441e-4
0.684, 1.614e-4
0.688, 1.779e-4
0.692, 1.930e-4
0.696, 2.059e-4
0.700, 2.161e-4
0.704, 2.222e-4
0.708, 2.259e-4
0.712, 2.274e-4
0.716, 2.274e-4
0.720, 2.265e-4
0.724, 2.249e-4
0.728, 2.228e-4
0.732, 2.205e-4
0.736, 2.184e-4
0.740, 2.165e-4
0.744, 2.150e-4
0.748, 2.140e-4
0.752, 2.130e-4
0.756, 2.124e-4
0.760, 2.121e-4
0.764, 2.119e-4
0.768, 2.116e-4
