July 22, 2025   10:00:06
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.784V
ip = 8.823e-5A
Ap = 1.313e-5VA

Potential/V, Current/A

0.004, 1.828e-5
0.008, 1.653e-5
0.012, 1.541e-5
0.016, 1.439e-5
0.020, 1.350e-5
0.024, 1.280e-5
0.028, 1.229e-5
0.032, 1.203e-5
0.036, 1.171e-5
0.040, 1.152e-5
0.044, 1.145e-5
0.048, 1.112e-5
0.052, 1.105e-5
0.056, 1.062e-5
0.060, 1.059e-5
0.064, 1.049e-5
0.068, 1.048e-5
0.072, 1.039e-5
0.076, 1.048e-5
0.080, 1.047e-5
0.084, 1.052e-5
0.088, 1.069e-5
0.092, 1.071e-5
0.096, 1.094e-5
0.100, 1.105e-5
0.104, 1.112e-5
0.108, 1.111e-5
0.112, 1.124e-5
0.116, 1.138e-5
0.120, 1.109e-5
0.124, 1.118e-5
0.128, 1.109e-5
0.132, 1.100e-5
0.136, 1.114e-5
0.140, 1.123e-5
0.144, 1.111e-5
0.148, 1.101e-5
0.152, 1.109e-5
0.156, 1.111e-5
0.160, 1.107e-5
0.164, 1.097e-5
0.168, 1.094e-5
0.172, 1.101e-5
0.176, 1.101e-5
0.180, 1.096e-5
0.184, 1.082e-5
0.188, 1.101e-5
0.192, 1.098e-5
0.196, 1.082e-5
0.200, 1.094e-5
0.204, 1.081e-5
0.208, 1.075e-5
0.212, 1.075e-5
0.216, 1.070e-5
0.220, 1.070e-5
0.224, 1.064e-5
0.228, 1.062e-5
0.232, 1.047e-5
0.236, 1.042e-5
0.240, 1.037e-5
0.244, 1.034e-5
0.248, 1.004e-5
0.252, 1.003e-5
0.256, 9.947e-6
0.260, 9.571e-6
0.264, 9.559e-6
0.268, 9.359e-6
0.272, 9.323e-6
0.276, 9.217e-6
0.280, 8.911e-6
0.284, 8.864e-6
0.288, 8.699e-6
0.292, 8.264e-6
0.296, 8.146e-6
0.300, 8.005e-6
0.304, 7.805e-6
0.308, 7.616e-6
0.312, 7.369e-6
0.316, 7.334e-6
0.320, 7.087e-6
0.324, 6.804e-6
0.328, 6.745e-6
0.332, 6.651e-6
0.336, 6.486e-6
0.340, 6.427e-6
0.344, 6.180e-6
0.348, 6.239e-6
0.352, 6.192e-6
0.356, 5.862e-6
0.360, 5.874e-6
0.364, 5.733e-6
0.368, 5.721e-6
0.372, 5.545e-6
0.376, 5.262e-6
0.380, 5.333e-6
0.384, 5.133e-6
0.388, 5.085e-6
0.392, 5.074e-6
0.396, 5.015e-6
0.400, 4.885e-6
0.404, 4.827e-6
0.408, 4.697e-6
0.412, 4.638e-6
0.416, 4.568e-6
0.420, 4.497e-6
0.424, 4.426e-6
0.428, 4.403e-6
0.432, 4.344e-6
0.436, 4.261e-6
0.440, 4.014e-6
0.444, 4.156e-6
0.448, 4.061e-6
0.452, 3.955e-6
0.456, 4.038e-6
0.460, 3.967e-6
0.464, 4.038e-6
0.468, 3.779e-6
0.472, 3.861e-6
0.476, 3.849e-6
0.480, 3.802e-6
0.484, 3.743e-6
0.488, 3.555e-6
0.492, 3.720e-6
0.496, 3.708e-6
0.500, 3.602e-6
0.504, 3.661e-6
0.508, 3.579e-6
0.512, 3.520e-6
0.516, 3.390e-6
0.520, 3.402e-6
0.524, 3.567e-6
0.528, 3.461e-6
0.532, 3.390e-6
0.536, 3.508e-6
0.540, 3.449e-6
0.544, 3.402e-6
0.548, 3.355e-6
0.552, 3.367e-6
0.556, 3.426e-6
0.560, 3.355e-6
0.564, 3.496e-6
0.568, 3.308e-6
0.572, 3.402e-6
0.576, 3.473e-6
0.580, 3.579e-6
0.584, 3.602e-6
0.588, 3.638e-6
0.592, 3.814e-6
0.596, 3.838e-6
0.600, 3.991e-6
0.604, 4.120e-6
0.608, 4.320e-6
0.612, 4.450e-6
0.616, 4.897e-6
0.620, 5.274e-6
0.624, 5.768e-6
0.628, 6.322e-6
0.632, 7.122e-6
0.636, 8.511e-6
0.640, 9.900e-6
0.644, 1.182e-5
0.648, 1.529e-5
0.652, 1.982e-5
0.656, 2.550e-5
0.660, 3.234e-5
0.664, 4.015e-5
0.668, 4.851e-5
0.672, 5.756e-5
0.676, 6.705e-5
0.680, 7.732e-5
0.684, 8.743e-5
0.688, 9.815e-5
0.692, 1.101e-4
0.696, 1.237e-4
0.700, 1.383e-4
0.704, 1.528e-4
0.708, 1.662e-4
0.712, 1.781e-4
0.716, 1.869e-4
0.720, 1.931e-4
0.724, 1.972e-4
0.728, 2.000e-4
0.732, 2.022e-4
0.736, 2.037e-4
0.740, 2.046e-4
0.744, 2.049e-4
0.748, 2.045e-4
0.752, 2.039e-4
0.756, 2.035e-4
0.760, 2.033e-4
0.764, 2.033e-4
0.768, 2.030e-4
0.772, 2.038e-4
0.776, 2.044e-4
0.780, 2.049e-4
0.784, 2.051e-4
0.788, 2.050e-4
0.792, 2.050e-4
0.796, 2.044e-4
0.800, 2.035e-4
0.804, 2.023e-4
0.808, 2.007e-4
0.812, 1.985e-4
0.816, 1.960e-4
0.820, 1.929e-4
0.824, 1.895e-4
0.828, 1.858e-4
0.832, 1.821e-4
0.836, 1.784e-4
0.840, 1.748e-4
0.844, 1.716e-4
0.848, 1.689e-4
0.852, 1.668e-4
0.856, 1.648e-4
0.860, 1.633e-4
0.864, 1.622e-4
0.868, 1.616e-4
0.872, 1.614e-4
0.876, 1.616e-4
0.880, 1.624e-4
0.884, 1.634e-4
0.888, 1.645e-4
0.892, 1.659e-4
0.896, 1.677e-4
0.900, 1.697e-4
0.904, 1.717e-4
0.908, 1.737e-4
0.912, 1.755e-4
0.916, 1.773e-4
0.920, 1.790e-4
0.924, 1.805e-4
0.928, 1.815e-4
0.932, 1.824e-4
0.936, 1.829e-4
0.940, 1.828e-4
0.944, 1.823e-4
0.948, 1.812e-4
0.952, 1.797e-4
0.956, 1.781e-4
0.960, 1.758e-4
0.964, 1.734e-4
0.968, 1.705e-4
0.972, 1.672e-4
0.976, 1.640e-4
0.980, 1.601e-4
0.984, 1.557e-4
0.988, 1.510e-4
0.992, 1.460e-4
0.996, 1.406e-4
1.000, 1.348e-4
