July 22, 2025   20:30:16
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.700V
ip = 7.528e-6A
Ap = 9.595e-7VA

Potential/V, Current/A

0.004, 4.438e-6
0.008, 4.144e-6
0.012, 4.108e-6
0.016, 3.802e-6
0.020, 3.543e-6
0.024, 3.284e-6
0.028, 3.226e-6
0.032, 3.096e-6
0.036, 3.037e-6
0.040, 2.849e-6
0.044, 2.990e-6
0.048, 2.766e-6
0.052, 2.743e-6
0.056, 2.555e-6
0.060, 2.649e-6
0.064, 2.613e-6
0.068, 2.555e-6
0.072, 2.519e-6
0.076, 2.484e-6
0.080, 2.378e-6
0.084, 2.343e-6
0.088, 2.496e-6
0.092, 2.413e-6
0.096, 2.331e-6
0.100, 2.237e-6
0.104, 2.166e-6
0.108, 2.272e-6
0.112, 2.319e-6
0.116, 2.190e-6
0.120, 2.119e-6
0.124, 2.107e-6
0.128, 2.142e-6
0.132, 2.084e-6
0.136, 2.201e-6
0.140, 2.142e-6
0.144, 2.001e-6
0.148, 2.095e-6
0.152, 1.931e-6
0.156, 1.989e-6
0.160, 1.907e-6
0.164, 1.954e-6
0.168, 1.954e-6
0.172, 2.025e-6
0.176, 2.013e-6
0.180, 2.037e-6
0.184, 1.978e-6
0.188, 1.825e-6
0.192, 1.778e-6
0.196, 1.766e-6
0.200, 1.813e-6
0.204, 1.754e-6
0.208, 1.801e-6
0.212, 1.719e-6
0.216, 1.577e-6
0.220, 1.683e-6
0.224, 1.660e-6
0.228, 1.436e-6
0.232, 1.778e-6
0.236, 1.530e-6
0.240, 1.495e-6
0.244, 1.448e-6
0.248, 1.530e-6
0.252, 1.460e-6
0.256, 1.554e-6
0.260, 1.189e-6
0.264, 1.436e-6
0.268, 1.460e-6
0.272, 1.260e-6
0.276, 1.307e-6
0.280, 1.236e-6
0.284, 1.413e-6
0.288, 1.236e-6
0.292, 1.283e-6
0.296, 1.283e-6
0.300, 1.377e-6
0.304, 1.295e-6
0.308, 1.366e-6
0.312, 1.224e-6
0.316, 1.236e-6
0.320, 1.165e-6
0.324, 1.130e-6
0.328, 1.260e-6
0.332, 1.107e-6
0.336, 1.260e-6
0.340, 1.154e-6
0.344, 1.001e-6
0.348, 1.154e-6
0.352, 1.213e-6
0.356, 1.118e-6
0.360, 1.036e-6
0.364, 1.201e-6
0.368, 1.165e-6
0.372, 1.130e-6
0.376, 1.201e-6
0.380, 1.213e-6
0.384, 1.201e-6
0.388, 9.653e-7
0.392, 1.024e-6
0.396, 1.071e-6
0.400, 1.213e-6
0.404, 1.107e-6
0.408, 1.130e-6
0.412, 1.165e-6
0.416, 1.154e-6
0.420, 1.083e-6
0.424, 1.024e-6
0.428, 1.036e-6
0.432, 9.653e-7
0.436, 1.142e-6
0.440, 1.001e-6
0.444, 1.048e-6
0.448, 1.059e-6
0.452, 1.142e-6
0.456, 9.771e-7
0.460, 1.012e-6
0.464, 1.107e-6
0.468, 1.165e-6
0.472, 1.095e-6
0.476, 1.059e-6
0.480, 1.154e-6
0.484, 9.535e-7
0.488, 1.165e-6
0.492, 1.154e-6
0.496, 1.001e-6
0.500, 1.142e-6
0.504, 1.036e-6
0.508, 1.118e-6
0.512, 1.001e-6
0.516, 8.947e-7
0.520, 1.083e-6
0.524, 1.059e-6
0.528, 1.024e-6
0.532, 1.083e-6
0.536, 1.012e-6
0.540, 1.118e-6
0.544, 9.653e-7
0.548, 1.036e-6
0.552, 1.036e-6
0.556, 1.107e-6
0.560, 1.142e-6
0.564, 1.165e-6
0.568, 1.107e-6
0.572, 1.295e-6
0.576, 1.236e-6
0.580, 1.177e-6
0.584, 1.201e-6
0.588, 1.330e-6
0.592, 1.330e-6
0.596, 1.389e-6
0.600, 1.495e-6
0.604, 1.554e-6
0.608, 1.636e-6
0.612, 1.660e-6
0.616, 1.907e-6
0.620, 2.025e-6
0.624, 2.237e-6
0.628, 2.354e-6
0.632, 2.543e-6
0.636, 3.002e-6
0.640, 3.461e-6
0.644, 3.602e-6
0.648, 4.108e-6
0.652, 4.697e-6
0.656, 5.427e-6
0.660, 6.192e-6
0.664, 6.781e-6
0.668, 7.452e-6
0.672, 8.158e-6
0.676, 8.652e-6
0.680, 9.253e-6
0.684, 9.653e-6
0.688, 9.830e-6
0.692, 1.014e-5
0.696, 1.018e-5
0.700, 1.045e-5
0.704, 1.028e-5
0.708, 1.029e-5
0.712, 1.027e-5
0.716, 1.021e-5
0.720, 9.924e-6
0.724, 9.841e-6
0.728, 9.547e-6
0.732, 9.524e-6
0.736, 9.323e-6
0.740, 8.982e-6
0.744, 8.888e-6
0.748, 8.605e-6
0.752, 8.464e-6
0.756, 8.170e-6
0.760, 7.946e-6
0.764, 7.675e-6
0.768, 7.616e-6
0.772, 7.346e-6
0.776, 7.440e-6
0.780, 7.287e-6
0.784, 7.110e-6
0.788, 7.028e-6
0.792, 7.016e-6
0.796, 7.028e-6
0.800, 6.734e-6
0.804, 6.769e-6
0.808, 6.851e-6
0.812, 6.698e-6
0.816, 6.698e-6
0.820, 6.510e-6
0.824, 6.369e-6
0.828, 6.380e-6
0.832, 6.274e-6
0.836, 6.204e-6
0.840, 6.263e-6
0.844, 6.263e-6
0.848, 6.204e-6
0.852, 6.004e-6
0.856, 6.145e-6
0.860, 6.074e-6
0.864, 6.004e-6
0.868, 5.980e-6
0.872, 5.851e-6
0.876, 5.815e-6
0.880, 5.780e-6
0.884, 5.698e-6
0.888, 5.651e-6
0.892, 5.568e-6
0.896, 5.462e-6
0.900, 5.180e-6
0.904, 5.368e-6
0.908, 5.450e-6
0.912, 5.321e-6
0.916, 5.321e-6
0.920, 5.262e-6
0.924, 5.074e-6
0.928, 5.180e-6
0.932, 5.050e-6
0.936, 5.038e-6
0.940, 4.932e-6
0.944, 5.097e-6
0.948, 4.838e-6
0.952, 4.779e-6
0.956, 4.815e-6
0.960, 4.921e-6
0.964, 4.815e-6
0.968, 4.744e-6
0.972, 4.803e-6
0.976, 4.626e-6
0.980, 4.885e-6
0.984, 4.626e-6
0.988, 4.662e-6
0.992, 4.603e-6
0.996, 4.485e-6
1.000, 4.603e-6
