July 21, 2025   19:26:13
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.156V
ip = 5.321e-7A
Ap = 8.615e-8VA

Ep = 0.776V
ip = 4.677e-5A
Ap = 7.191e-6VA

Potential/V, Current/A

0.004, 5.874e-6
0.008, 5.403e-6
0.012, 5.239e-6
0.016, 5.027e-6
0.020, 5.050e-6
0.024, 4.791e-6
0.028, 4.756e-6
0.032, 4.532e-6
0.036, 4.603e-6
0.040, 4.309e-6
0.044, 4.379e-6
0.048, 4.226e-6
0.052, 4.214e-6
0.056, 4.014e-6
0.060, 4.191e-6
0.064, 3.979e-6
0.068, 3.814e-6
0.072, 3.920e-6
0.076, 3.991e-6
0.080, 3.732e-6
0.084, 3.967e-6
0.088, 3.708e-6
0.092, 3.861e-6
0.096, 3.908e-6
0.100, 3.802e-6
0.104, 3.720e-6
0.108, 3.732e-6
0.112, 3.767e-6
0.116, 3.638e-6
0.120, 3.614e-6
0.124, 3.779e-6
0.128, 3.685e-6
0.132, 3.696e-6
0.136, 3.661e-6
0.140, 3.732e-6
0.144, 3.732e-6
0.148, 3.743e-6
0.152, 3.567e-6
0.156, 3.932e-6
0.160, 3.908e-6
0.164, 3.838e-6
0.168, 3.861e-6
0.172, 3.802e-6
0.176, 3.802e-6
0.180, 3.708e-6
0.184, 3.732e-6
0.188, 3.743e-6
0.192, 3.743e-6
0.196, 3.661e-6
0.200, 3.579e-6
0.204, 3.685e-6
0.208, 3.767e-6
0.212, 3.649e-6
0.216, 3.567e-6
0.220, 3.579e-6
0.224, 3.614e-6
0.228, 3.473e-6
0.232, 3.520e-6
0.236, 3.390e-6
0.240, 3.532e-6
0.244, 3.284e-6
0.248, 3.296e-6
0.252, 3.237e-6
0.256, 3.237e-6
0.260, 3.084e-6
0.264, 3.049e-6
0.268, 3.155e-6
0.272, 3.084e-6
0.276, 2.837e-6
0.280, 3.014e-6
0.284, 2.943e-6
0.288, 2.919e-6
0.292, 2.837e-6
0.296, 2.790e-6
0.300, 2.967e-6
0.304, 2.743e-6
0.308, 2.672e-6
0.312, 2.531e-6
0.316, 2.696e-6
0.320, 2.543e-6
0.324, 2.484e-6
0.328, 2.472e-6
0.332, 2.484e-6
0.336, 2.566e-6
0.340, 2.460e-6
0.344, 2.496e-6
0.348, 2.425e-6
0.352, 2.319e-6
0.356, 2.095e-6
0.360, 2.142e-6
0.364, 2.119e-6
0.368, 2.284e-6
0.372, 2.190e-6
0.376, 2.248e-6
0.380, 2.284e-6
0.384, 2.225e-6
0.388, 2.154e-6
0.392, 2.366e-6
0.396, 2.225e-6
0.400, 2.048e-6
0.404, 2.072e-6
0.408, 2.178e-6
0.412, 2.072e-6
0.416, 1.942e-6
0.420, 1.966e-6
0.424, 2.072e-6
0.428, 2.107e-6
0.432, 2.060e-6
0.436, 1.836e-6
0.440, 1.895e-6
0.444, 2.025e-6
0.448, 2.072e-6
0.452, 1.825e-6
0.456, 1.813e-6
0.460, 2.037e-6
0.464, 2.001e-6
0.468, 1.860e-6
0.472, 1.742e-6
0.476, 1.872e-6
0.480, 1.954e-6
0.484, 2.025e-6
0.488, 1.789e-6
0.492, 1.825e-6
0.496, 1.895e-6
0.500, 1.942e-6
