July 21, 2025   18:23:27
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:

Potential/V, Current/A

0.004, 1.480e-5
0.008, 1.349e-5
0.012, 1.268e-5
0.016, 1.196e-5
0.020, 1.151e-5
0.024, 1.122e-5
0.028, 1.084e-5
0.032, 1.059e-5
0.036, 1.023e-5
0.040, 1.012e-5
0.044, 9.830e-6
0.048, 9.429e-6
0.052, 9.253e-6
0.056, 9.006e-6
0.060, 8.864e-6
0.064, 8.594e-6
0.068, 8.370e-6
0.072, 8.123e-6
0.076, 7.970e-6
0.080, 7.887e-6
0.084, 7.581e-6
0.088, 7.511e-6
0.092, 7.334e-6
0.096, 7.193e-6
0.100, 7.051e-6
0.104, 6.898e-6
0.108, 6.816e-6
0.112, 6.757e-6
0.116, 6.439e-6
0.120, 6.569e-6
0.124, 6.345e-6
0.128, 6.239e-6
0.132, 5.992e-6
0.136, 6.063e-6
0.140, 5.910e-6
0.144, 5.874e-6
0.148, 5.862e-6
0.152, 5.721e-6
0.156, 5.698e-6
0.160, 5.627e-6
0.164, 5.521e-6
0.168, 5.592e-6
0.172, 5.439e-6
0.176, 5.450e-6
0.180, 5.286e-6
0.184, 5.097e-6
0.188, 5.239e-6
0.192, 5.203e-6
0.196, 4.991e-6
0.200, 4.980e-6
0.204, 5.038e-6
0.208, 4.944e-6
0.212, 4.944e-6
0.216, 4.791e-6
0.220, 4.732e-6
0.224, 4.756e-6
0.228, 4.603e-6
0.232, 4.579e-6
0.236, 4.497e-6
0.240, 4.520e-6
0.244, 4.520e-6
0.248, 4.509e-6
0.252, 4.391e-6
0.256, 4.261e-6
0.260, 4.332e-6
0.264, 4.485e-6
0.268, 4.438e-6
0.272, 4.226e-6
0.276, 4.203e-6
0.280, 4.061e-6
0.284, 4.214e-6
0.288, 4.132e-6
0.292, 4.050e-6
0.296, 4.026e-6
0.300, 3.967e-6
0.304, 3.908e-6
0.308, 4.026e-6
0.312, 3.908e-6
0.316, 3.908e-6
0.320, 3.779e-6
0.324, 3.767e-6
0.328, 3.908e-6
0.332, 3.920e-6
0.336, 3.743e-6
0.340, 3.955e-6
0.344, 3.802e-6
0.348, 3.849e-6
0.352, 3.767e-6
0.356, 3.779e-6
0.360, 3.908e-6
0.364, 4.108e-6
0.368, 4.085e-6
0.372, 4.144e-6
0.376, 4.085e-6
0.380, 4.332e-6
0.384, 4.438e-6
0.388, 4.497e-6
0.392, 4.803e-6
0.396, 5.038e-6
0.400, 5.474e-6
0.404, 5.862e-6
0.408, 6.204e-6
0.412, 6.804e-6
0.416, 7.640e-6
0.420, 8.582e-6
0.424, 9.700e-6
0.428, 1.148e-5
0.432, 1.361e-5
0.436, 1.643e-5
0.440, 1.965e-5
0.444, 2.344e-5
0.448, 2.759e-5
0.452, 3.183e-5
0.456, 3.585e-5
0.460, 3.967e-5
0.464, 4.287e-5
0.468, 4.539e-5
0.472, 4.759e-5
0.476, 4.931e-5
0.480, 5.028e-5
0.484, 5.108e-5
0.488, 5.130e-5
0.492, 5.176e-5
0.496, 5.228e-5
0.500, 5.287e-5
0.504, 5.306e-5
0.508, 5.353e-5
0.512, 5.364e-5
0.516, 5.364e-5
0.520, 5.407e-5
0.524, 5.487e-5
0.528, 5.550e-5
0.532, 5.646e-5
0.536, 5.749e-5
0.540, 5.844e-5
0.544, 5.941e-5
0.548, 6.030e-5
0.552, 6.107e-5
0.556, 6.176e-5
0.560, 6.225e-5
0.564, 6.256e-5
0.568, 6.270e-5
0.572, 6.265e-5
0.576, 6.247e-5
0.580, 6.223e-5
0.584, 6.179e-5
0.588, 6.119e-5
0.592, 6.044e-5
0.596, 5.961e-5
0.600, 5.873e-5
0.604, 5.780e-5
0.608, 5.662e-5
0.612, 5.532e-5
0.616, 5.386e-5
0.620, 5.255e-5
