July 22, 2025   17:48:38
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.208V
ip = 3.070e-6A
Ap = 5.383e-7VA

Ep = 0.676V
ip = 1.445e-4A
Ap = 1.320e-5VA

Potential/V, Current/A

0.004, 1.508e-5
0.008, 1.366e-5
0.012, 1.290e-5
0.016, 1.220e-5
0.020, 1.196e-5
0.024, 1.162e-5
0.028, 1.123e-5
0.032, 1.081e-5
0.036, 1.061e-5
0.040, 1.035e-5
0.044, 1.050e-5
0.048, 1.027e-5
0.052, 1.039e-5
0.056, 1.028e-5
0.060, 1.056e-5
0.064, 1.054e-5
0.068, 1.058e-5
0.072, 1.059e-5
0.076, 1.081e-5
0.080, 1.065e-5
0.084, 1.087e-5
0.088, 1.068e-5
0.092, 1.092e-5
0.096, 1.082e-5
0.100, 1.081e-5
0.104, 1.084e-5
0.108, 1.115e-5
0.112, 1.108e-5
0.116, 1.098e-5
0.120, 1.103e-5
0.124, 1.134e-5
0.128, 1.134e-5
0.132, 1.132e-5
0.136, 1.144e-5
0.140, 1.157e-5
0.144, 1.169e-5
0.148, 1.164e-5
0.152, 1.161e-5
0.156, 1.192e-5
0.160, 1.205e-5
0.164, 1.201e-5
0.168, 1.189e-5
0.172, 1.222e-5
0.176, 1.230e-5
0.180, 1.233e-5
0.184, 1.223e-5
0.188, 1.231e-5
0.192, 1.227e-5
0.196, 1.236e-5
0.200, 1.230e-5
0.204, 1.233e-5
0.208, 1.243e-5
0.212, 1.230e-5
0.216, 1.221e-5
0.220, 1.224e-5
0.224, 1.220e-5
0.228, 1.213e-5
0.232, 1.218e-5
0.236, 1.208e-5
0.240, 1.201e-5
0.244, 1.183e-5
0.248, 1.200e-5
0.252, 1.183e-5
0.256, 1.169e-5
0.260, 1.152e-5
0.264, 1.150e-5
0.268, 1.137e-5
0.272, 1.134e-5
0.276, 1.114e-5
0.280, 1.102e-5
0.284, 1.095e-5
0.288, 1.078e-5
0.292, 1.055e-5
0.296, 1.048e-5
0.300, 1.045e-5
0.304, 1.017e-5
0.308, 1.022e-5
0.312, 1.003e-5
0.316, 9.936e-6
0.320, 9.759e-6
0.324, 9.618e-6
0.328, 9.559e-6
0.332, 9.406e-6
0.336, 9.288e-6
0.340, 9.276e-6
0.344, 9.017e-6
0.348, 9.041e-6
0.352, 9.006e-6
0.356, 8.758e-6
0.360, 8.723e-6
0.364, 8.747e-6
0.368, 8.711e-6
0.372, 8.488e-6
0.376, 8.452e-6
0.380, 8.452e-6
0.384, 8.382e-6
0.388, 8.170e-6
0.392, 8.193e-6
0.396, 8.170e-6
0.400, 8.099e-6
0.404, 8.052e-6
0.408, 7.899e-6
0.412, 7.852e-6
0.416, 7.746e-6
0.420, 7.664e-6
0.424, 7.605e-6
0.428, 7.569e-6
0.432, 7.322e-6
0.436, 7.357e-6
0.440, 7.228e-6
0.444, 7.216e-6
0.448, 7.098e-6
0.452, 7.110e-6
0.456, 7.040e-6
0.460, 7.004e-6
0.464, 6.910e-6
0.468, 6.934e-6
0.472, 6.663e-6
0.476, 6.722e-6
0.480, 6.816e-6
0.484, 6.722e-6
0.488, 6.639e-6
0.492, 6.545e-6
0.496, 6.439e-6
0.500, 6.451e-6
0.504, 6.404e-6
0.508, 6.192e-6
0.512, 6.239e-6
0.516, 6.169e-6
0.520, 6.145e-6
0.524, 6.169e-6
0.528, 6.133e-6
0.532, 6.263e-6
0.536, 6.063e-6
0.540, 6.063e-6
0.544, 6.169e-6
0.548, 6.110e-6
0.552, 6.192e-6
0.556, 6.310e-6
0.560, 6.628e-6
0.564, 6.851e-6
0.568, 7.075e-6
0.572, 7.616e-6
0.576, 7.781e-6
0.580, 8.346e-6
0.584, 9.053e-6
0.588, 9.794e-6
0.592, 1.092e-5
0.596, 1.220e-5
0.600, 1.377e-5
0.604, 1.553e-5
0.608, 1.806e-5
0.612, 2.071e-5
0.616, 2.444e-5
0.620, 2.895e-5
0.624, 3.461e-5
0.628, 4.214e-5
0.632, 5.155e-5
0.636, 6.355e-5
0.640, 7.850e-5
0.644, 9.568e-5
0.648, 1.146e-4
0.652, 1.341e-4
0.656, 1.541e-4
0.660, 1.724e-4
0.664, 1.877e-4
0.668, 1.981e-4
0.672, 2.053e-4
0.676, 2.077e-4
0.680, 2.057e-4
0.684, 2.013e-4
0.688, 1.969e-4
0.692, 1.937e-4
0.696, 1.901e-4
0.700, 1.867e-4
0.704, 1.833e-4
0.708, 1.798e-4
0.712, 1.763e-4
0.716, 1.734e-4
0.720, 1.706e-4
0.724, 1.680e-4
0.728, 1.659e-4
0.732, 1.639e-4
0.736, 1.619e-4
0.740, 1.609e-4
0.744, 1.598e-4
0.748, 1.585e-4
0.752, 1.571e-4
0.756, 1.554e-4
0.760, 1.536e-4
0.764, 1.516e-4
0.768, 1.492e-4
0.772, 1.466e-4
0.776, 1.440e-4
0.780, 1.409e-4
0.784, 1.379e-4
0.788, 1.351e-4
0.792, 1.324e-4
0.796, 1.303e-4
0.800, 1.283e-4
0.804, 1.266e-4
0.808, 1.255e-4
0.812, 1.246e-4
0.816, 1.240e-4
0.820, 1.239e-4
0.824, 1.238e-4
0.828, 1.242e-4
0.832, 1.251e-4
0.836, 1.259e-4
0.840, 1.269e-4
0.844, 1.284e-4
0.848, 1.298e-4
0.852, 1.312e-4
0.856, 1.329e-4
0.860, 1.345e-4
0.864, 1.358e-4
0.868, 1.370e-4
0.872, 1.382e-4
0.876, 1.387e-4
0.880, 1.387e-4
0.884, 1.384e-4
0.888, 1.374e-4
0.892, 1.362e-4
0.896, 1.343e-4
0.900, 1.319e-4
0.904, 1.293e-4
0.908, 1.264e-4
0.912, 1.231e-4
0.916, 1.196e-4
0.920, 1.158e-4
0.924, 1.121e-4
0.928, 1.082e-4
0.932, 1.042e-4
0.936, 1.004e-4
0.940, 9.684e-5
0.944, 9.326e-5
0.948, 8.969e-5
0.952, 8.639e-5
0.956, 8.340e-5
0.960, 8.048e-5
0.964, 7.759e-5
0.968, 7.480e-5
0.972, 7.232e-5
0.976, 6.965e-5
0.980, 6.717e-5
0.984, 6.457e-5
0.988, 6.199e-5
0.992, 5.953e-5
0.996, 5.700e-5
1.000, 5.459e-5
