July 12, 2025   21:46:53
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.172V
ip = 1.874e-6A
Ap = 2.516e-7VA

Ep = 0.664V
ip = 4.282e-5A
Ap = 2.129e-6VA

Potential/V, Current/A

0.004, 8.229e-6
0.008, 7.828e-6
0.012, 7.911e-6
0.016, 7.393e-6
0.020, 6.945e-6
0.024, 6.404e-6
0.028, 6.192e-6
0.032, 6.063e-6
0.036, 5.862e-6
0.040, 5.686e-6
0.044, 5.533e-6
0.048, 5.486e-6
0.052, 5.450e-6
0.056, 5.239e-6
0.060, 5.274e-6
0.064, 5.215e-6
0.068, 5.133e-6
0.072, 5.368e-6
0.076, 5.356e-6
0.080, 5.262e-6
0.084, 5.439e-6
0.088, 5.439e-6
0.092, 5.450e-6
0.096, 5.545e-6
0.100, 5.651e-6
0.104, 5.698e-6
0.108, 5.768e-6
0.112, 5.839e-6
0.116, 5.874e-6
0.120, 5.992e-6
0.124, 5.980e-6
0.128, 6.063e-6
0.132, 6.110e-6
0.136, 6.216e-6
0.140, 6.486e-6
0.144, 6.451e-6
0.148, 6.545e-6
0.152, 6.557e-6
0.156, 6.734e-6
0.160, 6.616e-6
0.164, 6.628e-6
0.168, 6.781e-6
0.172, 6.981e-6
0.176, 6.910e-6
0.180, 6.934e-6
0.184, 6.722e-6
0.188, 6.863e-6
0.192, 6.875e-6
0.196, 6.710e-6
0.200, 6.863e-6
0.204, 6.863e-6
0.208, 6.792e-6
0.212, 6.616e-6
0.216, 6.722e-6
0.220, 6.663e-6
0.224, 6.557e-6
0.228, 6.533e-6
0.232, 6.392e-6
0.236, 6.463e-6
0.240, 6.357e-6
0.244, 6.333e-6
0.248, 6.169e-6
0.252, 6.145e-6
0.256, 6.039e-6
0.260, 5.992e-6
0.264, 5.886e-6
0.268, 5.898e-6
0.272, 5.862e-6
0.276, 5.733e-6
0.280, 5.651e-6
0.284, 5.580e-6
0.288, 5.580e-6
0.292, 5.439e-6
0.296, 5.450e-6
0.300, 5.403e-6
0.304, 5.403e-6
0.308, 5.239e-6
0.312, 5.239e-6
0.316, 5.262e-6
0.320, 5.085e-6
0.324, 5.203e-6
0.328, 5.097e-6
