July 12, 2025   20:38:08
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.700V
ip = 1.606e-5A
Ap = 6.533e-7VA

Potential/V, Current/A

0.004, 7.040e-6
0.008, 6.840e-6
0.012, 6.239e-6
0.016, 5.839e-6
0.020, 5.356e-6
0.024, 5.321e-6
0.028, 5.027e-6
0.032, 4.932e-6
0.036, 4.721e-6
0.040, 4.685e-6
0.044, 4.520e-6
0.048, 4.603e-6
0.052, 4.450e-6
0.056, 4.379e-6
0.060, 4.603e-6
0.064, 4.591e-6
0.068, 4.414e-6
0.072, 4.497e-6
0.076, 4.473e-6
0.080, 4.532e-6
0.084, 4.473e-6
0.088, 4.391e-6
0.092, 4.485e-6
0.096, 4.497e-6
0.100, 4.391e-6
0.104, 4.356e-6
0.108, 4.332e-6
0.112, 4.520e-6
0.116, 4.520e-6
0.120, 4.450e-6
0.124, 4.485e-6
0.128, 4.462e-6
0.132, 4.497e-6
0.136, 4.414e-6
0.140, 4.391e-6
0.144, 4.544e-6
0.148, 4.497e-6
0.152, 4.450e-6
0.156, 4.403e-6
0.160, 4.556e-6
0.164, 4.344e-6
0.168, 4.462e-6
0.172, 4.438e-6
0.176, 4.497e-6
0.180, 4.367e-6
0.184, 4.356e-6
0.188, 4.356e-6
0.192, 4.273e-6
0.196, 4.226e-6
0.200, 4.203e-6
0.204, 4.191e-6
0.208, 4.191e-6
0.212, 4.073e-6
0.216, 3.885e-6
0.220, 3.849e-6
0.224, 3.920e-6
0.228, 3.743e-6
0.232, 3.755e-6
0.236, 3.767e-6
0.240, 3.720e-6
0.244, 3.473e-6
0.248, 3.402e-6
0.252, 3.532e-6
0.256, 3.237e-6
0.260, 3.226e-6
0.264, 3.402e-6
0.268, 3.261e-6
0.272, 2.990e-6
0.276, 3.167e-6
0.280, 3.096e-6
0.284, 2.943e-6
0.288, 2.790e-6
0.292, 2.884e-6
0.296, 2.814e-6
0.300, 2.849e-6
0.304, 2.660e-6
0.308, 2.672e-6
0.312, 2.625e-6
0.316, 2.602e-6
0.320, 2.578e-6
0.324, 2.319e-6
0.328, 2.284e-6
0.332, 2.390e-6
0.336, 2.225e-6
0.340, 2.237e-6
0.344, 2.213e-6
0.348, 2.142e-6
0.352, 2.201e-6
0.356, 2.154e-6
0.360, 2.178e-6
0.364, 2.131e-6
0.368, 2.095e-6
0.372, 2.190e-6
0.376, 2.025e-6
0.380, 1.942e-6
0.384, 1.978e-6
0.388, 1.825e-6
0.392, 1.978e-6
0.396, 2.013e-6
0.400, 1.754e-6
0.404, 1.895e-6
0.408, 1.778e-6
0.412, 1.836e-6
0.416, 1.683e-6
0.420, 1.919e-6
0.424, 1.789e-6
0.428, 1.754e-6
0.432, 1.695e-6
0.436, 1.683e-6
0.440, 1.401e-6
0.444, 1.742e-6
0.448, 1.672e-6
0.452, 1.589e-6
0.456, 1.436e-6
