July 15, 2025   14:41:59
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.588V
ip = 2.224e-5A
Ap = 8.682e-7VA

Potential/V, Current/A

0.004, 1.931e-5
0.008, 1.839e-5
0.012, 1.730e-5
0.016, 1.597e-5
0.020, 1.480e-5
0.024, 1.380e-5
0.028, 1.338e-5
0.032, 1.283e-5
0.036, 1.238e-5
0.040, 1.189e-5
0.044, 1.164e-5
0.048, 1.155e-5
0.052, 1.131e-5
0.056, 1.092e-5
0.060, 1.098e-5
0.064, 1.077e-5
0.068, 1.065e-5
0.072, 1.051e-5
0.076, 1.043e-5
0.080, 1.035e-5
0.084, 1.010e-5
0.088, 9.983e-6
0.092, 9.830e-6
0.096, 9.629e-6
0.100, 9.488e-6
0.104, 9.394e-6
0.108, 9.217e-6
0.112, 9.182e-6
0.116, 8.994e-6
0.120, 8.876e-6
0.124, 8.699e-6
0.128, 8.723e-6
0.132, 8.429e-6
0.136, 8.393e-6
0.140, 8.240e-6
0.144, 7.911e-6
0.148, 7.675e-6
0.152, 7.781e-6
0.156, 7.640e-6
0.160, 7.687e-6
0.164, 7.357e-6
0.168, 7.263e-6
0.172, 7.146e-6
0.176, 7.087e-6
0.180, 6.922e-6
0.184, 6.840e-6
0.188, 6.804e-6
0.192, 6.769e-6
0.196, 6.557e-6
0.200, 6.380e-6
0.204, 6.333e-6
0.208, 6.251e-6
0.212, 6.192e-6
0.216, 6.039e-6
0.220, 6.004e-6
0.224, 6.004e-6
0.228, 5.910e-6
0.232, 5.721e-6
0.236, 5.792e-6
0.240, 5.462e-6
0.244, 5.427e-6
0.248, 5.556e-6
0.252, 5.521e-6
0.256, 5.239e-6
0.260, 5.085e-6
0.264, 5.180e-6
0.268, 5.250e-6
0.272, 5.097e-6
0.276, 5.027e-6
0.280, 5.003e-6
0.284, 5.027e-6
0.288, 4.909e-6
0.292, 4.968e-6
0.296, 4.921e-6
0.300, 4.768e-6
0.304, 4.932e-6
0.308, 4.791e-6
0.312, 4.591e-6
0.316, 4.779e-6
0.320, 4.744e-6
0.324, 4.673e-6
0.328, 4.532e-6
0.332, 4.685e-6
0.336, 4.497e-6
0.340, 4.603e-6
0.344, 4.438e-6
0.348, 4.485e-6
0.352, 4.603e-6
0.356, 4.473e-6
0.360, 4.462e-6
0.364, 4.532e-6
0.368, 4.568e-6
0.372, 4.356e-6
0.376, 4.261e-6
0.380, 4.379e-6
0.384, 4.414e-6
0.388, 4.214e-6
0.392, 4.309e-6
0.396, 4.273e-6
0.400, 4.285e-6
0.404, 4.250e-6
0.408, 4.273e-6
0.412, 4.156e-6
0.416, 4.226e-6
0.420, 4.179e-6
0.424, 4.214e-6
0.428, 4.250e-6
0.432, 4.191e-6
0.436, 4.097e-6
0.440, 4.038e-6
0.444, 4.144e-6
0.448, 4.191e-6
0.452, 4.191e-6
0.456, 4.320e-6
0.460, 4.320e-6
0.464, 4.367e-6
0.468, 4.344e-6
0.472, 4.556e-6
0.476, 4.697e-6
0.480, 4.803e-6
0.484, 5.003e-6
0.488, 5.109e-6
0.492, 5.333e-6
0.496, 5.533e-6
0.500, 5.768e-6
0.504, 6.051e-6
0.508, 6.628e-6
0.512, 7.146e-6
0.516, 7.628e-6
0.520, 8.417e-6
0.524, 9.465e-6
0.528, 1.070e-5
0.532, 1.172e-5
0.536, 1.354e-5
0.540, 1.564e-5
0.544, 1.820e-5
0.548, 2.086e-5
0.552, 2.429e-5
0.556, 2.841e-5
0.560, 3.303e-5
0.564, 3.834e-5
0.568, 4.380e-5
0.572, 4.944e-5
0.576, 5.503e-5
0.580, 5.930e-5
0.584, 6.243e-5
0.588, 6.403e-5
0.592, 6.383e-5
0.596, 6.253e-5
0.600, 6.099e-5
0.604, 5.937e-5
0.608, 5.789e-5
0.612, 5.652e-5
0.616, 5.593e-5
0.620, 5.547e-5
0.624, 5.539e-5
0.628, 5.539e-5
0.632, 5.547e-5
0.636, 5.586e-5
0.640, 5.636e-5
0.644, 5.678e-5
0.648, 5.736e-5
0.652, 5.812e-5
0.656, 5.867e-5
0.660, 5.926e-5
0.664, 5.990e-5
0.668, 6.051e-5
0.672, 6.100e-5
0.676, 6.157e-5
0.680, 6.200e-5
0.684, 6.267e-5
0.688, 6.317e-5
0.692, 6.375e-5
0.696, 6.420e-5
0.700, 6.471e-5
0.704, 6.532e-5
0.708, 6.564e-5
0.712, 6.611e-5
0.716, 6.654e-5
0.720, 6.684e-5
0.724, 6.716e-5
0.728, 6.701e-5
0.732, 6.705e-5
0.736, 6.694e-5
0.740, 6.682e-5
0.744, 6.655e-5
0.748, 6.611e-5
0.752, 6.551e-5
0.756, 6.482e-5
0.760, 6.416e-5
0.764, 6.334e-5
0.768, 6.226e-5
0.772, 6.107e-5
0.776, 6.003e-5
0.780, 5.868e-5
0.784, 5.713e-5
0.788, 5.567e-5
0.792, 5.388e-5
0.796, 5.229e-5
0.800, 5.028e-5
0.804, 4.847e-5
0.808, 4.655e-5
0.812, 4.477e-5
0.816, 4.281e-5
0.820, 4.097e-5
0.824, 3.902e-5
0.828, 3.726e-5
0.832, 3.554e-5
0.836, 3.397e-5
0.840, 3.254e-5
0.844, 3.110e-5
0.848, 2.972e-5
0.852, 2.831e-5
0.856, 2.722e-5
0.860, 2.597e-5
0.864, 2.497e-5
0.868, 2.387e-5
0.872, 2.296e-5
0.876, 2.223e-5
0.880, 2.150e-5
0.884, 2.098e-5
0.888, 2.014e-5
0.892, 1.951e-5
0.896, 1.914e-5
0.900, 1.836e-5
0.904, 1.808e-5
0.908, 1.767e-5
0.912, 1.713e-5
0.916, 1.679e-5
0.920, 1.637e-5
0.924, 1.596e-5
0.928, 1.583e-5
0.932, 1.557e-5
0.936, 1.539e-5
0.940, 1.515e-5
0.944, 1.508e-5
0.948, 1.481e-5
0.952, 1.457e-5
0.956, 1.463e-5
0.960, 1.441e-5
0.964, 1.407e-5
0.968, 1.406e-5
0.972, 1.428e-5
0.976, 1.420e-5
0.980, 1.411e-5
0.984, 1.399e-5
0.988, 1.413e-5
0.992, 1.422e-5
0.996, 1.410e-5
1.000, 1.408e-5
