July 15, 2025   13:28:15
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:

Potential/V, Current/A

0.004, 1.597e-5
0.008, 1.516e-5
0.012, 1.421e-5
0.016, 1.293e-5
0.020, 1.203e-5
0.024, 1.134e-5
0.028, 1.077e-5
0.032, 1.030e-5
0.036, 1.003e-5
0.040, 9.818e-6
0.044, 9.653e-6
0.048, 9.629e-6
0.052, 9.359e-6
0.056, 9.253e-6
0.060, 9.182e-6
0.064, 9.017e-6
0.068, 8.829e-6
0.072, 8.758e-6
0.076, 8.570e-6
0.080, 8.570e-6
0.084, 8.299e-6
0.088, 8.134e-6
0.092, 8.052e-6
0.096, 7.946e-6
0.100, 7.734e-6
0.104, 7.463e-6
0.108, 7.581e-6
0.112, 7.334e-6
0.116, 7.346e-6
0.120, 7.028e-6
0.124, 7.016e-6
0.128, 6.945e-6
0.132, 6.710e-6
0.136, 6.686e-6
0.140, 6.686e-6
0.144, 6.404e-6
0.148, 6.416e-6
0.152, 6.345e-6
0.156, 6.192e-6
0.160, 6.169e-6
0.164, 6.051e-6
0.168, 5.968e-6
0.172, 5.862e-6
0.176, 5.686e-6
0.180, 5.674e-6
0.184, 5.415e-6
0.188, 5.415e-6
0.192, 5.498e-6
0.196, 5.321e-6
0.200, 5.380e-6
0.204, 5.215e-6
0.208, 5.144e-6
0.212, 4.980e-6
0.216, 5.003e-6
0.220, 4.885e-6
0.224, 4.768e-6
0.228, 4.768e-6
0.232, 4.626e-6
0.236, 4.568e-6
0.240, 4.603e-6
0.244, 4.391e-6
0.248, 4.285e-6
0.252, 4.403e-6
0.256, 4.250e-6
0.260, 4.250e-6
0.264, 4.214e-6
0.268, 4.332e-6
0.272, 4.120e-6
0.276, 4.108e-6
0.280, 4.038e-6
0.284, 4.014e-6
0.288, 3.944e-6
0.292, 3.814e-6
0.296, 3.826e-6
0.300, 3.955e-6
0.304, 3.908e-6
0.308, 3.685e-6
0.312, 3.743e-6
0.316, 3.779e-6
0.320, 3.755e-6
0.324, 3.567e-6
0.328, 3.720e-6
0.332, 3.638e-6
0.336, 3.485e-6
0.340, 3.508e-6
0.344, 3.426e-6
0.348, 3.602e-6
0.352, 3.543e-6
0.356, 3.602e-6
0.360, 3.461e-6
0.364, 3.638e-6
0.368, 3.579e-6
0.372, 3.414e-6
0.376, 3.284e-6
0.380, 3.437e-6
0.384, 3.390e-6
0.388, 3.355e-6
0.392, 3.461e-6
0.396, 3.320e-6
0.400, 3.390e-6
0.404, 3.390e-6
0.408, 3.190e-6
0.412, 3.367e-6
0.416, 3.261e-6
0.420, 3.155e-6
0.424, 3.355e-6
0.428, 3.190e-6
0.432, 3.284e-6
0.436, 3.143e-6
0.440, 2.967e-6
0.444, 3.226e-6
0.448, 3.167e-6
0.452, 3.202e-6
0.456, 3.131e-6
0.460, 3.120e-6
0.464, 3.331e-6
0.468, 3.084e-6
0.472, 3.167e-6
0.476, 3.226e-6
0.480, 3.143e-6
0.484, 3.143e-6
0.488, 3.237e-6
0.492, 3.143e-6
0.496, 3.237e-6
0.500, 3.084e-6
0.504, 3.190e-6
0.508, 3.155e-6
0.512, 3.226e-6
0.516, 3.273e-6
0.520, 3.131e-6
0.524, 3.343e-6
0.528, 3.390e-6
0.532, 3.308e-6
0.536, 3.320e-6
0.540, 3.390e-6
0.544, 3.390e-6
0.548, 3.496e-6
0.552, 3.473e-6
0.556, 3.755e-6
0.560, 3.897e-6
0.564, 3.814e-6
0.568, 3.979e-6
0.572, 4.132e-6
0.576, 4.403e-6
0.580, 4.579e-6
0.584, 4.956e-6
0.588, 5.344e-6
0.592, 5.839e-6
0.596, 6.345e-6
0.600, 6.945e-6
0.604, 8.005e-6
0.608, 9.170e-6
0.612, 1.057e-5
0.616, 1.222e-5
0.620, 1.448e-5
