July 23, 2025   19:45:16
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.492V
ip = 3.358e-5A
Ap = 4.079e-6VA

Potential/V, Current/A

0.004, 1.322e-5
0.008, 1.215e-5
0.012, 1.143e-5
0.016, 1.065e-5
0.020, 1.005e-5
0.024, 9.618e-6
0.028, 9.217e-6
0.032, 8.676e-6
0.036, 8.558e-6
0.040, 8.252e-6
0.044, 8.134e-6
0.048, 8.017e-6
0.052, 7.852e-6
0.056, 7.522e-6
0.060, 7.558e-6
0.064, 7.440e-6
0.068, 7.016e-6
0.072, 6.969e-6
0.076, 6.981e-6
0.080, 6.757e-6
0.084, 6.651e-6
0.088, 6.533e-6
0.092, 6.475e-6
0.096, 6.322e-6
0.100, 6.180e-6
0.104, 6.227e-6
0.108, 5.886e-6
0.112, 5.921e-6
0.116, 5.745e-6
0.120, 5.627e-6
0.124, 5.486e-6
0.128, 5.533e-6
0.132, 5.297e-6
0.136, 5.227e-6
0.140, 5.297e-6
0.144, 5.085e-6
0.148, 5.109e-6
0.152, 5.050e-6
0.156, 5.062e-6
0.160, 4.874e-6
0.164, 4.768e-6
0.168, 4.862e-6
0.172, 4.685e-6
0.176, 4.697e-6
0.180, 4.791e-6
0.184, 4.626e-6
0.188, 4.579e-6
0.192, 4.579e-6
0.196, 4.403e-6
0.200, 4.356e-6
0.204, 4.379e-6
0.208, 4.426e-6
0.212, 4.273e-6
0.216, 4.273e-6
0.220, 4.156e-6
0.224, 4.285e-6
0.228, 4.156e-6
0.232, 4.108e-6
0.236, 4.097e-6
0.240, 4.026e-6
0.244, 4.144e-6
0.248, 3.979e-6
0.252, 3.967e-6
0.256, 3.885e-6
0.260, 3.838e-6
0.264, 3.802e-6
0.268, 3.908e-6
0.272, 3.849e-6
0.276, 3.826e-6
0.280, 3.673e-6
0.284, 3.849e-6
0.288, 3.873e-6
0.292, 3.791e-6
0.296, 3.590e-6
0.300, 3.696e-6
0.304, 3.626e-6
0.308, 3.567e-6
0.312, 3.614e-6
0.316, 3.532e-6
0.320, 3.567e-6
0.324, 3.414e-6
0.328, 3.426e-6
0.332, 3.520e-6
0.336, 3.461e-6
0.340, 3.331e-6
0.344, 3.390e-6
0.348, 3.414e-6
0.352, 3.449e-6
0.356, 3.379e-6
0.360, 3.414e-6
0.364, 3.461e-6
0.368, 3.532e-6
0.372, 3.579e-6
0.376, 3.649e-6
0.380, 3.720e-6
0.384, 3.767e-6
0.388, 3.967e-6
0.392, 4.203e-6
0.396, 4.367e-6
0.400, 4.556e-6
0.404, 4.815e-6
0.408, 5.356e-6
0.412, 5.839e-6
0.416, 6.416e-6
0.420, 7.028e-6
0.424, 7.970e-6
0.428, 9.182e-6
0.432, 1.050e-5
0.436, 1.216e-5
0.440, 1.394e-5
0.444, 1.661e-5
0.448, 1.932e-5
0.452, 2.223e-5
0.456, 2.556e-5
0.460, 2.925e-5
0.464, 3.271e-5
0.468, 3.621e-5
0.472, 3.917e-5
0.476, 4.156e-5
0.480, 4.341e-5
0.484, 4.469e-5
0.488, 4.519e-5
0.492, 4.532e-5
0.496, 4.504e-5
0.500, 4.446e-5
0.504, 4.378e-5
0.508, 4.317e-5
0.512, 4.227e-5
0.516, 4.140e-5
0.520, 4.083e-5
0.524, 4.034e-5
0.528, 3.988e-5
0.532, 3.961e-5
0.536, 3.922e-5
0.540, 3.889e-5
0.544, 3.858e-5
0.548, 3.832e-5
0.552, 3.804e-5
0.556, 3.752e-5
0.560, 3.709e-5
0.564, 3.633e-5
0.568, 3.575e-5
0.572, 3.516e-5
0.576, 3.448e-5
0.580, 3.363e-5
0.584, 3.288e-5
0.588, 3.218e-5
0.592, 3.137e-5
0.596, 3.064e-5
0.600, 2.976e-5
0.604, 2.914e-5
0.608, 2.856e-5
0.612, 2.790e-5
0.616, 2.733e-5
0.620, 2.672e-5
0.624, 2.624e-5
0.628, 2.577e-5
0.632, 2.532e-5
0.636, 2.498e-5
0.640, 2.451e-5
0.644, 2.423e-5
0.648, 2.394e-5
0.652, 2.374e-5
0.656, 2.341e-5
0.660, 2.311e-5
0.664, 2.286e-5
0.668, 2.267e-5
0.672, 2.240e-5
0.676, 2.199e-5
0.680, 2.188e-5
0.684, 2.165e-5
0.688, 2.134e-5
0.692, 2.100e-5
0.696, 2.062e-5
0.700, 2.052e-5
0.704, 2.017e-5
0.708, 1.965e-5
0.712, 1.935e-5
0.716, 1.918e-5
0.720, 1.881e-5
0.724, 1.845e-5
0.728, 1.796e-5
0.732, 1.765e-5
0.736, 1.725e-5
0.740, 1.689e-5
0.744, 1.657e-5
0.748, 1.627e-5
0.752, 1.601e-5
0.756, 1.549e-5
0.760, 1.509e-5
0.764, 1.499e-5
0.768, 1.469e-5
0.772, 1.426e-5
0.776, 1.415e-5
0.780, 1.397e-5
0.784, 1.376e-5
0.788, 1.349e-5
0.792, 1.334e-5
0.796, 1.301e-5
0.800, 1.276e-5
0.804, 1.253e-5
0.808, 1.236e-5
0.812, 1.225e-5
0.816, 1.213e-5
0.820, 1.195e-5
0.824, 1.170e-5
0.828, 1.168e-5
0.832, 1.143e-5
0.836, 1.147e-5
0.840, 1.116e-5
0.844, 1.123e-5
0.848, 1.115e-5
0.852, 1.103e-5
0.856, 1.094e-5
0.860, 1.091e-5
0.864, 1.076e-5
0.868, 1.069e-5
0.872, 1.067e-5
0.876, 1.070e-5
0.880, 1.065e-5
0.884, 1.077e-5
0.888, 1.069e-5
0.892, 1.062e-5
0.896, 1.070e-5
0.900, 1.065e-5
0.904, 1.070e-5
0.908, 1.068e-5
0.912, 1.076e-5
0.916, 1.070e-5
0.920, 1.083e-5
0.924, 1.092e-5
0.928, 1.090e-5
0.932, 1.085e-5
0.936, 1.085e-5
0.940, 1.095e-5
0.944, 1.102e-5
0.948, 1.097e-5
0.952, 1.111e-5
0.956, 1.102e-5
0.960, 1.092e-5
0.964, 1.103e-5
0.968, 1.101e-5
0.972, 1.100e-5
0.976, 1.101e-5
0.980, 1.117e-5
0.984, 1.110e-5
0.988, 1.117e-5
0.992, 1.117e-5
0.996, 1.123e-5
1.000, 1.117e-5
