July 23, 2025   20:14:16
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.512V
ip = 3.544e-5A
Ap = 4.361e-6VA

Potential/V, Current/A

0.004, 1.774e-5
0.008, 1.617e-5
0.012, 1.480e-5
0.016, 1.363e-5
0.020, 1.284e-5
0.024, 1.205e-5
0.028, 1.127e-5
0.032, 1.079e-5
0.036, 1.055e-5
0.040, 1.017e-5
0.044, 9.771e-6
0.048, 9.512e-6
0.052, 9.300e-6
0.056, 8.876e-6
0.060, 8.699e-6
0.064, 8.629e-6
0.068, 8.276e-6
0.072, 7.934e-6
0.076, 7.817e-6
0.080, 7.581e-6
0.084, 7.440e-6
0.088, 7.122e-6
0.092, 6.981e-6
0.096, 6.757e-6
0.100, 6.498e-6
0.104, 6.486e-6
0.108, 6.180e-6
0.112, 6.239e-6
0.116, 6.027e-6
0.120, 5.756e-6
0.124, 5.768e-6
0.128, 5.733e-6
0.132, 5.674e-6
0.136, 5.356e-6
0.140, 5.439e-6
0.144, 5.486e-6
0.148, 5.239e-6
0.152, 5.062e-6
0.156, 5.109e-6
0.160, 5.062e-6
0.164, 4.874e-6
0.168, 4.815e-6
0.172, 4.779e-6
0.176, 4.897e-6
0.180, 4.709e-6
0.184, 4.520e-6
0.188, 4.591e-6
0.192, 4.509e-6
0.196, 4.426e-6
0.200, 4.273e-6
0.204, 4.320e-6
0.208, 4.250e-6
0.212, 4.132e-6
0.216, 4.132e-6
0.220, 4.061e-6
0.224, 4.014e-6
0.228, 3.979e-6
0.232, 3.802e-6
0.236, 3.838e-6
0.240, 3.885e-6
0.244, 3.791e-6
0.248, 3.614e-6
0.252, 3.685e-6
0.256, 3.661e-6
0.260, 3.555e-6
0.264, 3.579e-6
0.268, 3.579e-6
0.272, 3.449e-6
0.276, 3.496e-6
0.280, 3.402e-6
0.284, 3.355e-6
0.288, 3.237e-6
0.292, 3.214e-6
0.296, 3.178e-6
0.300, 3.237e-6
0.304, 3.178e-6
0.308, 3.108e-6
0.312, 3.025e-6
0.316, 3.084e-6
0.320, 2.967e-6
0.324, 2.990e-6
0.328, 2.967e-6
0.332, 3.037e-6
0.336, 3.049e-6
0.340, 2.872e-6
0.344, 2.825e-6
0.348, 2.837e-6
0.352, 2.919e-6
0.356, 2.814e-6
0.360, 2.778e-6
0.364, 2.861e-6
0.368, 2.943e-6
0.372, 2.896e-6
0.376, 2.861e-6
0.380, 2.990e-6
0.384, 3.108e-6
0.388, 3.049e-6
0.392, 3.131e-6
0.396, 3.226e-6
0.400, 3.449e-6
0.404, 3.449e-6
0.408, 3.708e-6
0.412, 3.920e-6
0.416, 4.144e-6
0.420, 4.438e-6
0.424, 4.838e-6
0.428, 5.321e-6
0.432, 6.027e-6
0.436, 6.557e-6
0.440, 7.357e-6
0.444, 8.511e-6
0.448, 9.606e-6
0.452, 1.115e-5
0.456, 1.306e-5
0.460, 1.508e-5
0.464, 1.749e-5
0.468, 1.980e-5
0.472, 2.207e-5
0.476, 2.418e-5
0.480, 2.651e-5
0.484, 2.892e-5
0.488, 3.180e-5
0.492, 3.499e-5
0.496, 3.794e-5
0.500, 4.065e-5
0.504, 4.267e-5
0.508, 4.390e-5
0.512, 4.444e-5
0.516, 4.420e-5
0.520, 4.369e-5
0.524, 4.327e-5
0.528, 4.264e-5
0.532, 4.187e-5
0.536, 4.131e-5
0.540, 4.075e-5
