July 14, 2025   12:17:11
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.684V
ip = 1.816e-5A
Ap = 1.121e-6VA

Potential/V, Current/A

0.004, 8.888e-6
0.008, 8.146e-6
0.012, 7.569e-6
0.016, 7.299e-6
0.020, 7.028e-6
0.024, 6.887e-6
0.028, 6.698e-6
0.032, 6.557e-6
0.036, 6.463e-6
0.040, 6.298e-6
0.044, 6.345e-6
0.048, 6.015e-6
0.052, 5.898e-6
0.056, 5.792e-6
0.060, 5.804e-6
0.064, 5.592e-6
0.068, 5.415e-6
0.072, 5.498e-6
0.076, 5.486e-6
0.080, 5.297e-6
0.084, 5.274e-6
0.088, 5.262e-6
0.092, 5.262e-6
0.096, 5.144e-6
0.100, 5.144e-6
0.104, 5.050e-6
0.108, 5.074e-6
0.112, 5.015e-6
0.116, 4.897e-6
0.120, 4.885e-6
0.124, 4.803e-6
0.128, 4.744e-6
0.132, 4.756e-6
0.136, 4.579e-6
0.140, 4.709e-6
0.144, 4.685e-6
0.148, 4.662e-6
0.152, 4.438e-6
0.156, 4.450e-6
0.160, 4.462e-6
0.164, 4.332e-6
0.168, 4.309e-6
0.172, 4.344e-6
0.176, 4.285e-6
0.180, 4.238e-6
0.184, 4.108e-6
0.188, 4.050e-6
0.192, 4.085e-6
0.196, 3.873e-6
0.200, 3.908e-6
0.204, 3.979e-6
0.208, 3.814e-6
0.212, 3.649e-6
0.216, 3.661e-6
0.220, 3.602e-6
0.224, 3.614e-6
0.228, 3.649e-6
0.232, 3.567e-6
0.236, 3.437e-6
0.240, 3.390e-6
0.244, 3.320e-6
0.248, 3.296e-6
0.252, 3.320e-6
0.256, 3.343e-6
0.260, 3.155e-6
0.264, 3.120e-6
0.268, 3.261e-6
0.272, 3.202e-6
0.276, 3.108e-6
0.280, 3.014e-6
0.284, 3.155e-6
0.288, 3.155e-6
0.292, 2.908e-6
0.296, 3.025e-6
0.300, 3.002e-6
0.304, 3.096e-6
0.308, 2.861e-6
0.312, 2.837e-6
0.316, 2.813e-6
0.320, 2.908e-6
0.324, 2.778e-6
0.328, 2.766e-6
0.332, 2.696e-6
0.336, 2.802e-6
0.340, 2.731e-6
0.344, 2.672e-6
0.348, 2.696e-6
0.352, 2.790e-6
0.356, 2.613e-6
0.360, 2.684e-6
0.364, 2.790e-6
0.368, 2.755e-6
0.372, 2.778e-6
0.376, 2.696e-6
0.380, 2.660e-6
0.384, 2.660e-6
0.388, 2.602e-6
0.392, 2.637e-6
0.396, 2.543e-6
0.400, 2.507e-6
0.404, 2.613e-6
0.408, 2.625e-6
0.412, 2.613e-6
0.416, 2.507e-6
0.420, 2.472e-6
0.424, 2.496e-6
0.428, 2.543e-6
0.432, 2.519e-6
0.436, 2.401e-6
0.440, 2.260e-6
0.444, 2.331e-6
0.448, 2.413e-6
0.452, 2.296e-6
0.456, 2.484e-6
0.460, 2.437e-6
0.464, 2.284e-6
0.468, 2.484e-6
0.472, 2.296e-6
0.476, 2.272e-6
0.480, 2.437e-6
