July 14, 2025   10:33:30
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.776V
ip = 4.688e-5A
Ap = 7.704e-6VA

Potential/V, Current/A

0.004, 9.394e-6
0.008, 8.393e-6
0.012, 7.746e-6
0.016, 7.122e-6
0.020, 6.533e-6
0.024, 6.333e-6
0.028, 6.274e-6
0.032, 6.133e-6
0.036, 5.921e-6
0.040, 5.827e-6
0.044, 5.639e-6
0.048, 5.474e-6
0.052, 5.344e-6
0.056, 5.038e-6
0.060, 5.297e-6
0.064, 5.097e-6
0.068, 4.885e-6
0.072, 4.791e-6
0.076, 4.827e-6
0.080, 4.626e-6
0.084, 4.568e-6
0.088, 4.462e-6
0.092, 4.544e-6
0.096, 4.297e-6
0.100, 4.367e-6
0.104, 4.179e-6
0.108, 4.179e-6
0.112, 3.979e-6
0.116, 4.156e-6
0.120, 3.955e-6
0.124, 3.955e-6
0.128, 3.967e-6
0.132, 3.814e-6
0.136, 3.779e-6
0.140, 3.814e-6
0.144, 3.779e-6
0.148, 3.673e-6
0.152, 3.590e-6
0.156, 3.626e-6
0.160, 3.649e-6
0.164, 3.496e-6
0.168, 3.614e-6
0.172, 3.437e-6
0.176, 3.284e-6
0.180, 3.355e-6
0.184, 3.202e-6
0.188, 3.096e-6
0.192, 3.202e-6
0.196, 3.108e-6
0.200, 3.061e-6
0.204, 2.931e-6
0.208, 2.943e-6
0.212, 2.849e-6
0.216, 2.814e-6
0.220, 2.766e-6
0.224, 2.790e-6
0.228, 2.672e-6
0.232, 2.531e-6
0.236, 2.649e-6
0.240, 2.519e-6
0.244, 2.484e-6
0.248, 2.319e-6
0.252, 2.378e-6
0.256, 2.307e-6
0.260, 2.272e-6
0.264, 2.225e-6
0.268, 2.378e-6
0.272, 2.260e-6
0.276, 2.013e-6
0.280, 2.013e-6
0.284, 1.954e-6
0.288, 2.131e-6
0.292, 1.919e-6
0.296, 2.001e-6
0.300, 1.801e-6
0.304, 1.942e-6
0.308, 1.895e-6
0.312, 1.825e-6
0.316, 1.860e-6
0.320, 1.825e-6
0.324, 1.672e-6
0.328, 1.848e-6
0.332, 1.860e-6
0.336, 1.707e-6
0.340, 1.683e-6
0.344, 1.530e-6
0.348, 1.730e-6
0.352, 1.519e-6
0.356, 1.554e-6
0.360, 1.471e-6
0.364, 1.660e-6
0.368, 1.636e-6
0.372, 1.542e-6
0.376, 1.636e-6
0.380, 1.601e-6
0.384, 1.577e-6
0.388, 1.401e-6
0.392, 1.589e-6
0.396, 1.401e-6
0.400, 1.401e-6
0.404, 1.436e-6
0.408, 1.424e-6
0.412, 1.460e-6
0.416, 1.342e-6
0.420, 1.260e-6
