July 15, 2025   16:32:56
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.572V
ip = 1.512e-5A
Ap = 6.302e-7VA

Potential/V, Current/A

0.004, 2.446e-5
0.008, 2.273e-5
0.012, 2.108e-5
0.016, 1.958e-5
0.020, 1.813e-5
0.024, 1.694e-5
0.028, 1.583e-5
0.032, 1.514e-5
0.036, 1.453e-5
0.040, 1.414e-5
0.044, 1.368e-5
0.048, 1.323e-5
0.052, 1.281e-5
0.056, 1.250e-5
0.060, 1.233e-5
0.064, 1.198e-5
0.068, 1.161e-5
0.072, 1.142e-5
0.076, 1.112e-5
0.080, 1.083e-5
0.084, 1.057e-5
0.088, 1.022e-5
0.092, 1.005e-5
0.096, 9.830e-6
0.100, 9.571e-6
0.104, 9.441e-6
0.108, 9.229e-6
0.112, 8.947e-6
0.116, 8.817e-6
0.120, 8.664e-6
0.124, 8.535e-6
0.128, 8.323e-6
0.132, 8.123e-6
0.136, 7.993e-6
0.140, 7.864e-6
0.144, 7.711e-6
0.148, 7.652e-6
0.152, 7.534e-6
0.156, 7.240e-6
0.160, 7.416e-6
0.164, 7.051e-6
0.168, 7.087e-6
0.172, 6.957e-6
0.176, 6.863e-6
0.180, 6.710e-6
0.184, 6.380e-6
0.188, 6.734e-6
0.192, 6.369e-6
0.196, 6.310e-6
0.200, 6.333e-6
0.204, 6.121e-6
0.208, 6.039e-6
0.212, 6.004e-6
0.216, 5.921e-6
0.220, 5.827e-6
0.224, 5.686e-6
0.228, 5.592e-6
0.232, 5.651e-6
0.236, 5.592e-6
0.240, 5.603e-6
0.244, 5.321e-6
0.248, 5.309e-6
0.252, 5.403e-6
0.256, 5.309e-6
0.260, 5.227e-6
0.264, 5.144e-6
0.268, 4.991e-6
0.272, 4.956e-6
0.276, 5.062e-6
0.280, 4.944e-6
0.284, 4.991e-6
0.288, 4.874e-6
0.292, 4.756e-6
0.296, 4.768e-6
0.300, 4.638e-6
0.304, 4.662e-6
0.308, 4.650e-6
0.312, 4.579e-6
0.316, 4.732e-6
0.320, 4.485e-6
0.324, 4.638e-6
0.328, 4.462e-6
0.332, 4.485e-6
0.336, 4.438e-6
0.340, 4.391e-6
0.344, 4.285e-6
0.348, 4.309e-6
0.352, 4.379e-6
0.356, 4.309e-6
0.360, 4.285e-6
0.364, 4.379e-6
0.368, 4.309e-6
0.372, 4.226e-6
0.376, 4.320e-6
0.380, 4.297e-6
0.384, 4.414e-6
0.388, 4.273e-6
0.392, 4.309e-6
0.396, 4.273e-6
0.400, 4.320e-6
0.404, 4.214e-6
0.408, 4.226e-6
0.412, 4.297e-6
0.416, 4.273e-6
0.420, 4.250e-6
0.424, 4.273e-6
0.428, 4.379e-6
0.432, 4.367e-6
0.436, 4.379e-6
0.440, 4.403e-6
0.444, 4.438e-6
0.448, 4.756e-6
0.452, 4.756e-6
0.456, 4.756e-6
0.460, 4.909e-6
0.464, 4.932e-6
0.468, 5.215e-6
0.472, 5.462e-6
0.476, 5.862e-6
0.480, 6.121e-6
0.484, 6.369e-6
0.488, 6.993e-6
0.492, 7.640e-6
0.496, 8.393e-6
0.500, 9.406e-6
0.504, 1.039e-5
0.508, 1.198e-5
0.512, 1.353e-5
0.516, 1.522e-5
0.520, 1.734e-5
0.524, 1.967e-5
0.528, 2.219e-5
0.532, 2.512e-5
0.536, 2.822e-5
0.540, 3.181e-5
0.544, 3.535e-5
0.548, 3.906e-5
0.552, 4.293e-5
0.556, 4.655e-5
0.560, 4.963e-5
0.564, 5.207e-5
0.568, 5.394e-5
0.572, 5.483e-5
0.576, 5.468e-5
0.580, 5.395e-5
0.584, 5.263e-5
0.588, 5.147e-5
0.592, 5.069e-5
0.596, 5.042e-5
0.600, 5.023e-5
0.604, 5.043e-5
0.608, 5.088e-5
0.612, 5.116e-5
0.616, 5.163e-5
0.620, 5.183e-5
0.624, 5.226e-5
0.628, 5.284e-5
0.632, 5.300e-5
0.636, 5.380e-5
0.640, 5.409e-5
0.644, 5.449e-5
0.648, 5.526e-5
0.652, 5.558e-5
0.656, 5.632e-5
0.660, 5.680e-5
0.664, 5.747e-5
0.668, 5.815e-5
0.672, 5.846e-5
0.676, 5.911e-5
0.680, 5.942e-5
0.684, 5.981e-5
0.688, 5.998e-5
0.692, 6.014e-5
0.696, 6.006e-5
0.700, 6.037e-5
0.704, 6.023e-5
0.708, 5.993e-5
0.712, 5.984e-5
0.716, 5.950e-5
0.720, 5.914e-5
0.724, 5.870e-5
0.728, 5.786e-5
0.732, 5.716e-5
0.736, 5.614e-5
0.740, 5.503e-5
0.744, 5.364e-5
0.748, 5.271e-5
0.752, 5.113e-5
0.756, 4.965e-5
0.760, 4.806e-5
0.764, 4.646e-5
0.768, 4.478e-5
0.772, 4.285e-5
0.776, 4.123e-5
0.780, 3.966e-5
0.784, 3.796e-5
0.788, 3.647e-5
0.792, 3.490e-5
0.796, 3.353e-5
0.800, 3.229e-5
0.804, 3.077e-5
0.808, 2.967e-5
0.812, 2.843e-5
0.816, 2.736e-5
0.820, 2.620e-5
0.824, 2.518e-5
0.828, 2.427e-5
0.832, 2.349e-5
0.836, 2.285e-5
0.840, 2.211e-5
0.844, 2.151e-5
0.848, 2.084e-5
0.852, 2.034e-5
0.856, 1.974e-5
0.860, 1.920e-5
0.864, 1.881e-5
0.868, 1.841e-5
0.872, 1.802e-5
0.876, 1.767e-5
0.880, 1.739e-5
0.884, 1.718e-5
0.888, 1.692e-5
0.892, 1.667e-5
0.896, 1.642e-5
0.900, 1.619e-5
0.904, 1.614e-5
0.908, 1.581e-5
0.912, 1.597e-5
0.916, 1.582e-5
0.920, 1.580e-5
0.924, 1.580e-5
0.928, 1.560e-5
0.932, 1.555e-5
0.936, 1.556e-5
0.940, 1.570e-5
0.944, 1.554e-5
0.948, 1.567e-5
0.952, 1.568e-5
0.956, 1.573e-5
0.960, 1.579e-5
0.964, 1.574e-5
0.968, 1.594e-5
0.972, 1.593e-5
0.976, 1.613e-5
0.980, 1.621e-5
0.984, 1.625e-5
0.988, 1.639e-5
0.992, 1.635e-5
0.996, 1.650e-5
1.000, 1.655e-5
