July 15, 2025   15:44:01
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.692V
ip = 2.221e-5A
Ap = 2.821e-6VA

Potential/V, Current/A

0.004, 2.231e-5
0.008, 2.060e-5
0.012, 1.869e-5
0.016, 1.728e-5
0.020, 1.563e-5
0.024, 1.466e-5
0.028, 1.400e-5
0.032, 1.353e-5
0.036, 1.302e-5
0.040, 1.265e-5
0.044, 1.247e-5
0.048, 1.211e-5
0.052, 1.182e-5
0.056, 1.138e-5
0.060, 1.129e-5
0.064, 1.094e-5
0.068, 1.063e-5
0.072, 1.042e-5
0.076, 1.019e-5
0.080, 9.900e-6
0.084, 9.559e-6
0.088, 9.288e-6
0.092, 9.135e-6
0.096, 8.794e-6
0.100, 8.582e-6
0.104, 8.346e-6
0.108, 8.111e-6
0.112, 8.123e-6
0.116, 7.746e-6
0.120, 7.569e-6
0.124, 7.640e-6
0.128, 7.452e-6
0.132, 7.193e-6
0.136, 7.016e-6
0.140, 6.922e-6
0.144, 6.840e-6
0.148, 6.686e-6
0.152, 6.616e-6
0.156, 6.781e-6
0.160, 6.322e-6
0.164, 6.239e-6
0.168, 6.133e-6
0.172, 6.086e-6
0.176, 5.968e-6
0.180, 5.768e-6
0.184, 5.486e-6
0.188, 5.462e-6
0.192, 5.403e-6
0.196, 5.121e-6
0.200, 5.015e-6
0.204, 5.074e-6
0.208, 4.980e-6
0.212, 4.721e-6
0.216, 4.662e-6
0.220, 4.603e-6
0.224, 4.462e-6
0.228, 4.320e-6
0.232, 4.226e-6
0.236, 4.332e-6
0.240, 4.250e-6
0.244, 4.073e-6
0.248, 3.944e-6
0.252, 4.026e-6
0.256, 4.038e-6
0.260, 3.779e-6
0.264, 3.944e-6
0.268, 3.920e-6
0.272, 3.802e-6
0.276, 3.944e-6
0.280, 3.849e-6
0.284, 3.826e-6
0.288, 3.708e-6
0.292, 3.673e-6
0.296, 3.626e-6
0.300, 3.508e-6
0.304, 3.543e-6
0.308, 3.379e-6
0.312, 3.190e-6
0.316, 3.296e-6
0.320, 3.331e-6
0.324, 3.249e-6
0.328, 3.237e-6
0.332, 3.343e-6
0.336, 3.461e-6
0.340, 3.543e-6
0.344, 3.508e-6
0.348, 3.614e-6
0.352, 3.555e-6
0.356, 3.614e-6
0.360, 3.579e-6
0.364, 3.743e-6
0.368, 3.590e-6
0.372, 3.508e-6
0.376, 3.367e-6
0.380, 3.543e-6
0.384, 3.626e-6
0.388, 3.532e-6
0.392, 3.638e-6
0.396, 3.638e-6
0.400, 3.496e-6
0.404, 3.484e-6
0.408, 3.555e-6
0.412, 3.696e-6
0.416, 3.802e-6
0.420, 3.838e-6
0.424, 3.908e-6
0.428, 3.967e-6
0.432, 3.873e-6
0.436, 3.908e-6
0.440, 3.673e-6
0.444, 3.802e-6
0.448, 3.696e-6
