July 23, 2025   20:26:44
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.576V
ip = 9.175e-6A
Ap = 1.193e-6VA

Potential/V, Current/A

0.004, 5.733e-6
0.008, 5.321e-6
0.012, 5.050e-6
0.016, 4.744e-6
0.020, 4.615e-6
0.024, 4.320e-6
0.028, 4.250e-6
0.032, 3.955e-6
0.036, 3.885e-6
0.040, 3.614e-6
0.044, 3.626e-6
0.048, 3.461e-6
0.052, 3.426e-6
0.056, 3.296e-6
0.060, 3.414e-6
0.064, 3.331e-6
0.068, 3.084e-6
0.072, 2.990e-6
0.076, 2.955e-6
0.080, 2.908e-6
0.084, 2.849e-6
0.088, 2.672e-6
0.092, 2.696e-6
0.096, 2.613e-6
0.100, 2.613e-6
0.104, 2.613e-6
0.108, 2.496e-6
0.112, 2.484e-6
0.116, 2.284e-6
0.120, 2.190e-6
0.124, 2.307e-6
0.128, 2.107e-6
0.132, 2.119e-6
0.136, 1.966e-6
0.140, 1.989e-6
0.144, 2.013e-6
0.148, 1.989e-6
0.152, 1.860e-6
0.156, 1.813e-6
0.160, 1.919e-6
0.164, 1.895e-6
0.168, 1.648e-6
0.172, 1.813e-6
0.176, 1.825e-6
0.180, 1.648e-6
0.184, 1.660e-6
0.188, 1.519e-6
0.192, 1.577e-6
0.196, 1.566e-6
0.200, 1.366e-6
0.204, 1.460e-6
0.208, 1.507e-6
0.212, 1.601e-6
0.216, 1.566e-6
0.220, 1.448e-6
0.224, 1.424e-6
0.228, 1.413e-6
0.232, 1.342e-6
0.236, 1.448e-6
0.240, 1.389e-6
0.244, 1.342e-6
0.248, 1.130e-6
0.252, 1.318e-6
0.256, 1.413e-6
0.260, 1.189e-6
0.264, 1.248e-6
0.268, 1.189e-6
0.272, 1.377e-6
0.276, 1.318e-6
0.280, 1.201e-6
0.284, 1.271e-6
0.288, 1.271e-6
0.292, 1.201e-6
0.296, 1.154e-6
0.300, 1.224e-6
0.304, 1.083e-6
0.308, 1.154e-6
0.312, 1.059e-6
0.316, 1.130e-6
0.320, 1.130e-6
0.324, 1.059e-6
0.328, 1.130e-6
0.332, 1.118e-6
0.336, 1.189e-6
0.340, 1.130e-6
0.344, 1.095e-6
0.348, 1.260e-6
0.352, 1.130e-6
0.356, 1.083e-6
0.360, 1.059e-6
0.364, 1.130e-6
0.368, 1.048e-6
0.372, 1.036e-6
0.376, 9.888e-7
0.380, 1.071e-6
0.384, 1.213e-6
0.388, 1.012e-6
0.392, 1.095e-6
0.396, 1.059e-6
0.400, 1.048e-6
0.404, 1.048e-6
0.408, 1.107e-6
0.412, 1.189e-6
0.416, 1.059e-6
0.420, 1.024e-6
0.424, 1.130e-6
0.428, 1.107e-6
0.432, 1.236e-6
0.436, 1.307e-6
0.440, 1.213e-6
0.444, 1.295e-6
0.448, 1.366e-6
0.452, 1.436e-6
0.456, 1.589e-6
0.460, 1.848e-6
0.464, 1.613e-6
0.468, 2.013e-6
0.472, 2.037e-6
0.476, 2.413e-6
0.480, 2.766e-6
0.484, 2.955e-6
0.488, 3.414e-6
0.492, 3.791e-6
0.496, 4.156e-6
0.500, 4.756e-6
0.504, 5.239e-6
0.508, 6.086e-6
0.512, 6.569e-6
0.516, 7.004e-6
0.520, 7.675e-6
0.524, 8.182e-6
0.528, 8.629e-6
0.532, 9.194e-6
0.536, 9.606e-6
0.540, 1.022e-5
0.544, 1.070e-5
0.548, 1.122e-5
0.552, 1.151e-5
0.556, 1.190e-5
0.560, 1.211e-5
0.564, 1.240e-5
0.568, 1.248e-5
0.572, 1.249e-5
0.576, 1.253e-5
0.580, 1.229e-5
0.584, 1.202e-5
0.588, 1.195e-5
0.592, 1.155e-5
0.596, 1.134e-5
0.600, 1.095e-5
0.604, 1.069e-5
0.608, 1.032e-5
0.612, 9.959e-6
0.616, 9.877e-6
0.620, 9.524e-6
0.624, 9.335e-6
0.628, 9.041e-6
0.632, 8.688e-6
0.636, 8.711e-6
0.640, 8.429e-6
0.644, 8.240e-6
0.648, 8.017e-6
0.652, 8.017e-6
0.656, 7.734e-6
0.660, 7.758e-6
0.664, 7.581e-6
0.668, 7.405e-6
0.672, 7.263e-6
0.676, 7.228e-6
0.680, 7.157e-6
0.684, 7.098e-6
0.688, 7.016e-6
0.692, 6.840e-6
0.696, 6.639e-6
0.700, 6.710e-6
0.704, 6.663e-6
0.708, 6.592e-6
0.712, 6.557e-6
0.716, 6.533e-6
0.720, 6.533e-6
0.724, 6.369e-6
0.728, 6.227e-6
0.732, 6.274e-6
0.736, 6.239e-6
0.740, 6.157e-6
0.744, 6.157e-6
0.748, 6.216e-6
0.752, 6.015e-6
0.756, 5.910e-6
0.760, 5.792e-6
0.764, 5.933e-6
0.768, 5.921e-6
0.772, 5.733e-6
0.776, 5.874e-6
0.780, 5.698e-6
0.784, 5.745e-6
0.788, 5.592e-6
0.792, 5.580e-6
0.796, 5.627e-6
0.800, 5.486e-6
0.804, 5.521e-6
0.808, 5.498e-6
0.812, 5.380e-6
0.816, 5.321e-6
0.820, 5.344e-6
0.824, 4.980e-6
0.828, 5.227e-6
0.832, 5.074e-6
0.836, 5.085e-6
0.840, 5.027e-6
0.844, 4.885e-6
0.848, 4.874e-6
0.852, 5.003e-6
0.856, 4.827e-6
0.860, 4.732e-6
0.864, 4.827e-6
0.868, 4.744e-6
0.872, 4.838e-6
0.876, 4.779e-6
0.880, 4.779e-6
0.884, 4.862e-6
0.888, 4.827e-6
0.892, 4.756e-6
0.896, 4.756e-6
0.900, 4.673e-6
0.904, 4.850e-6
0.908, 4.827e-6
0.912, 4.921e-6
0.916, 4.862e-6
0.920, 4.791e-6
0.924, 4.838e-6
0.928, 4.709e-6
0.932, 4.756e-6
0.936, 4.815e-6
0.940, 4.874e-6
0.944, 4.897e-6
0.948, 4.826e-6
0.952, 4.685e-6
0.956, 4.732e-6
0.960, 4.744e-6
0.964, 4.650e-6
0.968, 4.768e-6
0.972, 4.756e-6
0.976, 4.673e-6
0.980, 4.827e-6
0.984, 4.626e-6
0.988, 4.662e-6
0.992, 4.673e-6
0.996, 4.556e-6
1.000, 4.626e-6
