July 23, 2025   20:48:53
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.596V
ip = 8.207e-6A
Ap = 1.317e-6VA

Potential/V, Current/A

0.004, 8.817e-6
0.008, 8.170e-6
0.012, 7.546e-6
0.016, 6.910e-6
0.020, 6.475e-6
0.024, 5.957e-6
0.028, 5.721e-6
0.032, 5.168e-6
0.036, 5.133e-6
0.040, 4.685e-6
0.044, 4.673e-6
0.048, 4.438e-6
0.052, 4.214e-6
0.056, 3.814e-6
0.060, 3.979e-6
0.064, 3.791e-6
0.068, 3.473e-6
0.072, 3.331e-6
0.076, 3.343e-6
0.080, 3.155e-6
0.084, 3.120e-6
0.088, 3.002e-6
0.092, 2.978e-6
0.096, 2.884e-6
0.100, 2.731e-6
0.104, 2.566e-6
0.108, 2.672e-6
0.112, 2.496e-6
0.116, 2.507e-6
0.120, 2.319e-6
0.124, 2.390e-6
0.128, 2.272e-6
0.132, 2.237e-6
0.136, 2.154e-6
0.140, 1.978e-6
0.144, 2.013e-6
0.148, 1.942e-6
0.152, 1.884e-6
0.156, 1.825e-6
0.160, 1.978e-6
0.164, 1.848e-6
0.168, 1.895e-6
0.172, 1.848e-6
0.176, 1.730e-6
0.180, 1.813e-6
0.184, 1.625e-6
0.188, 1.766e-6
0.192, 1.625e-6
0.196, 1.495e-6
0.200, 1.554e-6
0.204, 1.695e-6
0.208, 1.519e-6
0.212, 1.625e-6
0.216, 1.413e-6
0.220, 1.471e-6
0.224, 1.460e-6
0.228, 1.471e-6
0.232, 1.366e-6
0.236, 1.413e-6
0.240, 1.318e-6
0.244, 1.401e-6
0.248, 1.213e-6
0.252, 1.354e-6
0.256, 1.330e-6
0.260, 1.342e-6
0.264, 1.318e-6
0.268, 1.271e-6
0.272, 1.248e-6
0.276, 1.236e-6
0.280, 1.283e-6
0.284, 1.307e-6
0.288, 1.107e-6
0.292, 1.295e-6
0.296, 1.224e-6
0.300, 1.366e-6
0.304, 1.189e-6
0.308, 1.224e-6
0.312, 1.130e-6
0.316, 1.165e-6
0.320, 1.142e-6
0.324, 1.224e-6
0.328, 1.059e-6
0.332, 1.154e-6
0.336, 1.201e-6
0.340, 1.095e-6
0.344, 1.165e-6
0.348, 1.177e-6
0.352, 1.083e-6
0.356, 1.083e-6
0.360, 1.048e-6
0.364, 1.213e-6
0.368, 1.154e-6
0.372, 1.107e-6
0.376, 1.177e-6
0.380, 1.095e-6
0.384, 1.118e-6
0.388, 1.189e-6
0.392, 1.095e-6
0.396, 1.189e-6
0.400, 1.083e-6
0.404, 1.083e-6
0.408, 1.024e-6
0.412, 1.118e-6
0.416, 1.201e-6
0.420, 1.142e-6
0.424, 1.048e-6
0.428, 1.130e-6
0.432, 1.201e-6
0.436, 1.130e-6
0.440, 1.001e-6
0.444, 1.260e-6
0.448, 1.165e-6
0.452, 1.154e-6
0.456, 1.189e-6
0.460, 1.448e-6
0.464, 1.424e-6
0.468, 1.436e-6
0.472, 1.201e-6
0.476, 1.648e-6
0.480, 1.754e-6
0.484, 1.801e-6
0.488, 1.789e-6
0.492, 2.037e-6
0.496, 2.248e-6
0.500, 2.378e-6
0.504, 2.578e-6
0.508, 2.766e-6
0.512, 3.061e-6
0.516, 3.343e-6
0.520, 3.755e-6
0.524, 4.132e-6
0.528, 4.591e-6
0.532, 4.991e-6
0.536, 5.556e-6
0.540, 6.063e-6
0.544, 6.592e-6
0.548, 7.204e-6
0.552, 7.652e-6
0.556, 8.205e-6
0.560, 8.464e-6
0.564, 8.982e-6
0.568, 9.359e-6
0.572, 9.888e-6
0.576, 1.021e-5
0.580, 1.062e-5
0.584, 1.074e-5
0.588, 1.102e-5
0.592, 1.103e-5
0.596, 1.111e-5
0.600, 1.104e-5
0.604, 1.097e-5
0.608, 1.084e-5
0.612, 1.082e-5
0.616, 1.076e-5
0.620, 1.062e-5
0.624, 1.059e-5
0.628, 1.069e-5
0.632, 1.037e-5
0.636, 1.027e-5
0.640, 1.011e-5
0.644, 9.841e-6
0.648, 9.806e-6
0.652, 9.500e-6
0.656, 9.394e-6
0.660, 9.076e-6
0.664, 9.006e-6
0.668, 8.841e-6
0.672, 8.546e-6
0.676, 8.523e-6
0.680, 8.476e-6
0.684, 8.158e-6
0.688, 8.052e-6
0.692, 8.028e-6
0.696, 7.840e-6
0.700, 7.664e-6
0.704, 7.475e-6
0.708, 7.393e-6
0.712, 7.440e-6
0.716, 7.263e-6
0.720, 7.322e-6
0.724, 7.087e-6
0.728, 7.051e-6
0.732, 7.051e-6
0.736, 6.816e-6
0.740, 6.922e-6
0.744, 6.792e-6
0.748, 6.592e-6
0.752, 6.651e-6
0.756, 6.616e-6
0.760, 6.286e-6
0.764, 6.522e-6
0.768, 6.251e-6
0.772, 6.216e-6
0.776, 6.439e-6
0.780, 6.169e-6
0.784, 6.239e-6
0.788, 6.251e-6
0.792, 6.074e-6
0.796, 5.968e-6
0.800, 5.910e-6
0.804, 5.851e-6
0.808, 5.862e-6
0.812, 5.874e-6
0.816, 5.627e-6
0.820, 5.674e-6
0.824, 5.545e-6
0.828, 5.792e-6
0.832, 5.627e-6
0.836, 5.321e-6
0.840, 5.486e-6
0.844, 5.627e-6
0.848, 5.498e-6
0.852, 5.592e-6
0.856, 5.450e-6
0.860, 5.533e-6
0.864, 5.462e-6
0.868, 5.439e-6
0.872, 5.462e-6
0.876, 5.568e-6
0.880, 5.356e-6
0.884, 5.368e-6
0.888, 5.533e-6
0.892, 5.439e-6
0.896, 5.521e-6
0.900, 5.321e-6
0.904, 5.498e-6
0.908, 5.521e-6
0.912, 5.474e-6
0.916, 5.498e-6
0.920, 5.462e-6
0.924, 5.309e-6
0.928, 5.486e-6
0.932, 5.486e-6
0.936, 5.580e-6
0.940, 5.450e-6
0.944, 5.545e-6
0.948, 5.509e-6
0.952, 5.333e-6
0.956, 5.450e-6
0.960, 5.250e-6
0.964, 5.392e-6
0.968, 5.380e-6
0.972, 5.333e-6
0.976, 5.274e-6
0.980, 5.415e-6
0.984, 5.450e-6
0.988, 5.262e-6
0.992, 5.344e-6
0.996, 5.439e-6
1.000, 5.486e-6
