July 21, 2025   21:43:53
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.540V
ip = 1.988e-5A
Ap = 1.507e-6VA

Potential/V, Current/A

0.004, 9.888e-6
0.008, 9.217e-6
0.012, 8.699e-6
0.016, 8.346e-6
0.020, 8.064e-6
0.024, 7.769e-6
0.028, 7.558e-6
0.032, 7.252e-6
0.036, 6.887e-6
0.040, 6.569e-6
0.044, 6.274e-6
0.048, 6.039e-6
0.052, 5.745e-6
0.056, 5.427e-6
0.060, 5.450e-6
0.064, 5.121e-6
0.068, 4.944e-6
0.072, 4.732e-6
0.076, 4.744e-6
0.080, 4.450e-6
0.084, 4.179e-6
0.088, 4.108e-6
0.092, 4.085e-6
0.096, 3.920e-6
0.100, 3.732e-6
0.104, 3.543e-6
0.108, 3.649e-6
0.112, 3.590e-6
0.116, 3.273e-6
0.120, 3.131e-6
0.124, 3.178e-6
0.128, 3.120e-6
0.132, 2.978e-6
0.136, 2.931e-6
0.140, 2.755e-6
0.144, 2.719e-6
0.148, 2.708e-6
0.152, 2.660e-6
0.156, 2.602e-6
0.160, 2.566e-6
0.164, 2.566e-6
0.168, 2.272e-6
0.172, 2.260e-6
0.176, 2.296e-6
0.180, 2.260e-6
0.184, 2.201e-6
0.188, 2.072e-6
0.192, 2.213e-6
0.196, 2.095e-6
0.200, 2.048e-6
0.204, 1.989e-6
0.208, 2.025e-6
0.212, 1.801e-6
0.216, 1.813e-6
0.220, 1.836e-6
0.224, 1.789e-6
0.228, 1.683e-6
0.232, 1.730e-6
0.236, 1.625e-6
0.240, 1.719e-6
0.244, 1.601e-6
0.248, 1.613e-6
0.252, 1.707e-6
0.256, 1.589e-6
0.260, 1.389e-6
0.264, 1.460e-6
0.268, 1.613e-6
0.272, 1.436e-6
0.276, 1.389e-6
0.280, 1.318e-6
0.284, 1.330e-6
0.288, 1.366e-6
0.292, 1.295e-6
0.296, 1.366e-6
0.300, 1.354e-6
0.304, 1.165e-6
0.308, 1.295e-6
0.312, 1.224e-6
0.316, 1.236e-6
0.320, 1.342e-6
0.324, 1.071e-6
0.328, 1.224e-6
0.332, 1.118e-6
0.336, 1.271e-6
0.340, 1.201e-6
0.344, 1.248e-6
0.348, 1.118e-6
0.352, 1.048e-6
0.356, 1.177e-6
0.360, 1.118e-6
0.364, 1.130e-6
0.368, 1.165e-6
0.372, 9.888e-7
0.376, 1.236e-6
0.380, 1.165e-6
0.384, 1.083e-6
0.388, 1.142e-6
0.392, 1.107e-6
0.396, 1.283e-6
0.400, 1.236e-6
0.404, 1.307e-6
0.408, 1.307e-6
0.412, 1.271e-6
0.416, 1.318e-6
0.420, 1.389e-6
0.424, 1.354e-6
0.428, 1.648e-6
0.432, 1.613e-6
0.436, 1.636e-6
0.440, 1.507e-6
0.444, 1.813e-6
0.448, 1.907e-6
0.452, 2.072e-6
0.456, 2.366e-6
0.460, 2.555e-6
0.464, 2.802e-6
0.468, 3.214e-6
0.472, 3.555e-6
0.476, 4.085e-6
0.480, 4.556e-6
0.484, 5.191e-6
0.488, 6.216e-6
0.492, 6.993e-6
0.496, 8.358e-6
0.500, 9.665e-6
0.504, 1.110e-5
0.508, 1.275e-5
0.512, 1.447e-5
0.516, 1.666e-5
0.520, 1.915e-5
0.524, 2.181e-5
0.528, 2.483e-5
0.532, 2.710e-5
0.536, 2.852e-5
0.540, 2.912e-5
0.544, 2.898e-5
0.548, 2.857e-5
0.552, 2.797e-5
0.556, 2.693e-5
0.560, 2.586e-5
0.564, 2.483e-5
0.568, 2.413e-5
0.572, 2.378e-5
0.576, 2.324e-5
0.580, 2.252e-5
0.584, 2.200e-5
0.588, 2.154e-5
0.592, 2.088e-5
0.596, 2.046e-5
0.600, 1.998e-5
0.604, 1.951e-5
0.608, 1.909e-5
0.612, 1.853e-5
0.616, 1.813e-5
0.620, 1.774e-5
0.624, 1.742e-5
0.628, 1.723e-5
0.632, 1.689e-5
0.636, 1.681e-5
0.640, 1.666e-5
0.644, 1.636e-5
0.648, 1.636e-5
0.652, 1.617e-5
0.656, 1.605e-5
0.660, 1.619e-5
0.664, 1.603e-5
0.668, 1.606e-5
0.672, 1.590e-5
0.676, 1.592e-5
0.680, 1.581e-5
0.684, 1.570e-5
0.688, 1.576e-5
0.692, 1.574e-5
0.696, 1.549e-5
0.700, 1.556e-5
0.704, 1.537e-5
0.708, 1.534e-5
0.712, 1.515e-5
0.716, 1.501e-5
0.720, 1.495e-5
0.724, 1.477e-5
0.728, 1.454e-5
0.732, 1.423e-5
0.736, 1.414e-5
0.740, 1.396e-5
0.744, 1.363e-5
0.748, 1.341e-5
0.752, 1.320e-5
0.756, 1.296e-5
0.760, 1.269e-5
0.764, 1.248e-5
0.768, 1.234e-5
0.772, 1.190e-5
0.776, 1.195e-5
0.780, 1.182e-5
0.784, 1.144e-5
0.788, 1.118e-5
0.792, 1.098e-5
0.796, 1.084e-5
0.800, 1.069e-5
0.804, 1.044e-5
0.808, 1.019e-5
0.812, 1.011e-5
0.816, 9.912e-6
0.820, 9.724e-6
0.824, 9.571e-6
0.828, 9.500e-6
0.832, 9.418e-6
0.836, 9.088e-6
0.840, 9.029e-6
0.844, 9.147e-6
0.848, 8.888e-6
0.852, 8.900e-6
0.856, 8.747e-6
0.860, 8.664e-6
0.864, 8.605e-6
0.868, 8.511e-6
0.872, 8.570e-6
0.876, 8.440e-6
0.880, 8.476e-6
0.884, 8.382e-6
0.888, 8.276e-6
0.892, 8.429e-6
0.896, 8.335e-6
0.900, 8.240e-6
0.904, 8.335e-6
0.908, 8.405e-6
0.912, 8.299e-6
0.916, 8.311e-6
0.920, 8.417e-6
0.924, 8.464e-6
0.928, 8.382e-6
0.932, 8.405e-6
0.936, 8.405e-6
0.940, 8.476e-6
0.944, 8.535e-6
0.948, 8.699e-6
0.952, 8.546e-6
0.956, 8.641e-6
0.960, 8.758e-6
0.964, 8.817e-6
0.968, 8.747e-6
0.972, 8.723e-6
0.976, 8.770e-6
0.980, 8.841e-6
0.984, 8.829e-6
0.988, 9.147e-6
0.992, 8.947e-6
0.996, 8.923e-6
1.000, 8.970e-6
