July 21, 2025   21:22:21
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.544V
ip = 1.874e-5A
Ap = 1.528e-6VA

Potential/V, Current/A

0.004, 9.253e-6
0.008, 8.723e-6
0.012, 8.193e-6
0.016, 7.864e-6
0.020, 7.534e-6
0.024, 7.157e-6
0.028, 6.804e-6
0.032, 6.533e-6
0.036, 6.027e-6
0.040, 5.756e-6
0.044, 5.686e-6
0.048, 5.333e-6
0.052, 5.074e-6
0.056, 4.744e-6
0.060, 4.709e-6
0.064, 4.485e-6
0.068, 4.462e-6
0.072, 4.132e-6
0.076, 4.073e-6
0.080, 3.849e-6
0.084, 3.767e-6
0.088, 3.437e-6
0.092, 3.520e-6
0.096, 3.426e-6
0.100, 3.237e-6
0.104, 3.190e-6
0.108, 3.049e-6
0.112, 3.072e-6
0.116, 2.802e-6
0.120, 2.543e-6
0.124, 2.472e-6
0.128, 2.602e-6
0.132, 2.401e-6
0.136, 2.425e-6
0.140, 2.260e-6
0.144, 2.284e-6
0.148, 2.237e-6
0.152, 2.142e-6
0.156, 2.225e-6
0.160, 2.095e-6
0.164, 2.001e-6
0.168, 2.072e-6
0.172, 1.848e-6
0.176, 1.872e-6
0.180, 1.848e-6
0.184, 1.719e-6
0.188, 1.707e-6
0.192, 1.695e-6
0.196, 1.778e-6
0.200, 1.589e-6
0.204, 1.625e-6
0.208, 1.577e-6
0.212, 1.542e-6
0.216, 1.436e-6
0.220, 1.413e-6
0.224, 1.495e-6
0.228, 1.495e-6
0.232, 1.318e-6
0.236, 1.354e-6
0.240, 1.283e-6
0.244, 1.271e-6
0.248, 1.271e-6
0.252, 1.307e-6
0.256, 1.413e-6
0.260, 1.248e-6
0.264, 1.177e-6
0.268, 1.236e-6
0.272, 1.001e-6
0.276, 1.107e-6
0.280, 1.142e-6
0.284, 9.535e-7
0.288, 9.418e-7
0.292, 1.001e-6
0.296, 1.048e-6
0.300, 1.048e-6
0.304, 1.036e-6
0.308, 1.059e-6
0.312, 8.240e-7
0.316, 9.653e-7
0.320, 9.653e-7
0.324, 9.300e-7
0.328, 9.653e-7
0.332, 8.711e-7
0.336, 8.476e-7
0.340, 1.001e-6
0.344, 7.299e-7
0.348, 1.001e-6
0.352, 9.300e-7
0.356, 7.652e-7
0.360, 8.005e-7
0.364, 9.771e-7
0.368, 8.947e-7
0.372, 7.770e-7
0.376, 9.535e-7
0.380, 9.771e-7
0.384, 1.036e-6
0.388, 9.064e-7
0.392, 9.300e-7
0.396, 1.130e-6
0.400, 1.154e-6
0.404, 1.130e-6
0.408, 1.024e-6
0.412, 1.118e-6
0.416, 1.295e-6
0.420, 1.130e-6
0.424, 1.165e-6
0.428, 1.424e-6
0.432, 1.495e-6
0.436, 1.566e-6
0.440, 1.530e-6
0.444, 1.907e-6
0.448, 2.107e-6
0.452, 2.319e-6
0.456, 2.672e-6
0.460, 2.908e-6
0.464, 3.426e-6
0.468, 3.720e-6
0.472, 4.179e-6
0.476, 5.062e-6
0.480, 5.733e-6
0.484, 6.581e-6
0.488, 7.793e-6
0.492, 9.265e-6
0.496, 1.079e-5
0.500, 1.254e-5
0.504, 1.436e-5
0.508, 1.669e-5
0.512, 1.861e-5
0.516, 2.025e-5
0.520, 2.193e-5
0.524, 2.346e-5
0.528, 2.476e-5
0.532, 2.600e-5
0.536, 2.736e-5
0.540, 2.824e-5
0.544, 2.869e-5
0.548, 2.822e-5
0.552, 2.733e-5
0.556, 2.646e-5
0.560, 2.559e-5
0.564, 2.496e-5
0.568, 2.433e-5
0.572, 2.386e-5
0.576, 2.327e-5
0.580, 2.271e-5
0.584, 2.205e-5
0.588, 2.171e-5
0.592, 2.118e-5
0.596, 2.067e-5
0.600, 1.998e-5
0.604, 1.969e-5
0.608, 1.913e-5
0.612, 1.872e-5
0.616, 1.827e-5
0.620, 1.809e-5
0.624, 1.772e-5
0.628, 1.749e-5
0.632, 1.714e-5
0.636, 1.702e-5
0.640, 1.690e-5
0.644, 1.662e-5
0.648, 1.650e-5
0.652, 1.642e-5
0.656, 1.645e-5
0.660, 1.613e-5
0.664, 1.606e-5
0.668, 1.612e-5
0.672, 1.589e-5
0.676, 1.596e-5
0.680, 1.581e-5
0.684, 1.573e-5
0.688, 1.554e-5
0.692, 1.543e-5
0.696, 1.532e-5
0.700, 1.542e-5
0.704, 1.519e-5
0.708, 1.494e-5
0.712, 1.495e-5
0.716, 1.488e-5
0.720, 1.453e-5
0.724, 1.441e-5
0.728, 1.422e-5
0.732, 1.409e-5
0.736, 1.414e-5
0.740, 1.375e-5
0.744, 1.360e-5
0.748, 1.350e-5
0.752, 1.330e-5
0.756, 1.314e-5
0.760, 1.288e-5
0.764, 1.274e-5
0.768, 1.258e-5
0.772, 1.214e-5
0.776, 1.229e-5
0.780, 1.220e-5
0.784, 1.193e-5
0.788, 1.196e-5
0.792, 1.160e-5
0.796, 1.150e-5
0.800, 1.131e-5
0.804, 1.114e-5
0.808, 1.102e-5
0.812, 1.082e-5
0.816, 1.075e-5
0.820, 1.062e-5
0.824, 1.049e-5
0.828, 1.043e-5
0.832, 1.021e-5
0.836, 1.014e-5
0.840, 1.001e-5
0.844, 1.002e-5
0.848, 9.818e-6
0.852, 9.724e-6
0.856, 9.759e-6
0.860, 9.794e-6
0.864, 9.559e-6
0.868, 9.582e-6
0.872, 9.476e-6
0.876, 9.347e-6
0.880, 9.323e-6
0.884, 9.276e-6
0.888, 9.241e-6
0.892, 9.253e-6
0.896, 9.217e-6
0.900, 9.123e-6
0.904, 9.323e-6
0.908, 9.276e-6
0.912, 9.241e-6
0.916, 9.288e-6
0.920, 9.288e-6
0.924, 9.323e-6
0.928, 9.335e-6
0.932, 9.347e-6
0.936, 9.312e-6
0.940, 9.300e-6
0.944, 9.547e-6
0.948, 9.465e-6
0.952, 9.359e-6
0.956, 9.441e-6
0.960, 9.524e-6
0.964, 9.441e-6
0.968, 9.488e-6
0.972, 9.618e-6
0.976, 9.476e-6
0.980, 9.524e-6
0.984, 9.547e-6
0.988, 9.665e-6
0.992, 9.629e-6
0.996, 9.547e-6
1.000, 9.653e-6
